Date,Open,High,Low,Close,Volume
2010-01-04,16.02,16.17,15.89,16.12,1418701
2010-01-05,16.08,16.13,15.86,15.92,2431518
2010-01-06,15.94,16.17,15.72,16.13,2839300
2010-01-07,15.6,16.2,15.1,15.97,3870650
2010-01-08,15.88,15.88,15.55,15.66,2100255
2010-01-11,15.66,15.8,15.53,15.69,1535998
2010-01-12,15.63,15.75,15.52,15.65,1762870
2010-01-13,15.64,16.0,15.61,15.91,1518726
2010-01-14,15.98,16.48,15.98,16.33,2466965
2010-01-15,16.37,16.55,16.29,16.41,2384670
2010-01-19,16.38,16.84,16.38,16.82,2334552
2010-01-20,16.66,16.84,16.54,16.83,2655360
2010-01-21,16.72,17.04,16.72,16.79,2402207
2010-01-22,16.82,16.85,16.5,16.61,2110099
2010-01-25,16.8,16.8,16.46,16.61,1274283
2010-01-26,16.47,16.62,16.41,16.42,1001169
2010-01-27,16.4,16.48,16.06,16.34,1120560
2010-01-28,16.41,16.45,16.1,16.17,734882
2010-01-29,16.23,16.27,16.03,16.08,1461380
2010-02-01,16.18,16.29,16.07,16.23,998590
2010-02-02,16.28,16.42,16.12,16.39,829072
2010-02-03,16.36,16.42,16.19,16.31,685139
2010-02-04,16.16,16.2,15.41,15.45,1993861
2010-02-05,15.4,15.51,14.95,15.33,3211414
2010-02-08,15.37,15.37,14.87,14.93,2205642
2010-02-09,15.17,15.33,14.96,15.2,1509778
2010-02-10,15.17,15.24,14.91,15.13,1615752
2010-02-11,15.18,15.53,15.08,15.49,1351464
2010-02-12,15.38,15.59,15.28,15.36,1974176
2010-02-16,15.43,15.61,15.37,15.61,839434
2010-02-17,15.65,15.84,15.55,15.68,1360335
2010-02-18,15.61,15.8,15.56,15.59,1447988
2010-02-19,15.48,15.62,15.33,15.6,1589857
2010-02-22,15.61,15.68,15.47,15.53,958355
2010-02-23,15.46,15.46,15.03,15.22,2239958
2010-02-24,15.24,15.25,14.96,15.02,2710879
2010-02-25,14.85,14.91,14.6,14.83,4360009
2010-02-26,14.9,15.09,14.83,15.04,1611534
2010-03-01,15.15,15.26,15.06,15.26,1071084
2010-03-02,15.29,15.52,15.21,15.47,1364960
2010-03-03,15.45,15.66,15.42,15.43,1498395
2010-03-04,15.39,15.59,15.36,15.57,1096776
2010-03-05,15.65,15.85,15.58,15.81,1118606
2010-03-08,15.82,15.83,15.67,15.78,1596522
2010-03-09,15.71,15.92,15.67,15.81,1815480
2010-03-10,15.83,15.88,15.54,15.62,1849257
