Date,Open,High,Low,Close,Volume
2010-01-04,51.28,52.27,50.83,52.16,3982739
2010-01-05,52.33,52.69,51.92,52.65,2238258
2010-01-06,52.66,53.53,52.5,53.46,3250359
2010-01-07,53.35,55.36,53.35,55.25,4095435
2010-01-08,55.68,56.12,55.21,55.42,3535461
2010-01-11,55.76,55.85,54.98,55.25,2164801
2010-01-12,54.7,55.38,54.38,55.21,2884687
2010-01-13,55.15,55.64,55.02,55.47,1770580
2010-01-14,55.53,56.12,55.41,56.02,1627137
2010-01-15,55.98,56.04,55.43,56.03,2935424
2010-01-19,56.23,57.39,56.23,56.96,2577672
2010-01-20,56.82,57.37,55.59,55.93,2593013
2010-01-21,55.84,55.97,54.5,54.73,2410938
2010-01-22,54.45,55.19,53.98,54.04,2588862
2010-01-25,54.27,54.88,53.81,54.44,2313957
2010-01-26,54.3,55.04,53.9,54.56,2183761
2010-01-27,53.61,53.97,51.73,52.91,4063809
2010-01-28,52.96,53.2,51.77,52.19,3360047
2010-01-29,52.43,52.57,51.6,51.92,3632399
2010-02-01,52.22,52.22,51.6,52.2,1325255
2010-02-02,52.34,53.29,52.06,53.15,2113539
2010-02-03,53.02,53.02,52.42,52.54,1353617
2010-02-04,52.15,52.19,51.07,51.09,4333893
2010-02-05,50.99,51.23,49.85,51.06,3187263
2010-02-08,51.14,51.98,50.93,51.43,2218971
2010-02-09,51.96,52.45,51.53,51.91,1910895
2010-02-10,51.93,52.1,51.29,51.62,1461682
2010-02-11,51.42,52.39,51.15,52.17,1778473
2010-02-12,51.66,52.26,51.37,52.06,1657511
2010-02-16,52.25,52.81,52.06,52.8,1362273
2010-02-17,53.0,53.22,52.8,53.07,1117838
2010-02-18,53.0,53.34,52.8,53.24,1074740
2010-02-19,52.97,53.43,52.81,53.16,1227003
2010-02-22,53.36,53.45,52.96,53.09,1255241
2010-02-23,52.91,53.07,52.45,52.62,1249251
2010-02-24,52.93,52.95,52.47,52.89,1094607
2010-02-25,52.07,52.85,51.84,52.84,1332625
2010-02-26,52.98,53.43,52.75,53.1,1215897
2010-03-01,53.32,54.08,53.29,53.82,1031000
2010-03-02,53.94,54.77,53.92,54.46,1092041
2010-03-03,54.56,54.78,54.06,54.11,1447762
2010-03-04,54.01,54.19,53.79,54.05,1256407
2010-03-05,54.23,55.04,54.21,55.04,2263381
2010-03-08,55.1,55.24,54.95,55.05,1357263
2010-03-09,54.93,55.07,54.78,55.0,1329753
2010-03-10,54.94,55.4,54.69,55.29,1566251
2010-03-11,55.2,55.79,54.78,55.73,2423809
2010-03-12,55.75,55.75,54.47,55.23,2085580
2010-03-15,55.36,55.47,54.98,55.42,1033433
2010-03-16,55.55,55.55,55.06,55.43,1059195
2010-03-17,55.44,56.27,55.33,56.27,2232962
2010-03-18,56.07,56.67,56.02,56.66,1597006
2010-03-19,56.9,57.09,56.21,56.64,1804036
2010-03-22,56.21,57.25,56.21,56.85,1847499
2010-03-23,56.87,57.01,56.21,57.0,1365269
2010-03-24,57.89,58.24,57.38,57.96,2691601
2010-03-25,58.31,58.49,57.68,57.68,1713317
2010-03-26,57.67,57.68,56.66,56.71,1950696
2010-03-29,56.83,57.27,56.76,57.18,1123517
2010-03-30,57.33,57.62,57.05,57.51,1087947
2010-03-31,57.24,57.6,56.82,57.22,1250902
2010-04-01,57.59,57.74,57.31,57.65,863576
2010-04-05,57.74,58.2,57.51,57.85,942195
2010-04-06,57.79,57.9,57.5,57.78,875379
2010-04-07,57.81,57.93,56.9,57.17,1416818
2010-04-08,57.19,57.2,56.64,57.1,1093675
2010-04-09,57.01,57.64,57.01,57.64,618736
2010-04-12,57.64,57.95,57.32,57.64,1068435
2010-04-13,57.13,57.56,56.87,57.18,1950703
2010-04-14,57.21,57.83,56.87,57.71,1958300
2010-04-15,58.0,58.37,57.51,58.09,1513309
2010-04-16,58.05,58.25,56.84,57.24,1842563
2010-04-19,57.03,57.51,57.03,57.47,1627783
2010-04-20,57.71,58.72,57.55,58.45,2117016
2010-04-21,57.92,58.44,57.35,57.93,1997575
2010-04-22,57.37,57.82,56.76,57.72,1896295
2010-04-23,57.76,59.01,57.15,58.89,3247888
2010-04-26,59.13,59.72,58.71,58.81,2269117
2010-04-27,58.73,58.93,57.45,57.54,2400344
2010-04-28,57.52,58.35,57.31,58.08,1907531
2010-04-29,58.36,58.98,58.33,58.6,1302347
2010-04-30,58.85,58.92,57.4,57.44,2093526
2010-05-03,57.6,58.37,57.22,58.12,2193823
2010-05-04,58.68,58.78,56.92,57.45,3484664
2010-05-05,56.75,57.41,56.75,57.22,2072926
2010-05-06,56.91,57.28,53.85,56.25,4144247
2010-05-07,56.12,56.12,53.74,54.12,4881201
2010-05-10,56.42,56.87,55.56,56.86,2755320
2010-05-11,56.3,57.18,56.09,56.75,1849342
2010-05-12,56.96,57.22,56.45,57.22,1166672
2010-05-13,57.01,57.99,57.01,57.47,1786939
2010-05-14,57.71,57.71,55.65,56.46,3253099
2010-05-17,56.39,56.89,55.74,56.56,2337494
2010-05-18,57.2,57.27,55.87,55.91,1241139
2010-05-19,55.66,56.38,55.04,55.72,2236122
2010-05-20,55.0,55.0,53.31,53.88,4533505
2010-05-21,53.23,53.9,52.18,52.7,5263354
2010-05-24,52.58,53.73,52.3,53.18,2794800
2010-05-25,52.02,52.62,51.22,52.59,2332545
2010-05-26,53.04,53.37,52.15,52.19,2173733
2010-05-27,52.79,53.53,52.53,53.47,1372885
2010-05-28,53.34,53.73,52.94,53.03,1826925
2010-06-01,52.6,53.34,52.34,52.42,1737288
2010-06-02,52.54,53.71,52.19,53.71,1833834
2010-06-03,53.91,54.35,53.62,54.03,1760659
2010-06-04,53.39,53.39,51.8,51.97,2398462
2010-06-07,51.98,52.17,50.58,50.62,3053538
2010-06-08,50.71,50.94,49.91,50.56,2641982
2010-06-09,50.85,51.0,49.24,49.48,4328201
2010-06-10,50.14,50.25,48.76,49.36,4722758
2010-06-11,49.01,50.6,49.0,50.59,4198793
2010-06-14,50.75,51.27,50.44,50.45,2018817
2010-06-15,50.83,51.72,50.68,51.72,2057179
2010-06-16,51.31,52.38,51.27,52.23,2039534
2010-06-17,52.22,52.23,51.56,52.04,1749594
2010-06-18,51.85,52.1,51.59,51.82,2019704
2010-06-21,52.24,52.47,51.25,51.58,1814050
2010-06-22,51.73,52.1,50.93,50.94,1879651
2010-06-23,51.23,51.43,50.17,51.14,2388734
2010-06-24,51.07,51.16,50.03,50.2,2361287
2010-06-25,50.26,50.51,49.75,50.1,3624545
2010-06-28,49.8,51.44,49.62,51.04,2396622
2010-06-29,50.51,50.77,49.73,50.16,2444315
2010-06-30,49.99,50.74,49.74,50.06,1995753
2010-07-01,49.8,49.89,48.61,49.76,2948188
2010-07-02,49.84,50.23,49.42,49.88,1896992
2010-07-06,50.2,50.87,49.91,50.42,1591910
2010-07-07,50.54,52.27,50.5,52.25,1729911
2010-07-08,52.62,52.67,51.72,52.48,2674693
2010-07-09,52.42,52.6,52.09,52.38,962667
2010-07-12,52.27,52.41,51.79,52.14,998158
2010-07-13,52.43,53.25,52.38,53.12,1171358
2010-07-14,53.01,53.29,52.71,53.05,1532653
2010-07-15,53.0,53.1,52.08,52.56,1598817
2010-07-16,52.38,52.56,51.03,51.2,1805757
2010-07-19,51.28,51.75,50.8,51.53,1573664
2010-07-20,50.58,51.38,49.23,51.29,3214323
2010-07-21,49.18,49.75,46.58,46.75,8511449
2010-07-22,47.15,47.41,46.37,47.13,5038927
2010-07-23,47.09,48.0,46.91,47.83,3361899
2010-07-26,48.02,48.02,46.98,47.16,3499105
2010-07-27,47.36,47.67,47.24,47.49,2979724
2010-07-28,47.34,47.53,46.71,46.85,2346907
2010-07-29,47.06,47.4,45.85,46.15,2498538
2010-07-30,45.8,46.72,45.52,46.57,1841113
2010-08-02,47.06,47.9,46.91,47.59,2291203
2010-08-03,47.04,48.24,47.04,47.76,1936994
2010-08-04,47.83,48.26,47.65,47.92,1625144
2010-08-05,47.77,48.06,47.37,48.06,3398384
2010-08-06,47.46,47.97,47.12,47.97,1741236
2010-08-09,48.04,48.25,47.63,48.07,1190091
2010-08-10,47.74,47.85,47.34,47.63,1558660
2010-08-11,47.1,47.1,46.4,46.62,2665149
2010-08-12,45.96,46.84,45.96,46.67,1862631
2010-08-13,46.75,46.85,46.38,46.57,1235762
2010-08-16,46.33,46.62,46.04,46.49,1242248
2010-08-17,46.86,47.75,46.27,46.69,3667373
2010-08-18,46.57,47.33,45.9,46.86,1550554
2010-08-19,46.58,46.64,45.64,45.86,1953138
2010-08-20,45.55,45.94,45.16,45.81,2009210
2010-08-23,46.01,46.7,46.01,46.14,2144542
2010-08-24,45.56,45.56,43.13,43.2,5205406
2010-08-25,42.85,43.49,42.74,43.12,3818213
2010-08-26,43.16,43.27,42.86,42.88,2320912
2010-08-27,42.93,44.16,42.86,44.0,2468523
2010-08-30,44.05,44.05,43.53,43.55,2745917
2010-08-31,43.2,43.39,42.87,43.19,2218903
2010-09-01,43.51,44.77,43.51,44.64,2023273
2010-09-02,44.94,46.6,44.79,45.72,4329961
2010-09-03,46.08,46.28,45.32,46.09,2250972
2010-09-07,45.81,46.41,45.67,45.98,1696189
2010-09-08,46.05,46.05,45.29,45.48,2911721
2010-09-09,45.89,46.17,45.55,46.12,2480963
2010-09-10,46.23,46.8,45.78,46.67,2631582
2010-09-13,46.99,47.59,46.73,47.3,2270458
2010-09-14,47.31,48.82,46.62,48.4,4549307
2010-09-15,48.18,48.73,47.68,48.69,3269248
2010-09-16,49.04,49.04,48.38,48.74,3595544
2010-09-17,48.87,49.18,48.02,48.03,11000287
2010-09-20,48.24,48.81,48.2,48.74,2234948
2010-09-21,48.8,48.97,48.39,48.51,2209431
2010-09-22,48.47,48.75,47.84,48.02,2590152
2010-09-23,47.74,48.45,47.54,47.93,1695925
