Date,Open,High,Low,Close,Volume
2010-01-04,45.57,46.07,45.38,45.92,1302366
2010-01-05,45.89,45.89,45.12,45.37,1011901
2010-01-06,45.49,45.69,45.12,45.32,729166
2010-01-07,45.2,45.2,44.48,44.56,1242440
2010-01-08,44.46,44.58,44.16,44.5,1128200
2010-01-11,44.72,45.16,44.55,45.01,816102
2010-01-12,44.94,45.3,44.65,45.17,702760
2010-01-13,45.12,45.58,44.82,45.35,725085
2010-01-14,45.23,45.72,45.22,45.59,830470
2010-01-15,45.42,45.88,45.09,45.18,1120807
2010-01-19,44.98,45.1,44.23,44.58,1823222
2010-01-20,44.24,44.36,43.27,43.76,1384953
2010-01-21,43.86,44.2,43.25,43.36,1391026
2010-01-22,43.38,43.69,43.0,43.02,890678
2010-01-25,43.32,43.38,42.76,42.8,915898
2010-01-26,42.59,43.1,42.38,42.91,1077094
2010-01-27,42.91,43.0,42.58,42.88,1021535
2010-01-28,42.93,43.03,42.41,42.46,676514
2010-01-29,42.52,42.65,41.86,42.0,1369003
2010-02-01,42.15,42.7,42.08,42.5,1017617
2010-02-02,42.45,42.54,42.0,42.35,1387311
2010-02-03,42.2,42.72,42.08,42.65,909273
2010-02-04,42.42,42.46,40.38,40.43,2138193
2010-02-05,40.59,41.38,40.43,41.22,1724272
2010-02-08,41.22,41.81,41.1,41.31,1213799
2010-02-09,41.51,41.63,39.76,39.98,3752367
2010-02-10,40.11,40.42,38.87,39.0,2462526
2010-02-11,38.96,39.51,38.44,39.44,3022382
2010-02-12,39.2,39.2,38.6,38.9,2394663
2010-02-16,39.08,39.96,38.89,39.88,2199505
2010-02-17,40.1,40.63,39.97,40.47,1843539
2010-02-18,40.33,40.84,40.25,40.64,1567213
2010-02-19,40.62,41.47,40.45,41.11,1653680
2010-02-22,40.94,41.58,40.72,41.35,1354756
2010-02-23,41.29,41.34,40.61,40.86,1269340
2010-02-24,40.8,41.09,40.53,40.98,1053605
2010-02-25,40.52,40.88,40.16,40.85,1393166
2010-02-26,40.9,40.9,40.02,40.38,1893427
2010-03-01,40.53,41.08,40.26,41.08,1190193
2010-03-02,41.21,41.49,40.96,41.07,1285841
2010-03-03,41.18,41.41,40.95,41.32,2124120
2010-03-04,41.51,42.22,41.4,42.18,1604189
2010-03-05,42.46,42.81,42.24,42.81,1705455
2010-03-08,42.72,42.92,42.23,42.69,1260795
2010-03-09,42.55,43.06,42.39,42.94,2592035
2010-03-10,43.01,43.12,42.62,43.01,1335216
2010-03-11,43.0,43.14,42.6,43.13,788112
2010-03-12,43.23,43.23,42.88,43.15,742321
2010-03-15,43.15,43.28,42.99,43.13,924973
2010-03-16,43.09,43.41,43.06,43.34,1203789
2010-03-17,43.38,43.61,43.31,43.46,1140994
2010-03-18,43.5,43.75,43.27,43.32,1116424
2010-03-19,43.37,43.69,43.05,43.36,1417720
2010-03-22,43.2,43.36,43.01,43.15,1183809
2010-03-23,43.13,43.33,42.81,43.0,1195914
2010-03-24,42.97,42.97,42.68,42.8,1252965
2010-03-25,43.34,43.58,42.5,42.66,2015346
2010-03-26,42.67,42.9,42.47,42.61,1554375
2010-03-29,42.1,42.21,41.59,41.73,2119030
2010-03-30,41.85,42.43,41.85,42.13,1442711
2010-03-31,42.12,42.26,41.93,42.06,1057558
2010-04-01,42.32,43.15,42.32,43.1,2203065
2010-04-05,43.28,43.4,42.94,43.17,872159
2010-04-06,42.95,43.02,42.64,42.89,991810
2010-04-07,42.88,43.12,42.78,42.92,1355898
2010-04-08,42.92,43.11,42.7,43.05,915767
2010-04-09,43.08,43.63,43.04,43.58,781451
2010-04-12,43.65,44.14,43.57,44.01,1689812
2010-04-13,43.87,44.78,43.75,44.57,2151230
2010-04-14,44.59,44.74,44.29,44.56,1258211
2010-04-15,44.4,44.55,44.03,44.46,1120227
2010-04-16,44.42,44.48,43.67,43.98,1230914
2010-04-19,43.84,44.21,43.38,43.76,1169728
2010-04-20,43.88,44.14,43.78,44.09,857735
2010-04-21,44.06,44.16,43.91,43.98,530611
2010-04-22,43.84,44.08,43.63,44.01,759631
2010-04-23,43.9,44.14,43.56,44.14,754088
2010-04-26,44.16,44.5,43.98,44.01,834182
2010-04-27,43.95,44.0,42.86,42.95,986433
2010-04-28,43.02,43.12,42.53,42.87,1696129
2010-04-29,43.19,44.91,43.19,44.65,2247150
2010-04-30,44.56,45.0,44.33,44.36,1208990
2010-05-03,44.55,44.99,44.35,44.54,1506883
2010-05-04,43.82,44.55,43.18,44.13,1763967
2010-05-05,43.67,44.14,43.22,43.41,1758456
2010-05-06,43.44,43.44,40.75,42.8,2580478
2010-05-07,42.77,42.79,41.56,41.96,3544479
2010-05-10,43.5,43.56,42.82,42.9,2196105
2010-05-11,42.58,42.96,42.16,42.19,2526890
2010-05-12,42.35,42.63,42.09,42.46,2167171
2010-05-13,42.5,43.44,42.48,42.97,1119673
2010-05-14,42.89,43.44,42.49,42.7,1753438
2010-05-17,42.66,43.09,42.49,42.95,1323144
2010-05-18,43.41,44.15,43.41,43.6,1821364
2010-05-19,43.46,43.63,42.9,43.11,1767209
2010-05-20,42.63,42.63,41.33,41.33,2221993
2010-05-21,40.85,41.89,40.65,41.89,2283803
2010-05-24,41.69,41.9,41.22,41.53,1330095
2010-05-25,40.76,40.77,39.89,40.75,2550558
2010-05-26,40.46,41.07,40.07,40.15,2770968
2010-05-27,40.61,40.97,40.3,40.59,3186831
2010-05-28,40.58,41.42,40.48,41.04,2202761
2010-06-01,40.55,41.21,40.35,40.47,1359220
2010-06-02,40.66,41.7,40.46,41.7,1494826
