Date,Open,High,Low,Close,Volume
2010-01-04,48.16,49.4,48.0,49.4,791385
2010-01-05,49.4,50.16,49.27,49.87,235658
2010-01-06,49.66,50.42,49.66,50.22,337030
2010-01-07,50.22,51.01,49.92,50.87,346098
2010-01-08,51.0,51.88,50.82,51.45,238543
2010-01-11,51.89,51.89,50.85,51.46,193334
2010-01-12,51.2,51.2,50.11,50.28,270875
2010-01-13,50.47,50.78,50.08,50.45,378420
2010-01-14,50.15,50.83,50.0,50.76,340433
2010-01-15,50.58,50.7,50.21,50.38,335963
2010-01-19,50.59,50.7,50.29,50.42,325759
2010-01-20,50.86,51.09,50.01,50.75,454933
2010-01-21,50.83,51.13,49.61,50.07,355645
2010-01-22,49.79,49.94,48.77,49.05,445920
2010-01-25,49.4,49.72,48.65,48.75,345215
2010-01-26,48.75,49.08,48.51,48.77,233000
2010-01-27,48.85,49.01,48.05,48.99,338216
2010-01-28,48.96,49.17,48.41,48.79,244150
2010-01-29,49.02,49.17,48.24,48.27,317759
2010-02-01,48.5,48.54,48.0,48.44,230829
2010-02-02,48.39,49.54,48.25,49.51,285512
2010-02-03,49.46,49.79,49.01,49.64,253162
2010-02-04,49.42,49.55,47.69,47.7,177848
2010-02-05,47.83,47.95,46.54,47.6,209617
2010-02-08,47.77,48.06,47.35,47.5,200952
2010-02-09,47.98,48.63,47.47,48.35,297321
2010-02-10,47.5,48.26,47.35,47.92,333105
2010-02-11,48.03,48.08,47.2,47.95,419208
2010-02-12,47.29,48.05,47.2,48.03,317647
2010-02-16,48.26,48.64,47.84,48.57,182437
2010-02-17,48.57,48.65,48.11,48.36,192869
2010-02-18,48.1,49.29,48.06,49.19,193882
2010-02-19,49.19,49.58,49.04,49.3,194159
2010-02-22,49.28,49.59,48.56,49.4,250950
2010-02-23,49.43,49.68,48.94,49.0,208368
2010-02-24,49.02,49.44,48.76,49.4,146180
2010-02-25,48.81,49.64,48.5,49.59,270109
2010-02-26,49.7,50.26,49.56,50.22,528521
2010-03-01,50.81,52.7,50.66,52.6,397119
2010-03-02,52.98,53.52,52.8,52.87,220412
2010-03-03,52.8,53.21,52.65,52.71,167785
2010-03-04,52.77,52.78,52.39,52.66,137742
2010-03-05,52.77,53.17,52.68,52.85,390445
2010-03-08,53.06,53.06,51.83,51.92,368642
2010-03-09,51.99,52.99,51.92,52.51,263144
2010-03-10,52.36,52.93,52.36,52.61,212184
2010-03-11,52.38,53.01,52.3,52.84,280216
2010-03-12,52.86,52.95,52.17,52.6,323144
2010-03-15,52.36,52.5,51.66,52.44,188794
2010-03-16,52.53,52.53,51.95,52.25,170499
2010-03-17,52.25,52.57,52.16,52.36,70744
2010-03-18,52.49,52.49,52.0,52.22,102306
2010-03-19,52.36,52.54,52.22,52.41,191140
2010-03-22,52.03,52.4,52.0,52.27,77425
2010-03-23,52.17,52.5,51.94,52.14,181459
2010-03-24,52.17,52.25,51.85,52.12,187104
2010-03-25,52.25,52.64,52.03,52.21,259844
2010-03-26,52.2,52.9,52.2,52.56,303885
2010-03-29,52.57,53.82,52.49,53.45,403650
2010-03-30,53.61,54.48,53.57,53.77,451065
2010-03-31,53.75,53.75,52.66,53.04,352479
2010-04-01,53.25,53.4,52.25,52.78,357525
2010-04-05,54.57,55.0,54.17,54.6,675210
2010-04-06,54.71,55.07,54.33,54.85,704595
2010-04-07,54.45,54.97,53.95,54.41,272741
2010-04-08,54.17,54.7,54.17,54.6,236497
2010-04-09,54.97,54.97,54.42,54.7,201179
2010-04-12,54.84,55.04,54.66,54.75,151359
2010-04-13,54.77,54.8,53.65,54.2,218795
2010-04-14,54.61,54.61,53.82,54.59,171170
2010-04-15,54.59,54.73,54.15,54.47,155074
2010-04-16,54.25,54.36,52.73,53.92,253634
2010-04-19,53.54,53.79,53.16,53.56,147114
2010-04-20,53.59,54.5,53.59,54.48,175488
2010-04-21,54.29,55.29,54.29,54.84,150071
2010-04-22,54.38,57.12,54.24,56.86,477483
2010-04-23,56.74,56.87,55.86,56.71,192873
2010-04-26,56.78,57.14,56.31,56.37,176969
2010-04-27,55.97,56.51,54.94,55.05,188953
2010-04-28,55.42,55.5,54.78,55.16,161056
2010-04-29,55.24,55.57,54.94,55.57,317969
2010-04-30,55.76,55.9,55.1,55.27,272874
2010-05-03,55.39,56.65,55.27,56.59,221269
2010-05-04,55.85,56.28,54.29,54.55,343224
2010-05-05,53.77,54.19,52.83,53.24,506589
2010-05-06,52.87,53.81,48.74,52.54,753295
2010-05-07,52.54,52.54,50.01,50.85,612096
2010-05-10,53.54,54.52,52.82,54.1,816665
2010-05-11,53.96,56.16,53.82,54.81,949989
2010-05-12,55.14,56.7,54.9,56.08,437966
2010-05-13,55.87,57.31,55.87,56.54,390097
2010-05-14,56.41,56.41,54.6,55.51,337667
2010-05-17,55.94,56.15,54.53,55.25,407740
2010-05-18,55.51,55.82,54.01,54.02,517181
2010-05-19,53.96,53.96,52.79,53.55,614673
2010-05-20,52.25,53.08,51.41,51.82,833769
2010-05-21,51.3,53.11,51.15,52.87,303675
2010-05-24,52.54,52.85,51.77,51.87,261059
2010-05-25,50.55,51.9,49.54,51.73,591136
2010-05-26,51.91,52.54,51.25,51.35,471827
2010-05-27,52.29,53.11,52.08,53.11,355592
2010-05-28,53.12,53.2,52.28,52.76,187950
2010-06-01,49.18,52.88,49.18,50.9,512279
2010-06-02,50.96,51.65,50.16,51.65,704249
2010-06-03,52.12,52.43,51.32,51.86,293169
2010-06-04,51.01,51.18,49.79,49.88,368180
2010-06-07,49.87,49.93,48.72,48.85,459948
2010-06-08,48.88,49.61,48.68,49.5,502196
2010-06-09,49.9,51.74,49.9,50.42,754444
2010-06-10,51.26,51.62,50.64,51.6,368662
2010-06-11,51.05,51.88,51.0,51.72,366223
2010-06-14,52.6,53.43,51.84,52.27,466473
2010-06-15,52.51,53.35,52.43,53.31,354060
2010-06-16,53.1,53.6,52.89,53.54,441380
2010-06-17,53.46,53.64,52.6,53.15,233857
2010-06-18,53.23,53.55,52.96,53.37,202948
2010-06-21,53.9,53.91,53.01,53.24,170442
2010-06-22,53.27,53.74,52.18,52.2,264179
2010-06-23,52.17,53.36,52.01,53.07,368113
2010-06-24,52.77,53.69,52.6,52.8,356867
2010-06-25,52.85,53.7,52.63,53.28,673956
2010-06-28,53.54,54.27,53.21,53.6,343704
2010-06-29,52.95,52.95,51.44,51.87,377389
2010-06-30,51.62,52.42,50.94,51.03,368289
2010-07-01,51.03,51.34,49.77,50.52,540702
2010-07-02,50.7,50.97,49.89,50.25,202939
2010-07-06,50.68,51.09,49.77,50.26,155584
2010-07-07,50.47,51.45,49.73,51.25,454243
2010-07-08,51.84,52.07,51.35,51.87,338269
2010-07-09,51.95,52.32,51.6,52.25,187313
2010-07-12,50.96,51.97,50.51,51.05,329192
2010-07-13,51.4,51.8,51.14,51.64,340141
2010-07-14,51.56,52.46,51.13,52.15,526383
2010-07-15,52.22,52.44,51.34,52.2,377831
2010-07-16,51.83,51.83,50.0,50.11,429086
2010-07-19,50.32,50.52,49.68,50.07,208115
2010-07-20,49.55,50.65,49.22,50.59,296783
2010-07-21,51.01,51.01,50.03,50.38,304496
2010-07-22,50.8,52.04,50.65,51.78,464427
2010-07-23,51.75,53.12,51.65,53.11,268286
2010-07-26,53.46,54.41,52.91,54.41,349656
2010-07-27,54.65,54.7,54.12,54.31,321991
2010-07-28,54.29,54.35,53.6,53.9,226354
2010-07-29,54.2,54.32,53.07,54.04,369622
2010-07-30,53.4,54.23,53.36,54.17,450849
2010-08-02,55.0,55.64,54.66,54.78,646908
2010-08-03,54.55,55.75,54.55,55.26,329949
2010-08-04,55.47,56.39,55.47,56.2,323235
2010-08-05,55.9,56.21,55.38,55.46,191757
2010-08-06,55.13,55.79,54.99,55.64,405530
2010-08-09,55.63,56.79,55.63,56.65,519601
2010-08-10,58.03,58.79,56.76,57.05,852840
2010-08-11,56.12,56.98,55.79,56.25,438110
2010-08-12,55.74,56.69,55.53,56.3,364365
2010-08-13,56.13,56.61,55.98,56.03,356846
2010-08-16,55.76,56.17,55.53,56.0,377424
2010-08-17,56.55,57.59,56.3,56.84,481043
2010-08-18,56.78,57.77,56.4,57.71,439255
2010-08-19,57.52,58.07,57.39,57.67,596630
2010-08-20,57.62,57.62,56.47,57.35,263560
2010-08-23,57.66,57.66,56.17,56.33,462610
2010-08-24,55.75,56.3,54.86,55.83,856063
2010-08-25,55.43,55.85,54.9,55.4,1011913
2010-08-26,55.53,57.43,55.53,57.02,531296
2010-08-27,57.2,58.53,56.82,58.42,322945
2010-08-30,58.36,58.73,57.97,58.4,438088
2010-08-31,58.24,58.91,57.68,57.89,780974
2010-09-01,58.74,59.92,58.3,59.49,548583
2010-09-02,59.5,61.25,59.41,61.25,669272
2010-09-03,61.5,61.91,60.98,61.42,496544
2010-09-07,61.09,61.14,60.33,60.34,361001
2010-09-08,60.65,61.1,60.55,61.01,270269
2010-09-09,61.82,62.06,60.77,60.94,267314
2010-09-10,61.04,61.61,60.51,60.95,269115
2010-09-13,61.5,62.13,61.35,62.1,285011
2010-09-14,61.89,61.9,61.35,61.5,174827
2010-09-15,61.41,61.94,60.99,61.9,255009
2010-09-16,61.83,62.33,61.56,62.0,301561
2010-09-17,62.0,63.39,61.87,63.15,453970
2010-09-20,63.25,63.9,63.0,63.56,278428
2010-09-21,63.51,63.62,62.22,62.47,361954
2010-09-22,62.24,62.84,61.59,61.9,167334
2010-09-23,61.65,61.74,61.01,61.11,204183
2010-09-24,61.7,62.41,61.7,62.24,131868
2010-09-27,62.52,64.66,61.66,61.68,676998
2010-09-28,61.45,61.97,60.68,61.81,494637
2010-09-29,61.57,63.15,61.57,63.06,355024
2010-09-30,63.16,63.63,61.89,62.05,440169
2010-10-01,62.01,62.74,61.59,61.99,252632
2010-10-04,61.77,62.06,60.89,61.0,186023
2010-10-05,61.0,62.81,60.97,62.21,453438
2010-10-06,62.23,62.7,62.23,62.4,207102
2010-10-07,62.7,62.85,62.06,62.38,112155
2010-10-08,62.55,63.63,62.33,63.54,197093
2010-10-11,63.51,63.73,63.18,63.39,136220
2010-10-12,63.33,63.54,62.33,63.28,229683
2010-10-13,63.36,64.98,62.52,63.87,249952
2010-10-14,63.76,63.83,62.99,63.35,151350
2010-10-15,63.84,64.2,62.92,63.32,172936
2010-10-18,63.23,63.23,62.85,63.0,240186
2010-10-19,62.45,62.8,61.72,62.4,273228
2010-10-20,62.58,63.83,62.44,63.47,220494
2010-10-21,63.65,65.45,63.65,64.99,447424
2010-10-22,64.95,65.3,64.49,65.3,230270
2010-10-25,65.37,66.03,65.06,65.44,181003
2010-10-26,64.93,65.94,64.56,65.67,178011
2010-10-27,65.43,65.78,64.76,65.76,175342
2010-10-28,65.97,66.18,65.25,65.82,167805
2010-10-29,65.62,66.39,65.62,66.27,147943
2010-11-01,66.71,66.78,66.35,66.72,267737
2010-11-02,67.01,67.76,67.01,67.76,220897
2010-11-03,67.75,67.89,66.39,67.05,227260
2010-11-04,67.63,68.03,67.11,67.4,260910
2010-11-05,67.37,67.64,67.03,67.5,128451
2010-11-08,67.32,67.41,66.45,66.81,211696
2010-11-09,66.94,67.1,66.01,66.25,199169
2010-11-10,66.28,66.28,65.42,66.0,232223
2010-11-11,65.46,65.62,65.0,65.6,206997
2010-11-12,65.25,65.65,64.96,65.41,366789
2010-11-15,65.62,66.41,65.32,65.8,239287
2010-11-16,68.1,69.14,66.67,67.28,699728
2010-11-17,67.48,67.65,66.97,67.29,178428
2010-11-18,67.72,68.83,67.7,68.26,230897
2010-11-19,68.22,68.56,67.98,68.27,111212
2010-11-22,68.15,68.72,67.98,68.32,344365
2010-11-23,67.66,68.03,67.19,67.79,226080
2010-11-24,68.0,69.21,68.0,69.05,165767
2010-11-26,68.63,69.24,68.47,69.07,117358
2010-11-29,68.56,69.25,67.98,68.88,181672
2010-11-30,68.65,68.7,67.94,68.5,274070
2010-12-01,68.67,70.0,68.67,69.18,336049
2010-12-02,67.13,70.0,67.13,69.66,300775
2010-12-03,69.51,69.63,68.97,69.5,234580
2010-12-06,69.35,70.0,68.97,69.89,170226
2010-12-07,70.34,70.49,69.81,70.18,247108
2010-12-08,70.27,70.7,69.88,70.14,319559
2010-12-09,70.51,70.95,70.14,70.46,290525
2010-12-10,70.56,70.99,69.97,70.45,482373
2010-12-13,71.09,72.93,70.05,70.66,473944
2010-12-14,70.64,71.64,70.53,70.99,426684
2010-12-15,70.83,71.7,70.67,71.23,405132
2010-12-16,72.65,72.65,70.96,71.81,226451
2010-12-17,71.81,71.81,71.14,71.62,223515
2010-12-20,71.72,71.85,71.16,71.56,310491
2010-12-21,71.71,72.4,71.68,72.28,201569
2010-12-22,72.23,72.59,71.9,72.39,144168
2010-12-23,72.44,72.58,72.0,72.07,107751
2010-12-27,71.79,71.92,71.22,71.86,132362
2010-12-28,71.93,71.93,71.45,71.64,156720
2010-12-29,71.64,72.1,71.61,71.63,75228
2010-12-30,71.69,72.1,71.59,71.59,104491
2010-12-31,71.77,72.38,71.64,72.01,153542
2011-01-03,72.46,73.89,72.46,73.75,272566
2011-01-04,73.95,74.62,73.46,74.36,342568
2011-01-05,74.36,75.73,74.15,75.66,445176
2011-01-06,75.83,76.49,75.37,76.23,286943
2011-01-07,76.18,77.4,76.01,77.4,387194
2011-01-10,77.04,77.08,75.05,75.43,381061
2011-01-11,76.01,77.03,75.76,76.37,448636
2011-01-12,76.89,77.12,76.28,76.6,185676
2011-01-13,77.05,77.05,76.24,76.44,216389
2011-01-14,76.41,77.12,76.19,76.62,178323
2011-01-18,76.68,77.5,76.68,77.35,271294
2011-01-19,77.42,77.63,76.64,77.17,226922
2011-01-20,76.8,76.91,75.96,76.52,301321
2011-01-21,76.81,77.23,76.81,77.14,188347
