Date,Open,High,Low,Close,Volume
2010-01-04,24.82,25.03,24.58,25.03,1793690
2010-01-05,24.96,25.01,24.5,24.66,1843001
2010-01-06,24.66,25.36,24.51,25.16,2189240
2010-01-07,25.06,25.16,24.62,24.69,1736737
2010-01-08,24.66,25.05,24.64,25.0,1137223
2010-01-11,25.03,25.03,24.52,24.78,1143871
2010-01-12,24.54,24.91,24.4,24.74,1547491
2010-01-13,24.77,25.76,24.54,25.52,2678674
2010-01-14,25.51,25.72,25.38,25.66,2028688
2010-01-15,25.65,25.65,25.02,25.24,1733981
2010-01-19,25.13,25.46,25.07,25.46,1196227
2010-01-20,25.25,25.62,25.08,25.56,2033062
2010-01-21,25.61,26.24,25.48,25.8,2429568
2010-01-22,25.61,25.72,24.96,24.98,2673152
2010-01-25,25.31,25.49,25.05,25.09,2081039
2010-01-26,25.1,25.48,24.51,25.37,3496255
2010-01-27,26.1,26.35,24.89,25.75,5674415
2010-01-28,26.08,26.36,24.97,25.27,2351237
2010-01-29,25.36,25.38,24.76,24.88,4299598
2010-02-01,25.11,25.61,24.99,25.53,2332754
2010-02-02,25.66,26.14,25.58,25.67,3869136
2010-02-03,25.61,25.76,25.29,25.44,3082572
2010-02-04,25.2,25.29,24.73,24.79,4079657
2010-02-05,24.88,24.95,24.18,24.6,3618155
2010-02-08,24.66,24.98,24.13,24.68,3492099
2010-02-09,24.94,25.13,24.86,24.89,4447780
2010-02-10,24.98,25.1,24.59,24.69,3336757
2010-02-11,24.53,25.19,24.29,25.13,3500937
2010-02-12,24.84,25.3,24.52,25.3,2134521
2010-02-16,25.36,25.89,25.36,25.82,1960750
2010-02-17,25.92,26.29,25.7,26.21,1623249
2010-02-18,26.12,26.36,25.96,26.17,2548013
2010-02-19,26.02,26.73,26.01,26.4,2279202
2010-02-22,26.4,26.52,26.15,26.17,1657346
2010-02-23,26.15,26.2,25.54,25.63,1569494
2010-02-24,25.74,26.38,25.62,26.33,1966982
2010-02-25,25.94,25.99,25.56,25.74,2227328
2010-02-26,25.65,25.81,25.16,25.63,1920673
2010-03-01,25.69,26.54,25.59,26.39,2217858
2010-03-02,26.49,26.6,25.8,25.82,3194468
2010-03-03,25.8,26.23,25.71,25.86,2803036
2010-03-04,25.86,26.29,25.6,25.86,2671726
2010-03-05,25.77,25.93,25.67,25.79,2658279
2010-03-08,25.8,26.06,25.8,25.89,2664404
2010-03-09,25.65,26.05,25.64,25.77,2193581
2010-03-10,25.88,27.37,25.74,26.78,3436110
2010-03-11,26.82,26.83,26.3,26.51,1978499
2010-03-12,26.52,26.71,26.26,26.64,1835852
2010-03-15,26.57,26.86,26.25,26.53,1353382
2010-03-16,26.75,26.82,26.34,26.71,1747582
2010-03-17,26.82,27.51,26.82,27.41,2139207
2010-03-18,27.38,27.45,26.94,27.28,2242160
2010-03-19,27.19,27.56,27.16,27.5,3627416
2010-03-22,27.25,27.67,26.94,27.58,3338348
2010-03-23,27.69,28.28,27.62,28.22,2212750
2010-03-24,28.1,28.27,27.94,28.17,2561334
2010-03-25,28.35,28.44,27.88,27.88,3361932
2010-03-26,27.99,28.17,27.44,27.68,1732284
2010-03-29,27.71,28.23,27.61,27.72,1623084
2010-03-30,27.92,28.09,27.58,27.89,1564810
2010-03-31,27.88,28.03,27.38,27.48,2348112
2010-04-01,27.55,28.14,27.31,27.6,1289463
2010-04-05,27.62,28.1,27.55,28.05,1511246
2010-04-06,27.79,28.28,27.73,28.28,1106439
2010-04-07,28.22,28.72,28.13,28.54,2148429
