Date,Open,High,Low,Close,Volume
2010-01-04,43.66,44.59,43.59,43.99,1935111
2010-01-05,44.04,44.34,43.44,44.28,1216951
2010-01-06,44.11,45.07,44.05,44.96,1699604
2010-01-07,45.08,46.97,45.02,46.89,3562615
2010-01-08,46.53,46.6,45.5,46.01,3589186
2010-01-11,46.23,47.02,45.9,46.68,3001432
2010-01-12,46.34,46.58,45.35,46.44,8526311
2010-01-13,46.43,46.98,46.12,46.88,3054794
2010-01-14,46.49,46.64,45.23,45.36,5030446
2010-01-15,45.46,45.69,44.76,45.37,4630758
2010-01-19,45.23,45.3,44.03,44.1,3526309
2010-01-20,43.76,43.83,42.91,43.1,3555415
2010-01-21,42.86,43.16,41.57,41.77,5403423
2010-01-22,41.67,41.87,40.68,40.79,3137700
2010-01-25,41.87,42.0,41.33,41.73,2716828
2010-01-26,41.71,41.96,41.23,41.47,2257071
2010-01-27,41.32,41.76,40.87,41.37,1781803
2010-01-28,41.59,41.62,40.66,40.82,1503753
2010-01-29,41.2,41.65,40.54,40.61,2234618
2010-02-01,40.61,41.14,40.61,41.1,1388448
2010-02-02,41.2,42.13,41.2,42.05,1613681
2010-02-03,41.82,42.01,41.34,41.63,1314159
2010-02-04,41.32,41.58,39.89,40.0,2358419
2010-02-05,39.95,40.02,38.89,39.7,3333307
2010-02-08,39.74,40.09,39.17,39.79,1866053
2010-02-09,40.35,40.35,39.34,40.07,2424326
2010-02-10,40.79,41.74,40.69,41.14,3484431
2010-02-11,41.11,41.64,40.69,41.54,2170042
2010-02-12,40.95,41.57,40.92,41.51,1216519
2010-02-16,41.81,42.1,41.63,42.08,1378141
2010-02-17,42.79,43.12,42.36,43.05,2188140
2010-02-18,42.88,43.38,42.7,43.35,1290658
2010-02-19,43.26,43.62,43.02,43.54,1679053
2010-02-22,43.62,43.74,43.33,43.51,1120643
2010-02-23,43.51,43.71,42.81,42.94,1264489
2010-02-24,43.07,43.72,42.87,43.69,1285316
2010-02-25,42.88,43.82,42.55,43.78,1881452
2010-02-26,43.78,44.55,43.65,44.39,2042541
2010-03-01,44.5,45.74,44.33,45.59,2148633
2010-03-02,45.57,45.8,44.73,44.9,1622447
2010-03-03,45.13,45.56,44.83,44.97,1545519
2010-03-04,45.1,45.71,45.03,45.43,930361
2010-03-05,45.63,46.05,45.39,45.94,1306552
2010-03-08,45.72,46.28,45.72,46.01,918983
2010-03-09,45.96,46.15,45.6,45.87,1382530
2010-03-10,45.82,46.11,45.61,45.89,1025389
2010-03-11,45.65,45.75,45.04,45.6,1308104
2010-03-12,45.94,46.14,45.45,46.0,939176
2010-03-15,45.78,46.11,45.46,46.04,864179
2010-03-16,46.06,48.01,45.96,47.99,3199787
2010-03-17,48.01,48.07,47.09,47.39,2502384
2010-03-18,46.98,48.38,46.92,47.58,2413447
2010-03-19,47.98,48.0,46.88,47.25,2537466
2010-03-22,44.83,47.49,44.75,47.41,7939158
2010-03-23,48.15,48.18,47.21,47.76,2601218
2010-03-24,46.89,47.37,46.63,47.33,2326650
2010-03-25,47.7,47.91,47.05,47.09,2007527
2010-03-26,47.29,47.94,47.03,47.32,1409478
2010-03-29,47.54,47.56,47.04,47.28,1096898
2010-03-30,47.34,47.63,46.62,46.92,1615065
2010-03-31,46.75,47.7,46.7,47.49,2895756
2010-04-01,47.85,48.32,47.78,48.25,1665250
2010-04-05,48.28,49.17,47.99,49.12,1216419
2010-04-06,48.39,49.33,48.39,49.2,1389182
2010-04-07,48.98,49.27,48.55,48.81,1750393
2010-04-08,48.94,49.66,48.5,49.43,1786262
2010-04-09,49.51,49.82,49.02,49.79,884213
2010-04-12,49.85,50.01,49.73,49.81,1407766
2010-04-13,49.78,50.5,49.68,50.34,1677599
2010-04-14,50.61,51.23,50.49,51.14,1406188
2010-04-15,51.39,51.39,50.64,50.9,1934140
2010-04-16,50.78,51.16,49.78,50.2,1805686
2010-04-19,50.04,50.34,48.59,49.38,1907731
2010-04-20,49.79,50.22,49.13,49.48,1340832
2010-04-21,49.48,50.6,49.29,50.38,1206079
2010-04-22,49.94,51.18,49.53,50.91,1495091
2010-04-23,50.91,51.5,50.6,51.46,970056
2010-04-26,51.62,52.19,51.46,51.94,1604494
2010-04-27,51.68,51.77,49.61,49.84,1814102
2010-04-28,49.99,50.59,49.15,49.48,1267495
2010-04-29,49.91,50.35,49.63,49.95,1497023
2010-04-30,49.9,50.0,48.33,48.48,1556152
2010-05-03,48.84,49.74,48.51,49.53,1356484
2010-05-04,48.74,48.87,47.83,48.06,1989487
2010-05-05,47.4,48.47,47.26,47.39,1656397
2010-05-06,47.0,47.2,42.04,44.79,5342941
2010-05-07,44.88,45.56,43.12,43.55,4704285
2010-05-10,45.62,46.86,45.62,46.62,2800469
2010-05-11,46.0,47.18,45.92,46.5,1717320
2010-05-12,46.8,48.09,46.56,47.94,2086973
2010-05-13,47.86,48.0,46.15,46.41,2680508
2010-05-14,46.0,46.0,44.54,44.91,3496740
2010-05-17,44.96,45.37,43.84,45.23,2886371
2010-05-18,45.64,45.99,43.52,43.63,3530401
2010-05-19,43.25,44.12,42.57,43.43,3204371
2010-05-20,43.03,43.12,41.62,41.76,4606700
2010-05-21,40.78,42.83,40.61,42.72,3954178
2010-05-24,42.72,43.1,42.26,42.32,2770268
2010-05-25,41.24,42.7,40.75,42.6,3382460
2010-05-26,43.0,44.55,42.98,43.59,5719228
2010-05-27,46.56,47.4,45.54,46.86,7605883
2010-05-28,46.65,46.82,45.15,45.43,3706863
2010-06-01,45.0,45.99,44.65,44.69,2628063
2010-06-02,44.97,44.97,43.51,44.61,3675051
2010-06-03,45.25,45.42,43.76,44.49,2837227
2010-06-04,43.18,43.75,41.82,42.13,3310207
2010-06-07,42.2,42.64,40.52,40.64,2865016
2010-06-08,40.58,41.27,40.0,41.21,4800484
2010-06-09,41.48,43.5,41.48,42.43,5947577
2010-06-10,43.14,43.86,42.77,43.64,2984573
2010-06-11,43.3,44.04,42.94,43.61,2315832
2010-06-14,44.08,44.75,43.81,43.96,2039491
2010-06-15,44.33,44.82,43.66,44.8,1630281
2010-06-16,44.67,44.94,43.83,44.35,1900551
2010-06-17,44.5,44.5,43.11,43.79,2794241
2010-06-18,43.78,44.86,43.78,44.44,2621159
2010-06-21,45.14,45.36,43.67,43.99,2844567
2010-06-22,44.06,44.44,42.11,42.17,2443196
2010-06-23,42.4,42.46,41.45,42.04,3369090
2010-06-24,41.54,41.91,40.38,40.74,3174529
2010-06-25,40.83,41.18,40.25,41.02,3177668
2010-06-28,41.14,41.27,40.46,40.89,2139143
2010-06-29,40.11,40.15,38.21,38.58,3344709
2010-06-30,38.57,39.28,37.73,37.91,3490512
2010-07-01,37.71,38.35,36.45,38.11,4381655
2010-07-02,38.41,39.11,36.94,37.2,2370659
2010-07-06,37.98,37.98,35.81,36.29,4546041
2010-07-07,36.37,38.8,36.27,38.7,4360498
2010-07-08,39.2,39.59,38.32,38.88,3231622
2010-07-09,38.88,39.06,38.37,39.02,1570951
2010-07-12,38.79,39.07,38.31,38.77,1281388
2010-07-13,39.24,40.5,39.21,40.17,2617748
2010-07-14,40.08,41.1,39.6,41.04,3652534
2010-07-15,40.91,41.04,39.93,40.79,2699322
2010-07-16,40.49,40.57,39.14,39.18,4360543
2010-07-19,39.36,39.52,38.47,38.8,3520482
2010-07-20,38.25,39.7,37.98,39.56,2743566
2010-07-21,40.08,40.33,39.11,39.21,2635805
2010-07-22,39.79,40.97,39.78,40.71,2163246
2010-07-23,40.81,41.58,40.46,41.5,1834966
2010-07-26,41.7,42.14,41.23,42.09,1444681
2010-07-27,42.19,42.71,41.67,42.01,3038580
2010-07-28,41.83,42.22,41.41,41.73,2346116
2010-07-29,42.14,42.4,40.68,41.51,2512134
2010-07-30,40.81,42.28,40.13,42.07,2753524
2010-08-02,42.75,43.95,42.53,43.55,3009565
2010-08-03,43.49,43.55,41.69,42.25,3447353
