Date,Open,High,Low,Close,Volume
2010-01-04,18.0,18.32,17.88,18.02,12576998
2010-01-05,17.96,18.52,17.96,18.5,10609062
2010-01-06,18.52,18.65,18.38,18.58,7493690
2010-01-07,19.38,19.87,19.12,19.53,27294584
2010-01-08,19.16,19.31,19.02,19.28,11693794
2010-01-11,19.4,19.42,19.13,19.24,7300614
2010-01-12,19.15,19.18,18.93,19.07,5791738
2010-01-13,19.09,19.18,18.96,19.14,5494038
2010-01-14,19.15,19.15,18.8,18.9,5459860
2010-01-15,18.85,19.06,18.56,18.64,7892614
2010-01-19,18.6,18.94,18.6,18.94,5158974
2010-01-20,18.84,18.84,18.58,18.7,4229416
2010-01-21,18.76,18.8,18.4,18.42,8178568
2010-01-22,18.41,18.66,18.33,18.37,9267048
2010-01-25,18.53,18.64,18.38,18.5,6020590
2010-01-26,18.48,19.22,18.48,19.04,12284304
2010-01-27,19.06,19.3,18.92,19.2,8131378
2010-01-28,19.22,19.32,19.05,19.12,10883402
2010-01-29,19.21,19.42,19.0,19.0,8611888
2010-02-01,19.06,19.39,19.06,19.25,10061684
2010-02-02,19.38,19.62,19.38,19.62,11624568
2010-02-03,19.58,19.62,19.26,19.38,9363110
2010-02-04,19.38,19.44,19.07,19.08,10186292
2010-02-05,19.11,19.24,18.85,19.16,9917954
2010-02-08,19.18,19.18,18.9,18.9,5373568
2010-02-09,19.06,19.08,18.84,18.96,5827150
2010-02-10,18.96,19.06,18.7,18.8,8258702
2010-02-11,18.8,18.82,18.62,18.76,9426154
2010-02-12,18.58,18.84,18.56,18.8,7173422
2010-02-16,18.91,19.25,18.87,19.24,5876990
2010-02-17,19.32,19.48,19.32,19.4,5805864
2010-02-18,19.4,19.59,19.26,19.54,6046430
2010-02-19,19.5,19.7,19.48,19.58,5828140
2010-02-22,19.64,19.74,19.48,19.68,8120102
2010-02-23,19.69,19.75,19.4,19.59,9109084
2010-02-24,19.68,20.28,19.43,20.26,14029620
2010-02-25,19.94,20.95,19.88,20.87,21335866
2010-02-26,20.8,21.04,20.79,20.82,12578328
2010-03-01,20.82,20.9,20.54,20.84,10663948
2010-03-02,20.85,20.85,20.46,20.54,10944012
2010-03-03,20.62,20.72,20.48,20.58,9475302
2010-03-04,20.62,20.72,20.26,20.52,15264008
2010-03-05,20.64,20.76,20.5,20.76,7784530
2010-03-08,20.78,20.83,20.65,20.77,5567820
2010-03-09,20.79,20.97,20.7,20.83,5593780
2010-03-10,20.84,20.98,20.72,20.94,5693272
2010-03-11,20.88,20.98,20.82,20.88,7987074
2010-03-12,20.98,21.18,20.91,21.06,9210942
2010-03-15,21.04,21.45,21.0,21.44,9615912
2010-03-16,21.45,21.62,21.42,21.62,7799494
2010-03-17,21.69,21.69,21.5,21.55,5858946
2010-03-18,21.66,21.7,21.39,21.58,7385566
2010-03-19,21.66,21.7,21.43,21.49,7225984
2010-03-22,21.42,21.93,21.42,21.81,5581890
2010-03-23,21.87,21.94,21.58,21.76,6647582
2010-03-24,21.66,21.84,21.49,21.62,5747262
2010-03-25,21.76,21.96,21.63,21.76,6666058
2010-03-26,21.83,21.89,21.52,21.66,7450176
2010-03-29,21.7,21.78,21.44,21.64,5061174
2010-03-30,21.7,21.84,21.53,21.6,5218122
2010-03-31,21.52,21.58,21.18,21.26,8399020
2010-04-01,21.32,21.46,21.19,21.36,7531290
2010-04-05,21.4,22.2,21.4,22.18,9675144
2010-04-06,22.15,22.48,22.12,22.35,11874596
2010-04-07,22.32,22.46,22.16,22.31,9958554
2010-04-08,22.44,22.67,22.05,22.41,14080432
2010-04-09,22.3,22.48,22.07,22.42,9814182
2010-04-12,22.53,22.89,22.42,22.8,11568228
2010-04-13,22.8,23.16,22.78,23.08,12064710
2010-04-14,23.16,23.24,22.97,23.17,10898726
2010-04-15,23.02,23.18,22.92,23.12,7359372
2010-04-16,23.02,23.12,22.64,22.84,9465936
2010-04-19,22.82,22.86,22.43,22.74,6014614
2010-04-20,22.88,23.09,22.76,23.0,7961322
2010-04-21,23.0,23.5,22.94,23.43,9899964
2010-04-22,23.28,23.94,23.22,23.84,11075730
2010-04-23,23.96,24.04,23.65,24.0,9336918
2010-04-26,24.04,24.25,23.9,23.94,9419724
2010-04-27,23.94,24.1,23.48,23.5,11373922
2010-04-28,23.67,23.67,23.22,23.35,8614486
2010-04-29,23.5,23.79,23.41,23.64,5579496
2010-04-30,23.69,23.84,23.14,23.17,8596126
2010-05-03,23.29,23.74,23.13,23.57,5913742
2010-05-04,23.38,23.38,22.77,22.84,10201156
2010-05-05,22.7,23.74,22.68,23.16,16365744
2010-05-06,22.61,22.88,21.0,22.32,19921128
2010-05-07,22.32,22.52,21.54,21.84,19790716
2010-05-10,22.98,23.18,22.37,22.88,15926746
2010-05-11,22.76,23.12,22.58,22.87,14853914
2010-05-12,22.96,23.28,22.77,23.25,9317068
2010-05-13,23.24,23.24,22.58,22.68,8405594
2010-05-14,22.6,22.92,22.39,22.62,12597766
2010-05-17,22.72,22.84,22.29,22.62,15620630
2010-05-18,21.85,22.3,21.6,21.84,30314008
2010-05-19,21.56,21.8,21.2,21.6,15625150
2010-05-20,21.06,22.31,21.05,21.72,20981528
2010-05-21,21.42,22.17,21.26,21.99,16391270
2010-05-24,22.01,22.27,21.83,21.98,10268054
2010-05-25,21.61,22.7,21.5,22.68,22513104
2010-05-26,22.73,22.86,22.16,22.25,17042432
2010-05-27,22.56,23.02,22.54,23.0,12059616
2010-05-28,23.01,23.08,22.58,22.73,8702036
2010-06-01,22.68,22.94,22.48,22.64,11173414
2010-06-02,22.67,23.06,22.37,23.06,11681648
2010-06-03,23.49,23.67,23.03,23.15,12500458
2010-06-04,22.88,22.97,22.18,22.24,10413272
2010-06-07,22.39,22.54,21.96,21.98,9911186
2010-06-08,21.94,22.42,21.82,22.38,9541306
2010-06-09,22.48,22.98,22.42,22.51,10789338
2010-06-10,22.75,23.14,22.68,23.11,8826192
2010-06-11,22.84,23.2,22.75,23.02,6544822
2010-06-14,23.12,23.3,22.84,23.04,7817670
2010-06-15,23.06,23.31,22.94,23.31,7654318
2010-06-16,23.22,23.37,23.04,23.15,5873880
