Date,Open,High,Low,Close,Volume
2010-01-04,103.13,104.8,102.43,104.7,329638
2010-01-05,104.42,107.18,104.35,107.09,269588
2010-01-06,106.81,108.28,106.36,107.86,168778
2010-01-07,107.3,108.35,106.32,107.84,246260
2010-01-08,107.58,108.09,106.95,107.81,203629
2010-01-11,108.82,109.38,107.58,107.98,184196
2010-01-12,107.18,109.31,107.18,108.23,222014
2010-01-13,108.87,109.57,107.81,109.17,218744
2010-01-14,108.51,109.43,108.14,109.19,193100
2010-01-15,108.94,108.94,107.6,108.07,215027
2010-01-19,107.95,110.76,107.95,109.75,200539
2010-01-20,108.73,109.36,107.95,108.82,200634
2010-01-21,109.08,109.66,106.01,106.53,309579
2010-01-22,106.18,106.69,102.6,103.49,368646
2010-01-25,104.61,106.83,104.61,105.96,249553
2010-01-26,105.38,107.23,104.61,104.89,212574
2010-01-27,104.89,107.37,104.54,107.11,219162
2010-01-28,107.09,107.6,104.82,105.66,159853
2010-01-29,105.99,107.65,104.89,105.03,188908
2010-02-01,105.92,107.86,105.59,106.29,172302
2010-02-02,106.88,108.12,105.99,108.07,172261
2010-02-03,107.18,107.86,105.85,106.25,160054
2010-02-04,105.29,108.3,103.42,103.42,411788
2010-02-05,103.3,104.0,99.81,103.13,370665
2010-02-08,104.61,105.8,102.6,103.02,390570
2010-02-09,104.33,105.36,101.57,103.58,359590
2010-02-10,103.09,105.59,102.27,103.79,255869
2010-02-11,104.05,104.65,102.18,104.19,555189
2010-02-12,103.37,103.81,101.61,103.81,307436
2010-02-16,104.75,104.8,102.2,104.54,333008
2010-02-17,105.19,106.22,104.94,106.2,252075
2010-02-18,105.96,108.44,105.61,107.88,264696
2010-02-19,107.56,109.61,107.27,108.84,246185
2010-02-22,108.84,109.92,108.09,109.64,243036
2010-02-23,108.87,108.87,105.5,105.57,559182
2010-02-24,105.61,107.65,105.5,107.23,271512
2010-02-25,105.9,108.62,105.12,108.33,320495
2010-02-26,108.77,109.15,107.35,108.77,255294
2010-03-01,109.43,110.31,109.17,110.06,167727
2010-03-02,110.74,110.76,109.4,110.43,211895
2010-03-03,110.92,113.99,110.43,113.38,519077
2010-03-04,113.87,114.95,113.17,114.53,366192
2010-03-05,115.37,117.17,114.78,116.94,319883
2010-03-08,116.07,118.61,115.88,118.27,290467
2010-03-09,117.4,118.57,117.26,117.99,307448
2010-03-10,117.99,119.79,117.45,119.11,336908
2010-03-11,118.69,119.93,118.43,119.93,236992
2010-03-12,120.14,120.75,118.92,119.65,181660
2010-03-15,119.35,120.82,119.18,120.47,316534
2010-03-16,120.63,123.06,120.35,123.02,318986
2010-03-17,123.2,127.3,123.2,125.68,439525
2010-03-18,125.36,126.11,124.56,125.57,188221
2010-03-19,126.22,126.76,124.33,124.4,304156
2010-03-22,124.33,125.43,122.85,124.33,235337
2010-03-23,124.16,124.84,122.81,124.84,260156
2010-03-24,124.42,124.65,123.35,123.74,316250
2010-03-25,124.91,125.43,123.11,123.39,281392
2010-03-26,123.51,125.4,122.69,123.18,293152
2010-03-29,123.95,124.73,122.62,124.23,215164
2010-03-30,123.86,124.8,123.24,123.51,161983
2010-03-31,123.04,125.24,122.64,125.17,454236
2010-04-01,125.85,127.11,125.75,126.62,241391
2010-04-05,126.97,127.93,126.57,127.81,161605
2010-04-06,127.3,128.35,126.97,127.98,316181
2010-04-07,127.79,127.91,125.24,126.18,260407
2010-04-08,125.66,125.94,124.26,125.87,303843
2010-04-09,125.94,126.13,124.91,126.04,159068
2010-04-12,126.5,127.27,126.2,127.2,233672
2010-04-13,126.69,128.14,125.68,127.95,175119
2010-04-14,128.51,131.11,128.23,131.11,282716
2010-04-15,131.09,131.09,128.87,130.39,214195
2010-04-16,129.96,130.6,126.53,127.49,348976
2010-04-19,126.39,128.4,125.57,128.26,170776
2010-04-20,129.29,130.62,128.65,130.62,123068
2010-04-21,130.36,130.97,127.49,129.26,223290
2010-04-22,128.02,129.15,126.39,129.03,165434
2010-04-23,128.98,131.74,128.23,131.51,199740
2010-04-26,131.51,132.26,130.29,130.53,201510
2010-04-27,129.82,130.11,124.47,124.87,257757
2010-04-28,126.13,127.16,122.71,123.23,480517
2010-04-29,124.77,128.96,124.77,128.23,300627
2010-04-30,127.91,128.87,125.17,125.24,276970
2010-05-03,126.01,126.41,124.46,125.47,241588
2010-05-04,123.51,125.47,121.73,123.04,386801
2010-05-05,121.59,124.87,121.05,122.99,321561
2010-05-06,122.55,124.7,112.77,118.76,613838
