Date,Open,High,Low,Close,Volume
2010-01-04,53.77,55.34,53.12,54.4,2330155
2010-01-05,54.05,55.03,53.63,55.01,1569481
2010-01-06,54.92,55.08,53.98,54.15,1517914
2010-01-07,54.11,54.54,53.55,54.11,1047902
2010-01-08,53.95,54.02,53.22,53.9,1344637
2010-01-11,54.0,54.79,53.94,54.28,1098957
2010-01-12,53.9,54.99,53.76,54.59,1606711
2010-01-13,54.43,55.28,54.15,55.13,1476940
2010-01-14,54.91,55.06,54.19,54.79,1191292
2010-01-15,54.8,54.89,53.52,53.6,1657863
2010-01-19,53.55,54.45,53.35,54.29,1197770
2010-01-20,53.9,53.9,52.8,53.36,1474461
2010-01-21,53.4,53.43,51.73,51.92,1979520
2010-01-22,51.76,51.98,50.48,50.64,1826463
2010-01-25,51.08,51.97,50.85,51.7,1561990
2010-01-26,51.54,52.27,50.92,51.37,2311733
2010-01-27,51.67,52.81,51.1,52.63,2050788
2010-01-28,53.68,54.12,48.81,50.6,5056633
2010-01-29,51.04,51.2,49.18,49.62,2663274
2010-02-01,49.77,51.14,49.37,51.03,2245524
2010-02-02,51.16,51.59,50.69,51.17,1741159
2010-02-03,50.85,51.27,50.42,50.7,1475714
2010-02-04,49.83,50.71,48.27,48.27,2274852
2010-02-05,48.35,49.09,47.42,48.87,3488688
2010-02-08,49.16,49.69,48.1,48.13,1735883
2010-02-09,48.71,49.39,47.89,48.69,1844392
2010-02-10,48.52,49.47,48.52,49.07,1454859
2010-02-11,48.9,49.21,48.48,49.01,1402112
2010-02-12,48.69,49.08,48.24,48.94,1829300
2010-02-16,49.45,50.18,48.99,50.18,1242550
2010-02-17,50.44,50.59,49.6,49.92,1504555
2010-02-18,49.94,50.15,49.23,49.6,1739696
2010-02-19,49.63,50.31,49.49,49.95,1647693
2010-02-22,50.25,50.56,49.64,50.04,1469531
2010-02-23,49.99,50.28,49.48,49.6,2212353
2010-02-24,49.95,50.69,49.63,50.63,1379248
2010-02-25,50.11,50.39,49.56,50.32,1076335
2010-02-26,50.57,50.97,49.87,50.69,1529673
2010-03-01,50.65,51.17,50.58,51.1,1046934
2010-03-02,51.12,51.48,51.06,51.4,1466791
2010-03-03,51.44,52.06,51.28,51.64,1403276
2010-03-04,51.57,52.61,51.5,52.56,1698978
2010-03-05,52.62,53.99,52.62,53.98,1754874
2010-03-08,53.89,53.95,53.25,53.36,1316809
2010-03-09,53.32,53.81,52.87,53.49,1167155
2010-03-10,53.53,53.65,53.11,53.44,1710180
2010-03-11,53.01,53.4,52.71,53.4,1083873
2010-03-12,53.4,53.73,52.83,53.33,1320661
2010-03-15,53.12,53.53,52.74,53.45,1265110
2010-03-16,53.69,53.89,53.27,53.85,1339167
