Date,Open,High,Low,Close,Volume
2010-01-04,17.32,17.38,16.57,17.21,1795196
2010-01-05,17.19,17.32,17.09,17.21,1045682
2010-01-06,17.16,17.24,16.89,16.89,1188181
2010-01-07,16.77,16.91,16.63,16.78,1276002
2010-01-08,16.78,17.04,16.62,17.02,1408977
2010-01-11,17.13,17.24,16.95,17.0,1379335
2010-01-12,16.88,17.0,16.86,16.94,1178882
2010-01-13,16.94,17.1,16.91,17.07,908624
2010-01-14,17.06,17.16,16.97,16.98,921858
2010-01-15,16.84,16.9,16.5,16.51,1871328
2010-01-19,16.54,17.11,16.51,17.08,2389486
2010-01-20,16.96,17.18,16.76,17.01,2457585
2010-01-21,14.9,15.13,14.3,14.98,14303160
2010-01-22,14.84,15.09,14.67,14.69,3385253
2010-01-25,14.44,14.56,14.19,14.54,3738127
2010-01-26,14.57,15.1,14.31,14.93,3071348
2010-01-27,14.83,15.05,14.65,14.82,2164929
2010-01-28,14.86,17.75,14.65,14.67,1782880
2010-01-29,14.77,14.77,14.27,14.31,2901239
2010-02-01,14.34,14.55,14.26,14.54,2125819
2010-02-02,14.58,14.66,14.44,14.59,2043142
2010-02-03,14.57,14.68,14.4,14.48,2010434
2010-02-04,14.63,14.99,14.5,14.51,2991114
2010-02-05,14.49,14.63,14.3,14.56,1754409
2010-02-08,14.26,14.59,14.21,14.41,3489515
2010-02-09,14.57,14.65,14.39,14.56,2639054
2010-02-10,14.56,14.57,14.26,14.34,1734087
2010-02-11,14.35,14.39,14.11,14.34,1609937
2010-02-12,14.26,14.26,14.12,14.23,1039471
2010-02-16,14.27,14.41,14.17,14.37,1249175
2010-02-17,14.44,14.44,14.28,14.36,989056
2010-02-18,14.33,14.43,14.29,14.37,764603
2010-02-19,14.33,14.48,14.2,14.38,1434105
2010-02-22,14.44,14.52,14.37,14.4,1246947
2010-02-23,14.41,14.56,14.3,14.47,1896622
2010-02-24,14.53,14.61,14.43,14.5,1002128
2010-02-25,14.35,14.48,14.15,14.45,1138782
2010-02-26,14.48,14.48,14.21,14.24,2117461
2010-03-01,14.56,14.68,14.29,14.5,2054488
2010-03-02,14.64,14.64,14.38,14.4,2019953
2010-03-03,14.46,14.6,14.46,14.54,1058024
2010-03-04,14.55,14.64,14.5,14.55,917079
2010-03-05,14.65,14.89,14.57,14.89,1044777
2010-03-08,14.89,15.02,14.87,14.96,1078825
2010-03-09,14.92,15.1,14.87,15.04,1050193
2010-03-10,15.02,15.07,14.94,15.04,958709
2010-03-11,15.02,15.09,14.92,15.09,791951
2010-03-12,15.08,15.18,15.01,15.13,1202440
2010-03-15,15.09,15.21,14.99,15.12,1078259
2010-03-16,15.11,15.18,15.05,15.13,916294
2010-03-17,15.13,15.37,15.12,15.3,1466244
2010-03-18,15.25,15.34,15.19,15.22,1339425
2010-03-19,15.28,15.4,15.08,15.16,1897207
2010-03-22,15.12,15.65,15.1,15.54,1601269
2010-03-23,15.6,15.65,15.47,15.61,891500
2010-03-24,15.54,15.66,15.39,15.47,1150481
2010-03-25,15.54,15.66,15.42,15.47,1523973
2010-03-26,15.54,15.86,15.54,15.61,1659529
2010-03-29,15.7,15.86,15.61,15.73,1711765
2010-03-30,15.77,15.94,15.75,15.92,1098564
2010-03-31,15.9,15.92,15.63,15.66,1554923
2010-04-01,15.73,15.87,15.65,15.83,1214286
2010-04-05,15.83,16.04,15.81,16.03,868591
2010-04-06,15.93,16.28,15.88,16.09,2370148
2010-04-07,16.04,16.2,16.04,16.11,1397422
2010-04-08,16.03,16.13,15.92,16.1,1338127
2010-04-09,16.1,16.34,16.03,16.33,848731
2010-04-12,16.32,16.33,16.19,16.25,667290
2010-04-13,16.25,16.32,16.17,16.17,1296802
2010-04-14,16.22,16.45,16.22,16.41,1196372
2010-04-15,16.38,16.59,16.26,16.49,1580785
2010-04-16,16.46,16.52,16.2,16.21,1614925
2010-04-19,16.11,16.33,16.07,16.28,1771858
2010-04-20,16.36,16.5,16.21,16.5,1878720
2010-04-21,16.91,16.99,16.19,16.4,3746739
2010-04-22,16.25,16.55,16.17,16.52,1389224
2010-04-23,16.56,16.77,16.4,16.77,1212795
2010-04-26,16.71,16.82,16.59,16.63,991274
2010-04-27,16.57,16.63,16.09,16.13,1844189
2010-04-28,16.16,16.21,15.97,16.04,1913064
2010-04-29,16.14,16.28,16.09,16.19,1019859
2010-04-30,16.23,16.28,16.0,16.01,1811126
2010-05-03,16.14,16.18,15.81,15.96,2852586
2010-05-04,15.83,15.85,15.5,15.58,1985786
2010-05-05,15.41,15.58,15.41,15.5,2091576
2010-05-06,15.48,15.67,14.59,15.23,5432678
2010-05-07,15.13,15.34,14.77,14.95,2705177
2010-05-10,15.58,15.6,15.38,15.52,1720418
2010-05-11,15.34,15.64,15.3,15.43,1764460
2010-05-12,15.51,15.72,15.5,15.67,1389746
2010-05-13,15.67,15.76,15.56,15.56,1404955
2010-05-14,15.42,15.56,15.14,15.26,1606066
2010-05-17,15.28,15.48,15.18,15.42,1580763
2010-05-18,15.58,15.65,15.33,15.34,1945602
2010-05-19,15.34,15.39,14.99,15.03,3069509
2010-05-20,14.82,14.89,14.28,14.3,3741386
2010-05-21,14.02,14.5,14.02,14.46,2620464
2010-05-24,14.37,14.59,14.3,14.36,1410676
2010-05-25,14.1,14.24,13.93,14.24,2182548
2010-05-26,14.31,14.64,14.28,14.32,2369126
2010-05-27,14.53,14.74,14.41,14.74,1426911
2010-05-28,14.75,14.75,14.53,14.6,1241504
2010-06-01,14.45,14.62,14.29,14.32,1398144
2010-06-02,14.4,14.55,14.27,14.55,1165320
2010-06-03,14.49,14.88,14.49,14.84,1340497
2010-06-04,14.46,14.7,14.24,14.28,1621095
2010-06-07,14.32,14.35,13.95,13.95,1367554
2010-06-08,13.97,14.17,13.85,14.14,2452509
2010-06-09,14.17,14.32,13.97,14.04,1341924
2010-06-10,14.19,14.47,14.19,14.46,1165203
2010-06-11,14.33,14.43,14.22,14.41,1081595
2010-06-14,14.48,14.61,14.38,14.38,786616
2010-06-15,14.49,14.82,14.37,14.82,838787
2010-06-16,14.75,14.95,14.69,14.76,1204478
2010-06-17,14.85,14.87,14.65,14.77,1253824
2010-06-18,14.87,14.9,14.69,14.85,1179248
2010-06-21,14.99,15.02,14.58,14.64,1409629
2010-06-22,14.66,14.85,14.4,14.45,1156272
2010-06-23,14.44,14.44,14.21,14.34,1137385
2010-06-24,14.29,14.35,14.1,14.13,874901
2010-06-25,14.17,14.2,14.02,14.13,2842900
2010-06-28,14.19,14.24,14.01,14.03,806569
2010-06-29,13.82,13.92,13.55,13.64,1508219
2010-06-30,13.58,13.72,13.52,13.6,2081626
2010-07-01,13.55,13.81,13.41,13.79,2093394
2010-07-02,13.8,13.9,13.59,13.63,1508258
2010-07-06,13.81,13.9,13.6,13.71,1547800
2010-07-07,13.75,14.22,13.65,14.21,1126945
2010-07-08,14.39,14.42,14.17,14.34,996630
2010-07-09,14.26,14.45,14.26,14.45,590083
2010-07-12,14.39,14.55,14.32,14.48,713644
2010-07-13,14.62,14.8,14.56,14.74,845424
2010-07-14,14.76,14.78,14.64,14.71,1279254
2010-07-15,14.78,14.79,14.52,14.73,1041823
2010-07-16,14.64,14.64,14.14,14.15,1144530
2010-07-19,14.3,14.37,14.17,14.28,923698
2010-07-20,14.13,14.47,14.06,14.46,951205
2010-07-21,14.53,14.56,14.08,14.16,1451573
2010-07-22,15.11,15.74,14.85,15.33,4013120
2010-07-23,15.27,15.53,15.17,15.42,1917348
2010-07-26,15.47,15.54,15.36,15.49,1016032
2010-07-27,15.52,15.52,15.21,15.3,1899413
2010-07-28,15.22,15.25,15.02,15.06,973236
2010-07-29,15.08,15.16,14.75,14.9,1479033
2010-07-30,14.82,15.01,14.74,14.91,872998
2010-08-02,15.08,15.16,14.92,15.12,1364050
2010-08-03,15.09,15.13,14.86,14.9,857408
2010-08-04,14.9,15.08,14.81,15.05,1033853
2010-08-05,14.96,15.08,14.86,15.07,1730963
2010-08-06,14.93,15.21,14.93,15.2,1393438
2010-08-09,15.27,15.44,15.24,15.43,1170408
2010-08-10,15.33,15.33,14.96,15.06,967798
2010-08-11,14.84,14.85,14.51,14.52,1288187
2010-08-12,14.29,14.44,14.24,14.37,908542
2010-08-13,14.31,14.4,14.23,14.36,964386
2010-08-16,14.27,14.42,14.14,14.39,1026837
2010-08-17,14.52,14.67,14.46,14.51,803128
2010-08-18,14.48,14.58,14.42,14.52,531498
2010-08-19,14.43,14.44,14.11,14.24,1046257
2010-08-20,14.13,14.22,14.02,14.19,775414
2010-08-23,14.26,14.3,14.08,14.16,673056
2010-08-24,14.01,14.12,13.87,14.0,1044862
2010-08-25,13.9,14.3,13.88,14.25,1257735
2010-08-26,14.32,14.42,14.2,14.26,1419818
2010-08-27,14.33,14.57,14.18,14.55,1153496
2010-08-30,14.5,14.54,14.28,14.31,1309970
2010-08-31,14.22,14.33,14.09,14.2,1320752
2010-09-01,14.37,14.85,14.32,14.83,1991895
2010-09-02,14.8,14.84,14.3,14.34,3237739
2010-09-03,14.45,14.57,14.41,14.54,1469326
2010-09-07,14.49,14.55,14.33,14.35,1315234
2010-09-08,14.4,14.42,14.16,14.26,1433139
2010-09-09,14.43,14.47,14.0,14.08,1379863
2010-09-10,14.12,14.25,13.98,14.21,1344626
2010-09-13,14.33,14.6,14.32,14.56,1537204
2010-09-14,14.45,14.63,14.44,14.45,1436898
2010-09-15,14.41,14.73,14.35,14.65,1634971
2010-09-16,14.62,14.82,14.61,14.75,1504221
2010-09-17,14.8,15.0,14.8,14.99,5740086
2010-09-20,14.99,15.29,14.9,15.27,1501688
2010-09-21,15.28,15.3,14.95,15.06,1590635
2010-09-22,15.09,15.2,14.93,14.99,1052644
2010-09-23,14.86,15.05,14.8,14.86,1130159
2010-09-24,15.0,15.26,14.98,15.26,1229553
2010-09-27,15.26,15.32,15.11,15.21,869456
2010-09-28,15.25,15.34,15.12,15.27,1045663
2010-09-29,15.26,15.28,15.11,15.22,927352
2010-09-30,15.34,15.5,15.16,15.24,1052353
2010-10-01,15.36,15.45,15.21,15.27,1217476
2010-10-04,15.26,15.38,15.11,15.23,1011189
2010-10-05,15.37,15.48,15.2,15.47,1036455
2010-10-06,15.42,15.49,15.18,15.28,791268
2010-10-07,15.37,15.39,15.17,15.28,848803
2010-10-08,15.32,15.39,15.2,15.35,643940
2010-10-11,15.35,15.42,15.29,15.37,368758
2010-10-12,15.33,15.53,15.23,15.5,1349534
2010-10-13,15.55,15.72,15.48,15.64,1487173
2010-10-14,15.66,15.9,15.55,15.76,2304628
2010-10-15,15.93,15.97,15.83,15.91,1850281
2010-10-18,15.82,15.99,15.82,15.99,853339
2010-10-19,15.78,15.89,15.63,15.7,948697
2010-10-20,15.76,15.99,15.76,15.98,1199964
2010-10-21,15.93,16.0,15.58,15.77,1443751
2010-10-22,15.77,15.98,15.68,15.98,767214
2010-10-25,16.05,16.1,15.8,15.81,1335434
2010-10-26,15.7,15.81,15.56,15.69,965812
2010-10-27,15.58,15.67,15.35,15.51,1027571
2010-10-28,15.57,15.65,15.39,15.5,839772
2010-10-29,15.46,15.7,15.46,15.61,1101019
2010-11-01,15.63,15.75,15.42,15.49,770962
2010-11-02,15.6,15.7,15.57,15.64,656016
2010-11-03,15.69,15.71,15.49,15.67,715043
2010-11-04,15.83,15.89,15.74,15.8,988239
2010-11-05,15.8,15.95,15.76,15.92,882291
2010-11-08,15.84,15.99,15.8,15.8,704240
2010-11-09,15.88,16.0,15.66,15.69,1022104
2010-11-10,15.67,15.88,15.67,15.86,735793
2010-11-11,15.66,15.9,15.62,15.79,804916
2010-11-12,15.71,15.75,15.51,15.52,756211
2010-11-15,15.58,15.67,15.36,15.36,1114081
2010-11-16,15.28,15.32,14.97,15.1,1882454
2010-11-17,15.13,15.37,14.99,15.35,1301875
2010-11-18,15.5,15.65,15.44,15.56,731864
2010-11-19,15.56,15.62,15.49,15.62,672900
2010-11-22,15.51,15.66,15.44,15.65,667086
2010-11-23,15.48,15.57,15.34,15.47,1103348
2010-11-24,15.24,15.49,15.24,15.44,1261429
2010-11-26,15.34,15.45,15.29,15.43,528724
