Date,Open,High,Low,Close,Volume
2010-01-04,30.66,31.15,30.66,31.15,1553602
2010-01-05,31.14,31.42,30.71,30.9,1210887
2010-01-06,30.93,31.23,30.65,30.75,1039658
2010-01-07,30.85,31.3,30.64,31.21,1186298
2010-01-08,31.25,32.68,31.21,32.62,1905909
2010-01-11,32.87,33.12,32.24,32.28,803464
2010-01-12,32.07,32.19,31.18,31.31,882144
2010-01-13,31.51,32.79,31.51,32.76,1360170
2010-01-14,32.53,33.42,32.42,33.36,1185586
2010-01-15,33.34,33.36,32.22,32.36,933963
2010-01-19,31.99,32.18,30.78,32.17,1775896
2010-01-20,31.94,31.94,29.6,30.32,4784287
2010-01-21,30.29,30.55,29.06,29.23,1791912
2010-01-22,29.21,29.9,28.67,28.75,1566571
2010-01-25,29.0,29.77,28.72,29.54,1578924
2010-01-26,29.42,30.96,29.3,30.85,1844036
2010-01-27,30.86,30.86,29.71,30.23,1858261
2010-01-28,30.28,30.39,29.13,29.39,1066870
2010-01-29,29.43,29.87,29.02,29.16,937583
2010-02-01,29.22,29.36,28.8,29.36,1137122
2010-02-02,29.41,30.42,29.18,30.34,1098618
2010-02-03,30.3,30.3,29.73,29.88,431190
2010-02-04,29.75,29.75,29.02,29.17,945293
2010-02-05,29.2,29.25,28.4,28.83,902748
2010-02-08,28.77,29.13,28.4,28.94,1374948
2010-02-09,29.27,30.35,29.05,30.24,1585418
2010-02-10,30.05,31.21,30.05,30.87,2193430
2010-02-11,30.73,31.45,30.44,31.38,942332
2010-02-12,31.05,32.02,30.88,32.02,1023953
2010-02-16,32.21,32.29,31.7,32.01,1031089
2010-02-17,32.0,32.3,31.73,31.84,1578076
2010-02-18,31.74,31.95,31.16,31.91,1804456
2010-02-19,31.78,32.29,31.78,32.28,925941
2010-02-22,32.27,32.5,31.37,31.45,1185586
2010-02-23,31.25,31.39,30.51,30.56,1275148
2010-02-24,30.57,30.7,30.19,30.4,1285017
2010-02-25,30.02,31.17,29.52,31.01,1725566
2010-02-26,30.52,31.83,29.65,31.02,2416675
2010-03-01,31.18,31.75,31.12,31.69,1206950
2010-03-02,31.85,32.22,31.67,32.04,687114
2010-03-03,32.2,32.38,31.57,31.65,882437
2010-03-04,31.6,33.09,31.57,33.03,1720739
2010-03-05,33.23,33.3,32.81,33.1,960187
2010-03-08,33.16,33.2,32.97,33.06,608624
2010-03-09,32.92,33.11,32.54,32.54,1498021
2010-03-10,32.63,33.64,31.87,33.51,3239758
2010-03-11,33.31,33.7,32.98,33.66,1535992
2010-03-12,33.6,33.75,32.41,33.03,1197531
2010-03-15,33.01,33.94,32.67,33.86,1371409
2010-03-16,33.97,34.17,33.79,34.15,1131672
2010-03-17,34.35,34.99,34.0,34.63,1750217
2010-03-18,34.77,34.96,34.1,34.17,1769504
2010-03-19,34.14,34.54,33.84,34.46,1767661
2010-03-22,34.75,36.71,34.75,36.59,3788131
2010-03-23,36.73,36.74,35.78,35.95,1192212
2010-03-24,35.91,35.97,35.02,35.17,1276869
2010-03-25,35.28,35.46,34.98,35.18,868038
2010-03-26,35.23,35.75,35.18,35.63,1283146
2010-03-29,35.81,36.17,35.66,36.07,941833
2010-03-30,36.16,36.25,35.69,35.8,1297039
2010-03-31,35.72,35.75,34.91,35.09,756200
2010-04-01,35.36,36.88,35.27,36.71,1578167
2010-04-05,36.71,37.08,36.51,36.63,672585
2010-04-06,36.57,36.97,36.46,36.69,788940
2010-04-07,36.54,36.82,35.81,36.78,1650563
2010-04-08,36.72,37.02,36.22,36.99,1141116
2010-04-09,37.05,37.1,36.29,36.32,1126297
2010-04-12,36.34,37.18,36.28,36.5,1791980
2010-04-13,36.55,36.8,35.96,36.06,1102361
2010-04-14,36.28,36.3,35.43,35.45,1132592
2010-04-15,35.45,35.57,35.13,35.38,1136204
2010-04-16,35.29,35.52,33.71,34.86,3856858
2010-04-19,35.24,35.93,34.64,35.76,1966400
2010-04-20,36.15,37.12,35.43,37.0,2057169
2010-04-21,36.93,37.25,35.82,35.99,1347630
2010-04-22,35.69,36.3,35.41,35.87,1114143
2010-04-23,35.97,37.07,35.97,36.51,1999820
2010-04-26,36.58,36.64,35.86,35.97,1178125
2010-04-27,35.93,38.21,35.93,36.89,3702328
2010-04-28,36.98,37.19,36.55,36.75,1383869
2010-04-29,36.87,38.28,36.75,38.18,1266715
2010-04-30,38.2,38.68,37.1,37.12,1487862
2010-05-03,37.32,38.16,36.92,37.85,1290820
2010-05-04,37.66,37.66,36.4,36.46,1221446
2010-05-05,36.29,36.86,35.88,36.01,1316533
2010-05-06,35.8,36.45,33.42,35.03,1818834
2010-05-07,35.1,35.9,34.81,35.47,2637439
2010-05-10,36.75,36.97,36.16,36.65,1332616
2010-05-11,36.32,37.69,36.06,37.48,1682126
