Date,Open,High,Low,Close,Volume
2010-01-04,19.23,19.25,18.59,18.85,594661
2010-01-05,18.92,19.16,18.56,18.76,500943
2010-01-06,18.75,19.25,18.69,19.22,340381
2010-01-07,19.6,20.98,19.37,20.86,1530499
2010-01-08,21.0,21.62,20.87,21.61,619358
2010-01-11,21.62,21.62,21.05,21.28,403887
2010-01-12,21.28,21.6,20.87,21.14,234857
2010-01-13,20.63,21.41,20.63,21.31,195584
2010-01-14,21.09,21.48,20.4,20.44,438238
2010-01-15,20.54,20.54,19.75,20.35,236562
2010-01-19,20.17,20.45,20.07,20.21,378202
2010-01-20,20.09,20.31,19.71,20.1,298056
2010-01-21,20.16,20.49,19.5,20.0,283378
2010-01-22,19.96,20.49,19.57,20.05,289007
2010-01-25,20.15,20.47,19.72,19.74,154634
2010-01-26,19.66,20.26,19.24,19.97,458610
2010-01-27,19.93,20.0,19.64,19.91,122638
2010-01-28,20.0,20.16,19.15,19.29,207028
2010-01-29,19.31,19.97,19.3,19.4,191951
2010-02-01,19.49,19.99,19.42,19.79,233749
2010-02-02,19.74,19.74,18.88,19.49,365699
2010-02-03,19.44,19.62,19.0,19.12,91355
2010-02-04,18.93,19.01,18.0,18.01,329439
2010-02-05,18.0,18.13,17.52,17.92,343125
2010-02-08,17.85,18.6,17.53,17.87,213927
2010-02-09,18.12,18.26,17.8,17.94,464235
2010-02-10,17.84,18.0,17.05,17.29,587084
2010-02-11,17.16,17.92,17.05,17.75,216751
2010-02-12,17.53,17.9,17.53,17.86,293998
2010-02-16,18.15,18.49,17.92,18.39,185844
2010-02-17,18.53,18.68,18.26,18.45,211157
2010-02-18,18.37,18.54,18.24,18.42,93521
2010-02-19,18.43,18.45,17.93,17.94,315358
2010-02-22,17.95,18.28,17.56,17.98,201218
2010-02-23,17.95,18.01,17.27,17.72,542444
2010-02-24,17.75,18.42,17.62,18.36,187041
2010-02-25,18.08,18.5,17.95,18.1,204689
2010-02-26,18.17,18.5,18.12,18.33,112547
2010-03-01,18.5,19.21,18.38,19.12,359908
2010-03-02,19.24,19.69,19.13,19.67,298800
2010-03-03,19.65,20.03,19.27,19.97,404755
2010-03-04,20.03,21.21,19.87,21.21,552994
2010-03-05,21.45,21.62,20.96,21.4,546422
2010-03-08,21.41,21.74,20.74,20.98,440008
2010-03-09,21.02,21.49,20.72,21.17,559323
2010-03-10,21.24,21.62,21.08,21.47,250571
2010-03-11,21.4,21.56,20.64,21.54,489890
2010-03-12,21.94,23.35,21.58,23.33,1976496
2010-03-15,22.52,23.06,21.17,22.11,1143103
2010-03-16,22.35,22.94,21.91,22.86,528637
2010-03-17,23.01,23.17,22.44,22.49,310432
2010-03-18,22.49,22.73,21.88,22.64,237096
2010-03-19,22.49,22.5,21.61,21.7,448483
2010-03-22,21.51,22.15,21.32,22.07,339615
2010-03-23,22.14,22.3,21.62,22.21,297761
2010-03-24,22.06,22.29,21.0,21.97,288710
2010-03-25,22.08,23.28,22.0,22.72,545226
2010-03-26,22.98,23.14,22.4,22.5,254226
2010-03-29,22.68,22.9,22.33,22.81,209572
2010-03-30,22.98,23.45,22.8,23.21,345072
2010-03-31,23.22,23.39,22.54,22.62,459712
2010-04-05,22.26,22.63,21.64,22.63,501413
2010-04-06,22.65,23.26,22.58,23.19,261615
2010-04-07,23.1,23.2,22.09,22.2,340011
2010-04-08,22.19,22.47,21.89,22.15,137267
2010-04-09,22.18,23.38,22.18,23.2,428320
2010-04-12,23.14,24.1,23.04,23.22,759033
2010-04-13,23.14,23.14,22.44,22.84,248223
2010-04-14,23.03,23.29,22.72,23.26,240730
2010-04-15,23.36,24.09,23.31,23.81,269625
2010-04-16,23.81,23.98,23.1,23.61,206345
2010-04-19,23.47,23.52,22.06,22.17,431919
2010-04-20,22.28,22.88,22.25,22.82,214652
2010-04-21,22.78,23.3,22.43,23.18,327308
2010-04-22,22.99,24.85,22.75,24.59,602482
2010-04-23,24.73,25.4,24.29,25.36,446741
2010-04-26,25.46,25.76,24.73,24.97,269237
2010-04-27,22.87,23.65,21.66,22.75,1542925
2010-04-28,23.31,23.72,22.86,22.98,408046
2010-04-29,23.26,24.1,23.24,24.08,304971
2010-04-30,24.15,24.75,23.09,23.12,353482
2010-05-03,23.47,24.55,23.3,23.93,309524
2010-05-04,23.74,23.77,22.83,23.01,254651
2010-05-05,22.64,23.13,22.01,22.5,270664
2010-05-06,22.48,22.77,20.71,21.99,429973
2010-05-07,21.95,22.47,21.14,21.24,285258
2010-05-10,22.66,23.0,22.2,22.82,353125
2010-05-11,22.68,24.09,22.51,23.4,287284
2010-05-12,23.58,25.04,23.33,24.7,299341
2010-05-13,24.94,25.4,23.96,24.18,476231
2010-05-14,23.88,24.23,23.5,23.74,245872
2010-05-17,23.96,24.75,23.64,23.76,693890
2010-05-18,23.93,24.5,23.47,23.5,196242
2010-05-19,23.31,23.97,22.91,23.51,203269
2010-05-20,22.85,22.97,22.1,22.16,313216
2010-05-21,21.7,23.83,21.35,23.32,424693
2010-05-24,23.33,24.07,23.33,23.55,245055
2010-05-25,22.71,23.09,22.0,22.86,464162
2010-05-26,23.18,24.09,22.79,23.62,759630
2010-05-27,24.32,24.78,23.24,24.59,317168
2010-05-28,25.25,26.0,24.81,25.58,636297
2010-06-01,25.41,25.98,24.75,24.75,487845
2010-06-02,24.82,25.09,22.86,23.59,1154526
2010-06-03,23.55,24.14,23.17,23.9,484451
2010-06-04,23.7,23.9,22.73,23.16,781005
2010-06-07,23.4,23.48,21.57,22.23,925779
2010-06-08,22.28,22.52,21.25,21.42,577514
2010-06-09,21.6,22.19,21.24,21.9,930243
2010-06-10,22.19,22.6,21.92,22.4,849153
2010-06-11,22.67,24.87,22.62,24.68,5338625
2010-06-14,24.75,24.89,23.75,24.53,1084900
2010-06-15,25.18,25.37,24.81,25.12,889210
2010-06-16,25.04,26.5,24.86,25.85,1434571
2010-06-17,26.13,26.46,24.86,25.8,677729
2010-06-18,25.97,26.49,25.83,26.18,781751
2010-06-21,26.49,26.75,25.13,25.55,864368
2010-06-22,25.53,25.87,24.91,25.05,702262
2010-06-23,25.0,25.21,24.46,24.96,506029
2010-06-24,24.75,24.81,24.1,24.42,564718
2010-06-25,24.47,24.92,23.86,24.92,897458
2010-06-28,24.93,26.03,24.92,25.82,746334
2010-06-29,25.26,25.26,23.81,24.04,669763
2010-06-30,23.97,24.48,23.42,23.66,479291
2010-07-01,23.75,23.99,22.68,23.0,1364557
2010-07-02,23.12,23.31,22.79,23.08,488797
2010-07-06,23.3,23.88,22.02,22.21,933182
2010-07-07,22.22,23.46,22.06,23.35,789740
2010-07-08,23.61,23.73,22.61,22.97,538984
2010-07-09,22.95,23.54,22.5,23.51,281367
2010-07-12,23.44,23.48,22.51,23.09,412348
2010-07-13,23.49,23.93,23.04,23.89,437234
2010-07-14,23.74,23.74,22.78,23.6,391554
2010-07-15,23.56,23.56,22.73,23.3,378697
2010-07-16,23.03,23.06,22.59,22.77,563938
2010-07-19,22.9,23.06,22.51,22.9,495657
2010-07-20,22.66,23.24,22.23,23.15,445729
2010-07-21,23.31,23.31,22.45,22.86,322648
2010-07-22,23.27,24.17,23.07,24.12,477190
2010-07-23,24.08,24.76,23.85,24.74,423844
2010-07-26,24.83,25.5,24.65,25.43,444298
2010-07-27,25.55,25.89,24.41,24.67,346367
2010-07-28,24.56,24.82,24.11,24.61,297814
