Date,Open,High,Low,Close,Volume
2010-01-04,47.19,47.42,47.0,47.17,780520
2010-01-05,47.67,47.85,47.41,47.84,846008
2010-01-06,47.95,48.49,47.75,48.13,810004
2010-01-07,48.07,48.07,47.11,47.34,975782
2010-01-08,47.33,47.47,47.0,47.39,675384
2010-01-11,47.54,48.25,47.52,47.64,1192423
2010-01-12,47.52,48.15,47.49,48.1,1159738
2010-01-13,48.21,49.01,48.11,48.96,926725
2010-01-14,49.01,49.49,48.7,48.99,781298
2010-01-15,49.03,49.03,48.0,48.35,784987
2010-01-19,48.42,49.38,48.25,49.31,753136
2010-01-20,49.35,49.89,48.75,48.86,854966
2010-01-21,48.99,49.2,47.93,47.99,1180193
2010-01-22,47.95,49.48,47.78,48.5,2023171
2010-01-25,48.77,48.83,48.12,48.51,1880903
2010-01-26,48.54,50.05,48.28,49.78,1724943
2010-01-27,49.81,49.81,48.45,48.97,1708763
2010-01-28,50.44,50.44,49.11,49.77,1563862
2010-01-29,49.79,50.74,49.57,50.29,1596444
2010-02-01,50.86,50.86,49.44,50.12,1403361
2010-02-02,50.28,50.7,49.56,50.6,901415
2010-02-03,50.5,50.55,49.8,49.88,859249
2010-02-04,49.4,49.44,48.33,48.41,1286327
2010-02-05,48.3,48.31,46.96,47.77,1713456
2010-02-08,47.77,47.89,47.12,47.5,1288621
2010-02-09,47.78,48.43,47.55,47.88,969830
2010-02-10,47.8,47.83,47.05,47.33,715276
2010-02-11,47.28,47.86,47.0,47.65,616339
2010-02-12,47.52,47.77,47.01,47.58,552311
2010-02-16,47.6,48.12,47.55,48.01,1030776
2010-02-17,48.03,48.74,48.02,48.67,573923
2010-02-18,48.69,49.0,48.5,48.68,731615
2010-02-19,48.58,48.69,48.1,48.36,1001558
2010-02-22,48.54,49.0,48.36,48.73,951974
2010-02-23,48.6,48.96,48.3,48.34,1011166
2010-02-24,48.6,48.94,48.41,48.84,689915
2010-02-25,48.46,48.8,48.2,48.63,1167343
2010-02-26,48.76,49.47,48.71,48.97,1609092
2010-03-01,49.06,50.47,49.0,50.28,1072700
2010-03-02,50.26,50.85,50.26,50.61,799385
2010-03-03,50.63,50.79,50.32,50.38,958044
2010-03-04,50.51,50.68,50.28,50.48,1035046
2010-03-05,50.7,52.38,50.64,52.38,1541854
2010-03-08,52.53,52.6,52.3,52.47,889249
2010-03-09,52.36,53.27,52.33,52.97,1328923
2010-03-10,52.9,53.55,52.83,53.35,913735
2010-03-11,53.32,53.32,52.53,52.79,858971
2010-03-12,52.96,52.96,52.46,52.84,958410
2010-03-15,52.84,53.32,52.75,53.25,451601
2010-03-16,53.22,53.31,52.7,52.79,876895
2010-03-17,52.98,53.37,52.74,53.32,600826
2010-03-18,53.34,53.86,53.25,53.8,589254
2010-03-19,53.94,54.0,53.12,53.3,714273
2010-03-22,53.08,54.39,53.08,53.93,860926
2010-03-23,54.08,54.89,53.99,54.8,1237011
2010-03-24,54.77,54.88,54.49,54.75,839072
2010-03-25,54.9,56.32,54.9,55.81,1861818
2010-03-26,56.04,56.04,55.17,55.65,1224646
2010-03-29,55.65,56.25,55.55,56.15,659832
2010-03-30,56.26,56.26,55.48,55.66,1022500
2010-03-31,55.6,55.63,55.15,55.33,797608
2010-04-01,55.47,56.38,55.45,56.38,1014711
2010-04-05,56.55,56.77,55.78,56.0,1309354
2010-04-06,55.83,55.91,55.45,55.81,603324
2010-04-07,55.6,55.61,54.91,55.28,616770
2010-04-08,55.28,55.37,54.67,54.87,662425
2010-04-09,54.99,55.66,54.83,55.37,1053780
2010-04-12,55.46,55.48,55.17,55.26,661721
2010-04-13,55.5,55.63,55.08,55.56,1049950
2010-04-14,55.7,55.7,54.98,55.36,1297984
2010-04-15,55.28,57.47,55.18,57.46,1499477
2010-04-16,57.41,57.7,56.31,56.41,1032914
2010-04-19,56.34,56.6,55.92,56.16,933814
2010-04-20,56.45,56.93,56.33,56.74,583268
2010-04-21,56.8,56.87,55.47,55.66,1070045
2010-04-22,55.17,55.43,54.7,55.33,1064200
2010-04-23,55.05,55.5,54.79,55.44,720030
2010-04-26,55.6,55.72,54.73,54.96,840236
2010-04-27,54.59,55.21,54.4,54.72,1200595
2010-04-28,54.99,56.03,54.88,55.82,1231802
2010-04-29,55.65,56.45,55.0,55.95,1483871
2010-04-30,56.13,56.75,55.91,56.38,1251950
2010-05-03,56.69,57.33,56.06,57.27,1157569
2010-05-04,56.91,56.91,56.0,56.24,1222028
