Date,Open,High,Low,Close,Volume
2010-01-04,18.5,18.5,18.26,18.34,2041900
2010-01-05,18.37,18.8,18.11,18.7,4115348
2010-01-06,18.7,18.72,18.47,18.62,2904208
2010-01-07,18.54,19.02,18.54,18.98,2644008
2010-01-08,18.96,19.01,18.8,18.88,2940372
2010-01-11,18.98,19.04,18.58,18.82,2247564
2010-01-12,18.77,18.92,18.46,18.62,2587296
2010-01-13,18.64,18.8,18.54,18.78,2351156
2010-01-14,18.82,18.89,18.61,18.76,3285096
2010-01-15,18.76,18.8,18.49,18.66,2805744
2010-01-19,18.64,18.81,18.64,18.79,1963304
2010-01-20,18.68,18.76,18.54,18.72,2407352
2010-01-21,18.76,18.83,18.6,18.6,4488736
2010-01-22,18.63,18.7,18.1,18.11,3700948
2010-01-25,18.23,18.25,17.96,18.04,2821408
2010-01-26,18.05,18.16,17.94,18.09,2152232
2010-01-27,18.09,18.34,18.05,18.3,2348860
2010-01-28,18.37,18.4,18.11,18.13,3001296
2010-01-29,18.16,18.37,17.97,18.01,1786120
2010-02-01,18.07,18.26,18.0,18.24,1427776
2010-02-02,18.28,18.56,18.22,18.54,2491596
2010-02-03,18.35,18.38,18.07,18.18,2820760
2010-02-04,18.04,18.08,17.78,17.89,4643836
2010-02-05,17.82,17.93,17.56,17.88,5181388
2010-02-08,17.84,18.15,17.8,17.85,2157988
2010-02-09,17.94,18.18,17.94,18.13,2340632
2010-02-10,18.09,18.29,18.02,18.11,3741736
2010-02-11,18.54,18.68,18.35,18.59,7637864
2010-02-12,18.38,18.6,18.38,18.48,4557076
2010-02-16,18.59,18.88,18.54,18.87,3243700
2010-02-17,18.94,19.16,18.93,19.14,4354384
2010-02-18,19.11,19.18,18.95,19.1,3052728
2010-02-19,19.12,19.19,18.98,19.16,2911104
2010-02-22,19.2,19.26,19.14,19.18,1800056
2010-02-23,19.09,19.13,18.84,18.94,2968940
2010-02-24,19.0,19.18,18.9,19.17,1891684
2010-02-25,18.94,19.32,18.94,19.32,2422964
2010-02-26,19.25,19.42,19.17,19.34,3003788
2010-03-01,19.36,19.5,19.27,19.49,2772312
2010-03-02,19.5,19.56,19.44,19.52,3038436
2010-03-03,19.52,19.53,19.37,19.46,3292116
2010-03-04,19.6,19.6,19.36,19.49,2364724
2010-03-05,19.44,19.74,19.37,19.7,2686200
2010-03-08,19.72,20.0,19.71,20.0,3080900
2010-03-09,19.95,20.0,19.88,19.94,2866012
2010-03-10,19.9,20.0,19.83,19.99,2566728
2010-03-11,19.9,19.95,19.72,19.95,2390704
2010-03-12,19.99,20.0,19.76,19.91,1921276
2010-03-15,19.84,19.96,19.74,19.93,3499048
2010-03-16,19.97,20.0,19.85,19.97,2129344
2010-03-17,19.99,20.16,19.98,20.1,3418888
2010-03-18,20.08,20.24,19.82,19.96,3679960
2010-03-19,20.02,20.06,19.88,19.93,4278964
2010-03-22,19.82,20.2,19.76,20.05,3414604
2010-03-23,20.06,20.25,20.0,20.25,3072980
2010-03-24,20.14,20.22,19.95,19.98,3096084
2010-03-25,20.14,20.23,19.86,19.86,4211948
2010-03-26,19.95,20.23,19.9,20.13,4981516
2010-03-29,20.22,20.22,19.93,20.1,2715412
2010-03-30,20.13,20.2,19.97,19.98,2425660
2010-03-31,19.93,20.14,19.9,20.04,2477624
2010-04-01,20.15,20.3,20.13,20.26,1948600
2010-04-05,20.3,20.63,20.27,20.5,2663064
2010-04-06,20.44,20.7,20.41,20.63,2402156
2010-04-07,20.59,20.72,20.48,20.53,2980184
2010-04-08,20.52,20.55,20.35,20.52,2381772
2010-04-09,20.89,20.93,20.51,20.92,4440752
2010-04-12,21.02,21.08,20.89,20.98,2744252
2010-04-13,20.95,21.11,20.76,21.06,2154592
2010-04-14,21.12,21.12,20.72,20.92,5210416
2010-04-15,20.86,20.97,20.76,20.92,2034408
2010-04-16,20.83,21.02,20.58,20.63,2607360
2010-04-19,20.58,20.79,20.48,20.66,2789412
2010-04-20,20.7,20.9,20.66,20.89,1916524
2010-04-21,20.92,21.11,20.87,21.08,2105528
2010-04-22,20.99,21.74,20.93,21.71,5348340
2010-04-23,21.65,21.74,21.48,21.66,4061232
2010-04-26,21.63,21.94,21.58,21.82,2941912
2010-04-27,21.72,21.74,21.32,21.37,4122964
2010-04-28,21.45,21.72,21.27,21.42,2644096
2010-04-29,21.58,21.82,21.45,21.78,1999080
2010-04-30,22.2,22.31,21.6,21.6,5768492
2010-05-03,21.65,21.92,21.47,21.52,4510588
2010-05-04,21.22,21.34,20.94,21.0,3699496
2010-05-05,20.85,21.08,20.69,20.82,5020248
2010-05-06,20.76,20.88,18.9,20.12,5496428
2010-05-07,20.01,20.27,19.48,19.72,5399524
2010-05-10,20.63,20.86,20.42,20.78,4227072
2010-05-11,20.49,21.18,20.44,20.84,3993792
2010-05-12,20.86,21.22,20.82,21.13,3167592
2010-05-13,21.18,21.22,20.79,20.84,3025568
2010-05-14,20.7,20.79,20.3,20.46,3734804
2010-05-17,20.48,20.5,19.94,20.38,3291516
2010-05-18,20.59,20.77,20.18,20.19,3948344
2010-05-19,20.07,20.21,19.7,19.99,4465040
2010-05-20,19.56,19.63,19.07,19.22,4892384
2010-05-21,18.91,19.71,18.76,19.47,4101868
2010-05-24,19.48,19.61,19.31,19.34,2197188
2010-05-25,18.98,19.31,18.73,19.26,8532080
2010-05-26,19.43,19.5,18.98,19.02,6728260
2010-05-27,19.36,19.47,19.2,19.46,7559492
2010-05-28,19.47,19.62,19.21,19.34,3900124
2010-06-01,19.2,19.46,18.94,18.96,3270116
2010-06-02,19.0,19.5,18.82,19.5,4425092
2010-06-03,19.5,19.65,19.37,19.53,2840320
2010-06-04,19.14,19.14,18.51,18.61,3786552
2010-06-07,18.67,18.74,18.3,18.32,3969164
2010-06-08,18.32,18.5,18.04,18.48,4051992
2010-06-09,18.58,18.97,18.58,18.66,4237092
2010-06-10,19.04,19.41,18.94,19.38,2745504
2010-06-11,19.24,19.57,19.22,19.44,3883212
2010-06-14,19.57,19.77,19.46,19.52,2859084
2010-06-15,19.62,20.04,19.52,20.01,3243256
2010-06-16,19.93,20.0,19.65,19.81,4393240
2010-06-17,19.86,19.9,19.5,19.65,5622412
