Date,Open,High,Low,Close,Volume
2010-01-04,17.25,17.94,17.11,17.89,14133688
2010-01-05,18.12,18.57,17.97,18.35,15625918
2010-01-06,18.39,19.02,18.16,18.81,15445582
2010-01-07,18.78,19.05,18.38,18.95,11041246
2010-01-08,18.93,18.98,18.52,18.69,12719340
2010-01-11,18.86,18.93,18.22,18.51,9989624
2010-01-12,18.17,18.28,17.79,18.21,9734743
2010-01-13,18.2,18.2,17.66,18.06,14936817
2010-01-14,18.06,18.37,17.9,18.27,8611654
2010-01-15,18.25,18.79,18.15,18.77,19631172
2010-01-19,18.75,18.93,18.57,18.87,12357368
2010-01-20,18.69,19.22,18.62,19.12,17579663
2010-01-21,19.08,19.21,18.53,18.9,13362501
2010-01-22,18.69,18.75,18.09,18.18,14046455
2010-01-25,18.33,18.55,18.05,18.35,9856542
2010-01-26,18.26,19.05,18.18,19.02,20511336
2010-01-27,18.84,19.06,18.33,18.69,23312299
2010-01-28,18.65,18.78,18.0,18.43,14683409
2010-01-29,18.46,19.05,18.39,18.42,14936572
2010-02-01,18.66,19.19,18.65,19.16,11998011
2010-02-02,19.21,19.31,18.82,19.26,11526042
2010-02-03,18.93,19.15,18.64,18.94,8147224
2010-02-04,18.64,18.72,18.08,18.11,9570762
2010-02-05,18.05,18.17,17.49,18.16,12354876
2010-02-08,18.14,18.22,17.81,17.85,6550062
2010-02-09,18.07,18.29,17.83,18.1,8816913
2010-02-10,18.01,18.11,17.63,18.0,7962783
2010-02-11,18.01,18.09,17.61,18.0,12964565
2010-02-12,17.78,17.8,17.51,17.7,11705577
2010-02-16,17.84,18.03,17.77,17.97,9082183
2010-02-17,18.0,18.1,17.71,17.82,7330318
2010-02-18,17.78,17.87,17.61,17.69,11664444
2010-02-19,17.75,17.94,17.56,17.89,8686259
2010-02-22,17.99,18.0,17.7,17.78,9639054
2010-02-23,17.71,17.78,17.28,17.48,10636597
2010-02-24,17.49,17.79,17.29,17.6,8742071
2010-02-25,17.32,17.45,17.12,17.45,9331899
2010-02-26,17.46,17.78,17.42,17.52,7020171
2010-03-01,17.65,17.76,17.6,17.64,5860026
2010-03-02,17.59,18.42,17.51,18.2,13471145
2010-03-03,18.31,18.84,18.27,18.62,11590541
2010-03-04,18.67,18.86,18.5,18.82,9022041
2010-03-05,18.92,19.63,18.92,19.57,14152086
2010-03-08,19.59,19.88,19.55,19.62,7931522
2010-03-09,19.43,19.7,19.41,19.53,7530046
2010-03-10,19.61,20.59,19.59,20.52,16850978
2010-03-11,20.41,20.91,20.18,20.41,12332725
2010-03-12,20.52,20.58,20.11,20.44,9561744
2010-03-15,20.36,20.42,19.92,20.36,9882854
2010-03-16,20.42,20.6,20.26,20.56,8768515
2010-03-17,20.63,20.97,20.55,20.66,10285102
2010-03-18,20.67,20.84,20.35,20.55,7412445
2010-03-19,20.6,20.66,19.96,20.31,9687733
2010-03-22,19.79,20.38,19.65,20.29,9350681
2010-03-23,20.3,20.36,20.1,20.3,7638864
2010-03-24,20.11,20.76,19.96,20.69,11411894
2010-03-25,20.81,21.0,19.84,19.87,13031119
2010-03-26,20.0,20.07,19.3,19.72,13266997
2010-03-29,19.84,19.99,19.64,19.89,8650248
2010-03-30,19.92,19.96,19.7,19.84,8739269
2010-03-31,19.81,19.82,19.5,19.7,11496252
2010-04-01,19.84,20.21,19.68,20.02,10609453
2010-04-05,20.14,20.66,19.96,20.63,10152245
2010-04-06,20.56,20.84,20.46,20.74,7478536
2010-04-07,20.61,20.61,20.0,20.11,8331855
2010-04-08,19.72,20.21,19.31,20.02,12022092
2010-04-09,20.22,20.45,19.85,20.01,8650167
2010-04-12,19.92,20.0,19.54,19.6,10418390
