Date,Open,High,Low,Close,Volume
2010-01-04,53.41,53.41,52.17,52.73,1127989
2010-01-05,52.85,52.93,52.0,52.93,830222
2010-01-06,52.99,54.36,52.99,53.85,1082832
2010-01-07,54.04,54.04,52.69,53.17,1126838
2010-01-08,53.11,53.35,52.29,52.65,701945
2010-01-11,53.09,53.12,51.7,52.18,973534
2010-01-12,51.71,52.42,51.59,52.08,894786
2010-01-13,52.17,52.81,51.61,52.79,680072
2010-01-14,52.67,52.87,52.07,52.65,482532
2010-01-15,52.67,52.81,51.0,51.16,1117071
2010-01-19,51.15,51.89,50.69,51.78,718433
2010-01-20,51.25,51.26,50.49,50.96,724394
2010-01-21,50.96,50.96,48.41,48.44,1477008
2010-01-22,48.02,48.71,46.96,47.06,1644518
2010-01-25,47.62,47.7,46.25,46.77,1594506
2010-01-26,46.5,47.53,46.08,46.94,1020433
2010-01-27,46.59,46.59,45.15,46.22,1506015
2010-01-28,46.45,46.45,44.7,45.17,995605
2010-01-29,45.39,45.88,44.03,44.19,1654710
2010-02-01,44.54,44.95,44.11,44.95,858643
2010-02-02,45.27,46.04,44.9,45.84,931146
2010-02-03,45.76,46.05,44.84,45.12,812364
2010-02-04,44.58,44.89,42.98,43.3,1976141
2010-02-05,43.29,43.81,42.59,43.66,1577268
2010-02-08,43.74,44.28,43.25,43.5,1544459
2010-02-09,42.98,43.3,41.8,42.63,3844884
2010-02-10,43.69,43.71,41.9,42.83,2004284
2010-02-11,42.8,43.07,42.16,43.05,1215462
2010-02-12,42.29,42.99,41.99,42.94,1457402
2010-02-16,43.21,44.62,43.02,44.48,1312546
2010-02-17,44.64,45.0,43.97,44.35,1008427
2010-02-18,44.17,44.6,43.93,44.45,621099
2010-02-19,44.22,45.61,44.04,45.5,1372595
2010-02-22,45.71,46.42,45.38,45.82,1215895
2010-02-23,45.9,46.06,44.81,45.18,1340430
2010-02-24,45.12,45.21,44.32,44.88,697518
2010-02-25,44.36,44.59,43.72,44.55,757354
2010-02-26,44.57,44.68,43.2,43.41,1617555
2010-03-01,43.59,43.59,42.52,43.01,1574226
2010-03-02,43.2,43.54,42.63,42.68,1302649
2010-03-03,42.85,44.04,42.74,43.89,1242698
2010-03-04,43.88,44.35,43.34,43.77,1286490
2010-03-05,44.21,45.14,44.15,45.09,867235
2010-03-08,45.12,46.01,44.89,45.95,984034
2010-03-09,45.81,46.12,45.19,45.69,1400188
2010-03-10,45.75,46.06,45.25,45.41,948869
2010-03-11,45.05,45.65,44.72,45.64,685634
2010-03-12,45.93,46.0,45.07,45.26,935139
2010-03-15,45.21,45.59,44.9,45.48,835796
2010-03-16,45.69,46.62,45.3,46.49,2481184
2010-03-17,46.84,50.4,46.75,49.65,4235629
2010-03-18,49.65,49.65,47.55,48.39,1943286
2010-03-19,48.41,48.85,47.85,48.57,1771957
2010-03-22,48.01,50.3,47.94,49.55,2105836
2010-03-23,49.7,50.28,49.13,50.18,1488794
2010-03-24,49.9,50.73,49.68,49.73,1451579
2010-03-25,50.13,50.41,48.14,48.26,2447054
2010-03-26,48.36,48.8,47.13,47.78,1451186
