Date,Open,High,Low,Close,Volume
2010-01-04,70.64,71.44,69.61,70.02,1688138
2010-01-05,70.07,70.07,68.66,69.49,2013342
2010-01-06,69.58,70.2,68.72,69.21,1540035
2010-01-07,69.0,71.1,68.6,70.28,1823484
2010-01-08,69.72,70.03,68.84,69.5,1265693
2010-01-11,69.77,70.14,69.15,69.72,1060596
2010-01-12,69.23,69.71,68.0,68.76,1551842
2010-01-13,68.99,70.59,68.55,70.46,2055938
2010-01-14,70.23,70.89,69.89,70.75,1659998
2010-01-15,70.51,70.82,69.74,70.1,2095047
2010-01-19,70.14,71.05,69.82,70.68,2429299
2010-01-20,70.21,70.21,68.86,69.15,1909115
2010-01-21,69.18,69.62,66.42,66.5,2892812
2010-01-22,66.48,67.27,64.41,64.71,2537922
2010-01-25,65.76,65.76,63.99,64.91,2356616
2010-01-26,64.0,65.2,63.75,64.17,1945302
2010-01-27,63.95,65.2,63.14,65.09,2150954
2010-01-28,65.48,65.64,64.26,64.69,1900683
2010-01-29,64.97,65.97,64.26,64.68,2798919
2010-02-01,65.17,66.06,65.04,66.06,2227169
2010-02-02,66.27,67.02,65.38,66.87,2330801
2010-02-03,66.43,66.45,65.12,65.53,1715123
2010-02-04,65.12,65.34,63.04,63.13,3545263
2010-02-05,63.33,64.7,62.26,64.27,3068331
2010-02-08,64.11,64.97,62.7,62.87,2078186
2010-02-09,63.64,64.05,61.98,63.01,2407772
2010-02-10,62.92,63.7,61.76,62.76,2223201
2010-02-11,62.68,62.99,61.88,62.49,2361731
2010-02-12,61.84,62.88,61.25,62.7,2445483
2010-02-16,63.16,64.48,62.83,64.42,2654097
2010-02-17,64.94,64.94,63.14,63.84,2387123
2010-02-18,63.68,65.13,63.28,64.83,1838577
2010-02-19,64.52,65.99,64.12,65.62,2099998
2010-02-22,65.93,66.14,65.38,65.68,1577033
2010-02-23,64.55,65.65,64.49,64.57,1732559
2010-02-24,65.09,65.64,64.3,65.31,1626639
2010-02-25,64.6,65.75,64.29,65.69,1235966
2010-02-26,65.65,66.42,64.86,65.72,2514358
2010-03-01,65.99,66.78,65.62,66.19,1265785
2010-03-02,66.48,67.0,66.18,66.35,1327616
2010-03-03,66.51,67.0,65.95,66.45,1139500
2010-03-04,66.43,67.3,66.28,67.13,1457064
2010-03-05,67.48,69.41,67.2,69.26,1671821
2010-03-08,69.27,70.8,69.26,70.53,1259795
2010-03-09,70.19,71.96,70.03,71.44,1592985
