Date,Open,High,Low,Close,Volume
2010-01-04,24.56,24.87,24.29,24.74,2651973
2010-01-05,24.79,25.14,24.5,25.0,4628696
2010-01-06,24.9,25.07,24.65,24.73,3003526
2010-01-07,24.7,24.74,24.28,24.39,5674634
2010-01-08,24.33,24.69,24.31,24.58,2351397
2010-01-11,24.61,24.74,24.03,24.51,3443179
2010-01-12,24.32,24.49,23.9,24.18,2484758
2010-01-13,24.34,24.47,23.94,24.4,2563166
2010-01-14,24.61,24.61,24.16,24.33,1863656
2010-01-15,24.47,24.47,23.66,23.98,5208386
2010-01-19,23.95,24.42,23.87,24.3,2912196
2010-01-20,24.05,24.14,23.79,24.01,4285689
2010-01-21,24.01,24.36,23.69,24.03,3777300
2010-01-22,23.94,24.14,23.21,23.34,4467070
2010-01-25,23.46,23.56,23.03,23.4,2491495
2010-01-26,23.21,23.72,23.08,23.52,3491967
2010-01-27,23.4,23.63,23.25,23.61,2533541
2010-01-28,23.39,23.65,22.73,23.08,3629555
2010-01-29,23.02,23.55,22.7,22.91,4373491
2010-02-01,22.9,23.19,22.75,23.19,2978423
2010-02-02,23.13,23.48,22.9,23.42,5033256
2010-02-03,21.38,23.58,21.21,23.3,19269809
2010-02-04,22.9,23.57,22.84,23.04,6969488
2010-02-05,23.0,23.32,22.84,23.24,6293766
2010-02-08,23.06,23.33,22.97,22.98,2717431
2010-02-09,23.3,23.32,22.86,23.0,4305155
2010-02-10,23.03,23.1,22.76,22.87,3108621
2010-02-11,22.95,23.5,22.94,23.35,2867451
2010-02-12,23.19,23.37,23.03,23.29,2602762
2010-02-16,23.37,23.78,23.34,23.61,2695998
2010-02-17,23.79,24.17,23.6,24.12,3122949
2010-02-18,24.13,24.23,23.77,23.98,2780924
2010-02-19,23.88,24.31,23.87,24.12,2231267
2010-02-22,24.17,24.5,23.89,24.32,3246667
2010-02-23,24.33,24.5,24.24,24.38,2996832
2010-02-24,24.44,24.8,24.22,24.65,4341179
2010-02-25,24.37,24.93,24.22,24.86,4412037
2010-02-26,24.92,25.18,24.79,24.92,5170159
2010-03-01,24.97,25.59,24.86,25.44,4996669
2010-03-02,25.44,25.55,25.11,25.26,3470264
2010-03-03,25.23,25.54,25.2,25.35,4326274
2010-03-04,25.57,26.46,25.57,26.25,7932757
2010-03-05,26.31,26.64,26.28,26.5,3886595
2010-03-08,26.43,26.67,26.39,26.55,3248088
2010-03-09,26.44,26.77,26.39,26.51,3963400
2010-03-10,26.65,27.06,26.55,26.9,4206773
2010-03-11,26.79,26.82,26.45,26.73,3497076
2010-03-12,26.73,26.78,26.42,26.64,5059056
2010-03-15,26.7,26.98,26.46,26.86,4077718
2010-03-16,26.94,26.97,26.61,26.75,2617913
2010-03-17,26.72,26.83,26.64,26.72,1786084
2010-03-18,26.72,27.05,26.67,26.97,1974717
2010-03-19,27.18,27.18,26.47,26.8,4554038
2010-03-22,26.15,26.57,26.1,26.53,3562077
2010-03-23,26.53,26.59,26.24,26.42,2572752
2010-03-24,26.32,26.51,26.28,26.37,1949482
2010-03-25,26.52,26.68,26.08,26.08,3456883
2010-03-26,26.29,26.3,25.84,25.94,3143369
2010-03-29,25.76,25.97,25.71,25.79,3688917
2010-03-30,25.88,26.07,25.79,25.95,2701248
2010-03-31,25.92,26.18,25.77,26.02,2245050
2010-04-05,26.44,27.08,26.44,26.81,3669917
2010-04-06,26.66,27.04,26.61,26.92,1839355
2010-04-07,26.92,26.99,26.47,26.54,2965613
2010-04-08,26.39,26.66,26.22,26.6,2237764
2010-04-09,26.61,26.85,26.48,26.84,2648631
2010-04-12,26.92,27.0,26.6,26.68,2605882
2010-04-13,26.55,26.64,26.25,26.52,2324822
2010-04-14,26.49,26.88,26.45,26.8,2589428
2010-04-15,26.71,27.0,26.6,26.85,3412013
2010-04-16,26.76,26.95,26.54,26.6,3288957
2010-04-19,26.67,26.92,26.43,26.84,2949810
2010-04-20,26.89,27.15,26.82,27.08,2127388
2010-04-21,27.19,27.43,27.04,27.39,3185299
2010-04-22,27.19,27.52,26.86,27.42,2474998
2010-04-23,27.48,27.49,27.07,27.43,2091510
2010-04-26,27.39,27.49,27.19,27.39,1654219
2010-04-27,27.4,27.69,27.06,27.11,2308230
2010-04-28,27.27,27.36,26.62,26.88,3582030
