Date,Open,High,Low,Close,Volume
2010-01-04,42.85,44.24,42.8,44.24,1744856
2010-01-05,43.06,43.35,42.5,42.78,2456493
2010-01-06,42.51,42.87,41.86,42.03,2313617
2010-01-07,42.0,42.49,41.44,41.5,1873157
2010-01-08,41.45,41.5,40.41,40.67,3687878
2010-01-11,40.81,42.13,40.5,41.83,2193061
2010-01-12,41.87,42.61,41.11,41.79,2179378
2010-01-13,41.8,42.94,41.6,42.72,1601214
2010-01-14,42.48,42.69,41.11,41.3,1892547
2010-01-15,41.74,41.74,39.8,40.21,2367242
2010-01-19,40.33,41.78,40.33,41.68,2199652
2010-01-20,41.43,41.86,40.61,40.74,1614846
2010-01-21,40.96,40.96,39.54,39.85,1880065
2010-01-22,39.88,40.75,39.88,40.14,1345389
2010-01-25,40.23,40.34,39.41,39.52,1107786
2010-01-26,39.5,39.75,38.95,39.02,1429974
2010-01-27,38.81,39.34,38.63,39.0,1908110
2010-01-28,39.01,39.37,38.2,38.65,1486104
2010-01-29,38.75,39.17,38.36,38.4,1322528
2010-02-01,39.93,39.93,39.18,39.34,2361403
2010-02-02,39.25,40.5,38.93,40.49,2023990
2010-02-03,40.36,40.42,39.54,40.23,1427266
2010-02-04,39.78,39.84,38.27,38.42,2192498
2010-02-05,38.5,38.68,36.15,37.61,3571108
2010-02-08,37.0,37.6,37.0,37.42,1685852
2010-02-09,37.74,38.36,37.33,37.9,1208365
2010-02-10,37.77,37.9,37.11,37.5,693739
2010-02-11,37.58,39.0,37.48,38.1,1927240
2010-02-12,37.99,38.39,37.76,38.38,1311222
2010-02-16,38.46,38.73,37.8,38.68,1017272
2010-02-17,38.8,39.98,38.74,39.78,1522234
2010-02-18,39.93,40.43,39.93,40.25,1282466
2010-02-19,40.23,40.72,40.23,40.7,982786
2010-02-22,40.72,40.74,39.63,39.92,1187072
2010-02-23,39.61,40.16,39.04,39.42,1637455
2010-02-24,39.7,40.51,39.7,40.36,1393664
2010-02-25,39.93,40.19,39.18,40.14,1107716
2010-02-26,40.18,40.62,39.51,40.54,1355691
2010-03-01,40.66,41.78,40.61,41.43,1164545
2010-03-02,41.83,42.03,41.27,41.84,1105042
2010-03-03,41.79,42.11,41.71,41.98,1366936
2010-03-04,42.0,42.08,41.25,41.6,875545
2010-03-05,41.62,41.86,41.39,41.52,940184
2010-03-08,41.33,41.55,41.26,41.4,687750
2010-03-09,41.18,42.19,41.17,42.08,1635813
2010-03-10,42.22,43.14,42.11,43.02,3011985
2010-03-11,42.89,43.1,42.4,43.0,1037841
2010-03-12,43.04,43.46,42.52,43.46,1188436
2010-03-15,43.39,43.73,42.75,43.24,1428598
2010-03-16,43.32,43.94,43.23,43.71,1513495
2010-03-17,43.64,43.91,42.39,42.4,2101689
2010-03-18,42.36,42.68,41.58,41.7,2066425
2010-03-19,42.05,42.72,41.91,42.72,3983672
2010-03-22,42.61,42.95,42.33,42.48,1139894
2010-03-23,42.33,42.46,42.02,42.18,1087101
2010-03-24,42.16,42.38,41.58,41.71,1413146
2010-03-25,42.04,42.12,41.54,41.55,1207787
2010-03-26,41.78,42.12,41.29,41.61,1209914
2010-03-29,41.73,41.94,40.97,41.16,1369224
2010-03-30,41.25,41.39,40.71,40.86,1535351
2010-03-31,40.89,41.67,40.83,40.87,1904878
2010-04-05,40.86,41.05,40.53,40.65,1439897
2010-04-06,40.51,40.66,40.06,40.47,2434517
