Date,Open,High,Low,Close,Volume
2010-01-04,44.2,44.62,43.06,43.35,1196820
2010-01-05,43.25,43.65,42.73,43.56,1444590
2010-01-06,43.56,43.83,42.83,43.07,1980489
2010-01-07,42.94,43.7,42.56,43.55,2772795
2010-01-08,43.26,43.45,42.61,43.07,1655945
2010-01-11,43.15,44.07,43.15,43.94,1407495
2010-01-12,43.7,43.97,43.24,43.66,1634465
2010-01-13,43.98,45.02,43.79,44.91,1847707
2010-01-14,44.79,45.36,44.35,44.76,1279932
2010-01-15,44.69,44.91,44.46,44.67,1258890
2010-01-19,44.83,45.45,44.63,45.33,1555780
2010-01-20,45.04,45.14,44.19,44.56,1583185
2010-01-21,44.67,44.85,43.48,43.56,1829477
2010-01-22,43.43,44.02,42.63,42.75,2003335
2010-01-25,42.95,43.1,42.05,42.64,2140949
2010-01-26,42.31,43.15,42.0,42.45,1561792
2010-01-27,42.3,43.11,41.86,43.08,1772490
2010-01-28,43.23,43.39,42.17,42.7,1499639
2010-01-29,43.03,43.31,41.88,42.2,1974914
2010-02-01,42.42,42.78,42.15,42.76,1228350
2010-02-02,42.72,43.48,42.21,43.4,1530203
2010-02-03,43.13,43.19,42.63,42.72,1211794
2010-02-04,42.39,42.45,40.87,40.95,2598876
2010-02-05,41.01,42.09,40.56,42.07,2578784
2010-02-08,42.0,42.32,41.15,41.21,1521204
2010-02-09,41.6,41.7,40.79,41.08,1383340
2010-02-10,41.04,41.7,40.36,41.39,1238485
2010-02-11,41.27,41.9,40.93,41.87,1178077
2010-02-12,41.34,41.96,41.08,41.88,1046370
2010-02-16,42.18,43.34,42.18,43.3,1420093
2010-02-17,43.44,44.29,43.38,44.17,1671245
2010-02-18,43.78,45.07,43.78,44.96,1884389
2010-02-19,45.51,45.51,44.77,45.09,1691236
2010-02-22,45.19,45.38,44.91,45.03,1370160
2010-02-23,44.99,45.1,44.57,44.72,1645100
2010-02-24,45.06,45.16,44.67,44.9,1666279
2010-02-25,44.36,44.57,44.02,44.45,2140421
2010-02-26,44.44,44.7,44.11,44.19,1663678
2010-03-01,44.42,44.62,44.12,44.49,1488767
2010-03-02,44.72,44.84,44.38,44.45,1094363
2010-03-03,44.58,44.6,44.3,44.31,1148533
2010-03-04,44.5,44.62,44.16,44.37,1376446
2010-03-05,44.55,45.21,44.33,45.12,1513035
2010-03-08,45.1,45.51,44.88,45.39,871575
2010-03-09,45.29,45.95,45.03,45.69,1497659
2010-03-10,45.05,45.64,44.7,45.41,1607783
2010-03-11,45.1,45.93,45.08,45.91,1188949
2010-03-12,46.1,46.71,45.96,46.49,1468924
2010-03-15,46.13,46.74,45.72,46.65,2017428
2010-03-16,46.6,47.5,46.52,47.42,2165151
2010-03-17,47.61,48.08,47.35,47.92,1372259
2010-03-18,47.45,47.77,47.29,47.54,1412129
2010-03-19,47.66,47.82,46.9,47.41,1810471
2010-03-22,47.29,48.84,46.9,48.62,1571249
