Date,Open,High,Low,Close,Volume
2010-01-04,25.02,25.08,24.76,24.86,1541714
2010-01-05,24.86,25.0,24.48,24.54,1625916
2010-01-06,24.56,24.9,24.5,24.79,1934312
2010-01-07,24.8,24.8,24.56,24.74,1755612
2010-01-08,24.66,24.94,24.58,24.88,1292294
2010-01-11,24.98,25.31,24.98,25.26,1476040
2010-01-12,25.18,25.4,25.06,25.15,1645988
2010-01-13,25.18,25.39,25.08,25.32,1189306
2010-01-14,25.32,25.32,25.12,25.26,938970
2010-01-15,25.11,25.34,24.88,25.14,1651388
2010-01-19,25.08,25.36,25.0,25.36,1155850
2010-01-20,25.23,25.26,25.0,25.26,1406694
2010-01-21,25.2,25.44,24.94,25.08,2048150
2010-01-22,25.04,25.04,24.49,24.51,2242598
2010-01-25,24.64,24.76,24.4,24.66,1374744
2010-01-26,24.55,24.66,24.42,24.5,1560522
2010-01-27,24.5,24.64,24.11,24.48,1849914
2010-01-28,24.57,24.6,24.26,24.45,1961766
2010-01-29,24.47,24.63,24.28,24.47,2101572
2010-02-01,24.56,24.62,24.26,24.56,1662456
2010-02-02,24.52,24.81,24.36,24.8,2153866
2010-02-03,24.71,24.8,24.46,24.54,1550456
2010-02-04,24.34,24.44,24.09,24.09,3075014
2010-02-05,24.06,24.38,23.9,24.33,3569856
2010-02-08,24.36,24.4,24.06,24.06,1394132
2010-02-09,24.28,24.32,23.99,24.05,2664684
2010-02-10,23.58,23.93,23.44,23.87,3099634
2010-02-11,23.83,24.15,23.54,24.14,2294610
2010-02-12,24.03,24.03,23.72,23.94,2427820
2010-02-16,24.08,24.41,24.07,24.4,1408700
2010-02-17,24.5,24.5,24.24,24.33,1129722
2010-02-18,24.33,24.54,24.26,24.45,1046222
2010-02-19,24.42,24.99,24.38,24.9,1489930
2010-02-22,25.01,25.01,24.76,24.83,773430
2010-02-23,24.81,24.92,24.52,24.55,2540406
2010-02-24,24.63,24.68,24.3,24.44,2087346
2010-02-25,24.1,24.35,24.0,24.32,1461264
2010-02-26,24.41,24.44,24.14,24.22,1776930
2010-03-01,24.36,24.68,24.32,24.66,1017288
2010-03-02,24.84,24.96,24.78,24.96,1794496
2010-03-03,25.0,25.13,24.86,24.92,1023100
2010-03-04,24.93,24.98,24.74,24.86,934370
2010-03-05,24.89,25.01,24.85,24.97,1095018
2010-03-08,24.9,25.04,24.81,25.03,915044
2010-03-09,25.0,25.13,24.86,24.93,1006812
2010-03-10,24.9,24.98,24.72,24.94,1749236
2010-03-11,24.91,25.07,24.78,25.07,687956
2010-03-12,25.16,25.16,24.92,25.0,1244932
2010-03-15,25.0,25.1,24.9,25.1,807360
2010-03-16,25.06,25.4,25.02,25.38,1041792
2010-03-17,25.45,25.64,25.34,25.6,1725070
2010-03-18,25.53,25.66,25.38,25.52,1677556
2010-03-19,25.54,25.7,25.12,25.28,2707364
2010-03-22,25.2,25.2,24.9,25.11,1381760
2010-03-23,25.08,25.22,24.99,25.17,1129940
2010-03-24,25.18,25.22,24.89,24.94,1001278
2010-03-25,24.98,25.08,24.78,24.8,1837590
2010-03-26,24.87,25.04,24.78,24.79,1371616
2010-03-29,24.92,24.94,24.77,24.86,2601108
2010-03-30,24.85,24.98,24.72,24.73,2359476
2010-03-31,24.72,24.78,24.56,24.7,1962402
2010-04-01,24.78,24.97,24.7,24.96,2614344
2010-04-05,25.02,25.21,24.86,25.21,1106326
2010-04-06,25.16,25.49,25.08,25.46,1589758
2010-04-07,25.4,25.42,25.16,25.26,1063504
2010-04-08,25.14,25.14,24.96,25.09,995100
2010-04-09,25.07,25.25,24.84,25.24,791220
2010-04-12,25.27,25.43,25.13,25.42,990960
2010-04-13,25.38,25.5,25.24,25.48,1664026
2010-04-14,25.48,25.7,25.42,25.68,2063742
2010-04-15,25.7,25.7,25.39,25.47,1892548
2010-04-16,25.42,25.56,25.2,25.28,1617646
2010-04-19,25.18,25.43,25.16,25.38,1624208
2010-04-20,25.52,25.69,25.4,25.69,1086746
2010-04-21,25.65,25.85,25.58,25.83,1540978
2010-04-22,25.77,25.92,25.63,25.91,1036586
2010-04-23,25.85,25.99,25.72,25.99,953764
2010-04-26,25.94,26.0,25.86,25.92,1051316
2010-04-27,25.84,26.02,25.42,25.44,1257996
2010-04-28,25.5,25.56,25.3,25.5,1316166
2010-04-29,25.62,26.12,25.54,26.1,1948538
2010-04-30,26.16,26.6,26.1,26.26,2006202
2010-05-03,26.45,26.82,26.25,26.72,1881760
2010-05-04,26.9,26.9,26.08,26.48,1871126
2010-05-05,26.44,26.64,26.11,26.3,1750622
2010-05-06,26.18,26.18,23.84,25.24,4383258
2010-05-07,25.3,25.52,24.78,25.09,4555304
2010-05-10,25.83,25.94,25.09,25.92,3597750
2010-05-11,25.7,26.29,25.68,26.08,2616864
2010-05-12,26.02,26.02,25.72,25.95,2882094
2010-05-13,25.93,25.94,25.57,25.64,2560740
2010-05-14,25.54,25.61,25.26,25.44,1250712
2010-05-17,25.52,25.64,25.2,25.58,1604646
2010-05-18,25.62,25.88,25.31,25.34,1674074
2010-05-19,25.2,25.51,25.04,25.3,2302450
2010-05-20,24.86,24.97,24.38,24.41,2164496
2010-05-21,24.12,24.44,23.89,24.36,3691996
2010-05-24,24.2,24.56,24.06,24.22,1521840
2010-05-25,23.82,24.11,23.42,24.1,2048634
2010-05-26,24.22,24.46,24.04,24.16,1781752
2010-05-27,24.48,24.52,24.26,24.5,1369638
2010-05-28,24.5,24.78,24.43,24.5,1982866
2010-06-01,24.34,24.58,24.16,24.16,2139966
2010-06-02,24.3,24.59,24.12,24.59,2096486
2010-06-03,24.6,24.9,24.54,24.62,2346842
2010-06-04,24.24,24.49,23.96,24.04,2556888
2010-06-07,24.12,24.28,23.82,23.83,3808844
2010-06-08,23.82,24.28,23.72,24.27,2545262
2010-06-09,24.32,24.35,23.92,24.0,1987472
2010-06-10,24.29,24.72,24.28,24.72,1577544
2010-06-11,24.53,24.86,24.42,24.85,1682510
2010-06-14,25.07,25.07,24.8,24.82,1359174
2010-06-15,24.96,25.3,24.95,25.3,1437970
2010-06-16,25.19,25.72,25.19,25.6,1251152
2010-06-17,25.62,26.02,25.6,25.98,2091994
2010-06-18,26.1,26.12,25.82,25.88,2130092
2010-06-21,26.08,26.1,25.51,25.64,1015652
2010-06-22,25.68,25.71,25.13,25.16,1199832
2010-06-23,25.14,25.16,24.8,24.88,1570958
2010-06-24,24.86,25.54,24.8,25.36,3399730
2010-06-25,25.36,25.78,25.12,25.65,3493164
2010-06-28,25.5,26.01,25.4,25.88,1886762
2010-06-29,25.68,25.89,25.56,25.72,3171754
2010-06-30,25.72,25.78,25.32,25.37,2499794
2010-07-01,25.24,25.24,24.7,24.96,3442246
2010-07-02,24.98,25.44,24.92,25.27,1851244
2010-07-06,25.6,25.84,25.44,25.68,1750754
2010-07-07,25.78,26.4,25.64,26.38,2082772
2010-07-08,26.44,26.5,26.32,26.49,1384866
2010-07-09,26.47,26.56,26.32,26.54,1037574
2010-07-12,26.52,26.64,26.34,26.62,949664
2010-07-13,26.97,26.97,26.63,26.82,1525496
2010-07-14,26.7,26.88,26.53,26.88,1393662
2010-07-15,26.94,26.99,26.62,26.95,1336750
2010-07-16,26.84,26.84,26.34,26.43,1780400
