Date,Open,High,Low,Close,Volume
2010-01-04,27.02,27.48,26.82,27.32,39338101
2010-01-05,27.27,28.24,27.24,28.07,55418926
2010-01-06,28.03,28.33,27.79,28.11,33239586
2010-01-07,28.12,29.43,27.92,29.13,61648945
2010-01-08,28.9,29.35,28.6,28.86,35512359
2010-01-11,29.09,29.17,28.58,28.8,24389308
2010-01-12,28.47,28.55,27.5,28.08,39798240
2010-01-13,27.99,28.76,27.8,28.58,36716753
2010-01-14,28.5,29.21,28.5,28.99,31544437
2010-01-15,28.82,28.9,27.88,28.08,47255886
2010-01-19,27.93,28.47,27.61,28.28,40815734
2010-01-20,28.02,28.65,27.7,27.82,75712236
2010-01-21,27.98,28.5,27.18,28.0,90151414
2010-01-22,27.97,28.41,27.17,27.26,69507708
2010-01-25,27.45,28.05,27.19,27.66,48321809
2010-01-26,27.45,28.35,26.92,26.99,66590710
2010-01-27,26.9,28.24,26.88,28.2,63082505
2010-01-28,28.28,28.77,27.72,28.45,62133410
2010-01-29,28.44,29.17,28.38,28.43,88783635
2010-02-01,28.6,29.09,28.51,28.93,45239945
2010-02-02,28.96,29.13,28.51,28.79,50313513
2010-02-03,28.57,28.78,27.98,28.14,44602753
2010-02-04,27.95,28.08,27.0,27.06,68235244
2010-02-05,27.3,27.71,26.62,27.42,68478904
2010-02-08,27.23,27.41,26.4,26.43,43429859
2010-02-09,26.89,27.14,26.37,26.71,46845237
2010-02-10,26.61,27.56,26.55,27.18,42107504
2010-02-11,27.15,27.24,26.71,27.08,35823916
2010-02-12,26.79,27.04,26.47,26.88,45333541
2010-02-16,27.19,27.39,26.94,27.39,36097488
2010-02-17,27.59,27.64,27.09,27.33,50109615
2010-02-18,27.3,27.57,27.16,27.34,30287816
2010-02-19,27.08,27.48,27.07,27.37,32175178
2010-02-22,27.48,28.15,27.38,28.01,41853380
2010-02-23,27.95,28.0,27.18,27.29,38757765
2010-02-24,27.45,27.77,27.18,27.66,35785068
2010-02-25,27.17,27.48,27.04,27.44,34185554
2010-02-26,27.49,27.5,26.93,27.34,50826048
2010-03-01,27.45,27.59,27.15,27.35,34312607
2010-03-02,27.4,28.21,27.37,27.87,45598526
2010-03-03,27.95,28.45,27.94,28.2,35902109
2010-03-04,28.35,28.57,28.21,28.43,30892469
2010-03-05,28.63,29.27,28.55,29.15,40554045
2010-03-08,29.13,29.35,28.82,28.89,31311852
2010-03-09,28.78,29.22,28.47,28.98,31295587
2010-03-10,29.13,29.83,29.1,29.57,42574809
2010-03-11,29.53,29.76,29.24,29.76,32144218
2010-03-12,29.83,29.94,29.49,29.63,36677053
2010-03-15,29.48,29.89,29.26,29.89,27354765
2010-03-16,29.93,30.32,29.74,30.28,40201368
2010-03-17,30.41,30.67,30.26,30.55,33178370
2010-03-18,30.47,30.56,29.85,30.29,33984869
2010-03-19,30.5,30.54,29.96,30.38,53781710
2010-03-22,30.09,30.59,30.05,30.41,28593941
2010-03-23,30.47,31.12,30.38,31.08,39320145
2010-03-24,30.84,31.28,30.67,30.86,36185474
2010-03-25,31.03,31.99,30.9,31.06,47424298
2010-03-26,31.21,31.77,31.0,31.22,36079695
2010-03-29,31.35,31.45,30.9,31.1,25280628
2010-03-30,31.1,31.3,30.8,30.84,26942210
2010-03-31,30.58,31.16,30.58,31.12,28392691
2010-04-01,31.4,31.6,31.13,31.37,33041358
2010-04-05,31.49,31.75,31.26,31.51,30823818
2010-04-06,31.36,32.39,31.35,32.28,39504856
2010-04-07,32.28,32.49,31.77,31.99,34516272
2010-04-08,31.79,32.41,31.56,32.23,32203535
2010-04-09,32.4,32.65,31.92,32.3,27108650
2010-04-12,32.4,32.7,32.27,32.42,25108360
2010-04-13,32.16,32.24,31.73,32.15,38044797
2010-04-14,32.46,33.42,32.35,33.28,54445858
2010-04-15,33.23,33.89,33.12,33.51,47900526
2010-04-16,33.21,33.25,31.66,32.56,89847639
2010-04-19,32.62,33.26,32.13,33.02,54880666
2010-04-20,33.19,33.89,33.0,33.69,46816092
2010-04-21,32.59,34.25,32.51,33.01,96227123
2010-04-22,32.7,33.72,32.56,33.58,49765376
2010-04-23,33.7,33.79,33.2,33.48,31000719
2010-04-26,33.36,33.45,32.59,32.72,36185916
2010-04-27,32.2,33.07,31.65,31.72,52678709
2010-04-28,32.07,32.65,31.97,32.45,39029084
2010-04-29,32.79,33.4,32.73,33.23,31030261
2010-04-30,33.25,33.82,32.98,33.11,53446051
2010-05-03,33.22,34.08,33.21,33.88,37442223
2010-05-04,33.41,33.97,32.72,32.94,53831008
2010-05-05,32.63,33.18,31.72,32.66,45190251
2010-05-06,32.44,32.75,29.31,31.18,78743071
2010-05-07,30.88,31.75,30.2,30.82,66957939
2010-05-10,32.25,33.08,32.16,32.97,67200124
2010-05-11,32.51,33.67,32.42,32.91,47889264
2010-05-12,33.18,33.81,33.06,33.66,39618347
2010-05-13,33.5,33.83,33.08,33.08,33799450
2010-05-14,32.76,32.88,31.76,32.04,57390596
2010-05-17,32.08,32.24,31.14,31.97,47047780
2010-05-18,32.28,32.35,30.35,30.59,56668007
2010-05-19,29.95,30.28,29.09,30.08,72543883
2010-05-20,29.44,30.0,28.65,28.69,78030266
2010-05-21,28.05,30.3,28.05,30.11,88191682
2010-05-24,29.57,29.75,28.53,28.71,64926943
2010-05-25,27.71,28.91,27.44,28.9,55196134
2010-05-26,29.23,29.34,27.7,28.04,62366762
2010-05-27,28.71,29.48,28.5,29.41,48874755
2010-05-28,29.47,29.5,28.54,28.69,40886457
2010-06-01,28.68,29.2,28.19,28.23,39475608
2010-06-02,28.56,29.2,28.32,29.18,32486365
2010-06-03,29.36,29.48,28.52,28.86,30894033
2010-06-04,28.28,28.45,27.65,27.78,50696703
2010-06-07,28.01,28.11,27.26,27.29,36969771
2010-06-08,27.46,27.81,26.66,27.76,47134851
2010-06-09,27.95,27.96,26.9,27.03,37988155
2010-06-10,27.52,28.24,27.4,28.13,41612845
2010-06-11,27.74,27.95,27.35,27.84,39468045
2010-06-14,27.8,27.97,27.31,27.4,45508642
2010-06-15,27.59,27.93,27.5,27.91,45138138
2010-06-16,27.75,28.25,27.67,28.12,28709381
2010-06-17,28.1,28.19,27.53,27.93,30739337
2010-06-18,28.04,28.23,27.74,28.07,39496673
2010-06-21,28.44,28.5,27.79,27.94,30005326
2010-06-22,28.03,28.33,27.43,27.46,33697306
2010-06-23,27.38,27.76,27.15,27.32,36032901
2010-06-24,27.05,27.1,26.28,26.86,66957249
2010-06-25,27.15,27.61,26.85,27.05,78979326
2010-06-28,27.24,27.34,26.82,27.03,31722257
2010-06-29,26.57,26.66,25.79,25.93,55571794
2010-06-30,26.05,26.45,25.52,25.6,37502464
2010-07-01,25.54,25.94,24.6,25.18,58947750
2010-07-02,25.4,25.68,24.76,24.88,32235453
2010-07-06,25.46,25.64,24.79,25.15,37250108
2010-07-07,25.28,26.73,25.14,26.66,48836954
2010-07-08,27.06,27.06,26.1,26.64,38231508
2010-07-09,26.5,27.04,26.4,27.0,24906139
2010-07-12,26.93,27.13,26.56,27.06,18765298
2010-07-13,27.37,28.08,27.32,27.94,31658436
2010-07-14,27.7,27.78,27.25,27.66,31306116
2010-07-15,27.85,28.16,27.02,27.81,48121270
2010-07-16,27.44,27.47,26.16,26.24,55456402
2010-07-19,26.27,26.4,25.62,26.02,34667077
2010-07-20,25.47,25.92,25.3,25.91,47672273
2010-07-21,27.53,27.6,25.97,26.06,70914564
2010-07-22,26.62,27.49,26.55,27.39,53003314
2010-07-23,27.33,27.55,27.0,27.42,25741345
2010-07-26,27.45,27.92,27.23,27.91,22726753
2010-07-27,28.41,28.77,28.24,28.39,38412887
2010-07-28,28.25,28.54,27.92,28.07,23935078
2010-07-29,28.32,28.49,27.48,27.69,30090343
2010-07-30,27.27,27.99,27.25,27.73,27504981
2010-08-02,28.29,28.58,27.95,28.57,28005046
2010-08-03,28.45,28.49,27.94,28.12,29544177
2010-08-04,28.17,28.25,27.7,27.93,28936656
2010-08-05,27.71,27.96,27.56,27.88,21881126
2010-08-06,27.49,27.77,27.24,27.75,38640290
2010-08-09,27.9,28.27,27.52,28.23,29201005
2010-08-10,27.94,28.07,27.51,27.77,29837319
2010-08-11,27.26,27.39,26.26,26.3,39624091
2010-08-12,26.0,26.39,25.87,26.0,31944736
2010-08-13,25.99,26.3,25.81,25.84,25494121
2010-08-16,25.67,25.91,25.52,25.68,24593547
2010-08-17,25.96,26.01,25.21,25.34,49480918
2010-08-18,25.3,25.67,25.09,25.38,38084271
2010-08-19,25.1,25.36,24.27,24.43,51516721
2010-08-20,24.43,24.71,24.27,24.6,40026581
2010-08-23,24.86,24.88,24.19,24.23,33770321
2010-08-24,23.96,24.05,23.54,23.64,55663815
2010-08-25,23.41,23.65,23.02,23.6,55559835
2010-08-26,23.73,24.1,23.4,23.49,41217139
2010-08-27,23.64,24.0,23.47,24.0,45101435
2010-08-30,23.93,23.98,23.23,23.25,37964723
2010-08-31,23.18,23.68,23.03,23.55,35714227
2010-09-01,23.91,24.75,23.76,24.66,53881905
2010-09-02,24.68,25.11,24.62,25.1,38196339
2010-09-03,25.75,26.13,25.59,25.84,42741349
2010-09-07,25.57,25.68,24.91,24.92,30986673
2010-09-08,25.03,25.4,25.03,25.22,22687723
2010-09-09,25.71,26.01,25.22,25.69,28728649
2010-09-10,25.83,25.96,25.67,25.75,19893429
2010-09-13,26.37,26.79,26.25,26.5,39588138
2010-09-14,26.3,26.33,25.89,26.06,29813914
2010-09-15,25.72,26.44,25.61,26.34,32614303
2010-09-16,26.16,26.28,25.9,26.06,28999387
2010-09-17,26.37,26.37,25.87,26.01,34400556
2010-09-20,26.09,26.65,25.92,26.56,30651307
2010-09-21,26.63,26.96,26.29,26.38,32217495
2010-09-22,26.37,26.48,25.72,25.81,32252373
2010-09-23,25.3,25.67,25.04,25.04,59315099
2010-09-24,25.46,25.73,25.32,25.59,46480591
2010-09-27,25.72,25.92,25.49,25.53,28382528
2010-09-28,25.58,25.87,25.11,25.35,38705740
2010-09-29,25.21,25.37,24.91,25.04,37675924
2010-09-30,25.24,25.63,25.02,25.12,37365636
2010-10-01,25.3,25.69,25.12,25.56,32117894
2010-10-04,25.51,25.79,25.22,25.38,25645362
2010-10-05,25.67,26.35,25.4,26.25,42788647
2010-10-06,26.22,26.49,26.13,26.3,31852881
2010-10-07,26.47,26.58,25.84,26.0,27293849
2010-10-08,26.19,26.25,25.72,25.95,29467852
2010-10-11,25.96,26.1,25.46,25.65,24637352
2010-10-12,25.44,26.04,25.3,25.98,37344628
2010-10-13,26.23,26.34,25.63,25.81,41846785
2010-10-14,25.45,25.49,24.2,24.72,117397027
2010-10-15,25.0,25.0,23.37,23.58,144985641
2010-10-18,23.69,24.88,23.64,24.87,66731220
2010-10-19,24.67,25.32,24.39,24.55,72213049
2010-10-20,24.27,25.97,24.17,25.6,101499384
2010-10-21,25.77,26.41,23.87,26.03,52489655
2010-10-22,26.03,26.25,25.75,26.11,26641836
2010-10-25,26.37,26.42,25.52,25.72,36781537
2010-10-26,25.6,25.99,25.48,25.91,30595534
2010-10-27,25.69,26.0,25.6,25.75,35351929
2010-10-28,25.84,25.96,25.61,25.94,23976361
2010-10-29,25.82,26.13,25.67,26.06,24017963
2010-11-01,26.03,26.1,25.6,25.93,24764506
2010-11-02,26.0,26.05,25.78,25.97,25109084
2010-11-03,25.74,26.5,25.69,26.46,32381331
2010-11-04,26.81,27.5,26.63,27.46,57386418
2010-11-05,27.56,29.36,27.55,29.22,79752522
2010-11-08,28.91,29.28,28.51,29.04,35733984
2010-11-09,29.04,29.11,28.04,28.13,37178786
2010-11-10,28.08,28.62,27.88,28.58,37250824
2010-11-11,28.36,28.57,27.98,28.19,23282606
2010-11-12,28.01,28.04,27.4,27.54,27039903
2010-11-15,27.62,28.21,27.57,27.65,23160268
2010-11-16,27.5,27.63,26.85,27.19,45331059
2010-11-17,27.18,27.43,26.76,26.86,31956671
2010-11-18,27.24,27.71,27.11,27.51,30768433
2010-11-19,27.43,27.55,27.09,27.49,24751867
2010-11-22,27.26,27.36,26.78,26.95,24825678
2010-11-23,26.64,26.95,26.53,26.8,30165874
2010-11-24,26.92,27.14,26.75,27.11,22052644
2010-11-26,26.92,27.15,26.65,26.65,9239802
2010-11-29,26.58,27.35,26.51,27.2,31185203
2010-11-30,26.88,27.43,26.85,27.21,33064688
2010-12-01,27.58,27.8,27.2,27.53,35338895
2010-12-02,27.63,28.78,27.59,28.78,43197331
2010-12-03,28.35,29.13,28.3,29.05,36853067
2010-12-06,28.86,29.1,28.73,28.74,27255661
2010-12-07,29.09,29.25,28.42,28.47,30166325
2010-12-08,28.55,29.37,28.5,29.37,31376300
2010-12-09,29.55,30.11,29.49,30.07,45744159
2010-12-10,30.32,30.56,30.16,30.27,40145423
