Date,Open,High,Low,Close,Volume
2010-01-04,13.8,14.02,13.6,13.92,5274814
2010-01-05,13.92,14.0,13.61,13.81,5024774
2010-01-06,13.76,13.98,13.74,13.97,4892168
2010-01-07,13.94,14.13,13.81,13.91,2639144
2010-01-08,13.84,14.0,13.76,13.98,3716914
2010-01-11,13.93,14.94,13.92,14.87,7947964
2010-01-12,14.75,14.84,14.51,14.72,4525044
2010-01-13,14.75,14.82,14.52,14.66,2639718
2010-01-14,14.6,14.6,14.08,14.11,6173142
2010-01-15,14.13,14.13,13.9,13.98,5453292
2010-01-19,13.92,14.49,13.74,14.36,6943778
2010-01-20,14.26,14.63,14.04,14.55,4867120
2010-01-21,14.62,15.1,14.4,14.52,6520098
2010-01-22,14.46,14.62,14.18,14.22,3735124
2010-01-25,14.26,14.5,13.98,14.18,4470122
2010-01-26,14.09,14.18,13.89,13.9,4018294
2010-01-27,13.92,14.04,13.62,13.78,4494936
2010-01-28,13.88,14.0,13.5,13.64,3731556
2010-01-29,13.88,13.92,13.6,13.61,3965018
2010-02-01,13.61,13.86,13.58,13.71,2814026
2010-02-02,13.72,14.02,13.66,13.94,5017406
2010-02-03,13.88,13.96,13.62,13.86,4960462
2010-02-04,13.72,13.92,13.6,13.63,5271368
2010-02-05,13.58,13.81,13.44,13.69,3403570
2010-02-08,13.82,14.05,13.78,13.8,3892682
2010-02-09,13.92,14.18,13.87,14.12,8981002
2010-02-10,14.16,14.34,13.93,14.22,5265512
2010-02-11,14.24,14.66,14.09,14.6,6367336
2010-02-12,14.54,14.9,14.4,14.88,8017634
2010-02-16,15.25,15.44,14.99,15.26,17060970
2010-02-17,16.44,17.36,16.39,17.18,37983994
2010-02-18,16.96,17.08,16.76,17.04,15268626
2010-02-19,16.94,17.0,16.8,16.83,12259032
2010-02-22,16.86,17.0,16.65,16.96,7548332
2010-02-23,16.94,17.58,16.88,17.44,15870532
2010-02-24,17.51,17.51,17.2,17.31,17328786
2010-02-25,17.08,17.71,17.01,17.59,10358234
2010-02-26,17.66,18.02,17.48,17.74,12885476
2010-03-01,17.96,18.3,17.86,18.28,9332224
2010-03-02,18.3,18.37,18.1,18.2,6836874
2010-03-03,18.15,18.3,18.01,18.08,5114898
2010-03-04,18.21,18.24,17.95,18.12,4016606
2010-03-05,18.27,18.3,17.92,18.06,7373430
2010-03-08,17.98,18.15,17.86,17.94,4490558
2010-03-09,17.93,17.93,17.56,17.66,5405108
2010-03-10,17.62,17.83,17.52,17.58,4664796
2010-03-11,17.5,17.86,17.46,17.8,4294128
2010-03-12,17.84,18.15,17.82,18.15,4485762
2010-03-15,18.03,18.25,17.98,18.18,3101496
2010-03-16,18.17,18.44,18.14,18.38,3991752
2010-03-17,18.39,18.55,18.3,18.47,3701718
2010-03-18,18.5,18.5,17.92,18.0,4422184
2010-03-19,17.98,17.99,17.66,17.92,6836578
2010-03-22,17.67,17.91,17.61,17.88,3843698
2010-03-23,17.82,18.0,17.76,17.98,2634340
2010-03-24,17.64,17.76,17.46,17.54,6926092
2010-03-25,17.66,17.88,17.62,17.74,4431310
2010-03-26,17.98,18.0,17.5,17.7,4046018
2010-03-29,17.7,18.11,17.7,18.08,2984034
2010-03-30,18.22,18.35,18.01,18.13,3523502
2010-03-31,18.02,18.2,17.98,18.08,3063068
2010-04-05,18.5,18.87,18.46,18.84,2708066
2010-04-06,18.82,19.1,18.8,19.02,3142246
2010-04-07,18.92,19.02,18.54,18.72,4774378
2010-04-08,18.52,18.84,18.33,18.7,3706836
2010-04-09,18.8,19.4,18.65,19.4,5251910
2010-04-12,19.48,19.54,19.22,19.4,3488672
2010-04-13,19.38,19.48,18.98,19.3,2938844
2010-04-14,19.32,19.61,19.24,19.56,3920660
2010-04-15,19.62,19.78,19.5,19.75,3034340
2010-04-16,19.64,19.88,19.44,19.56,5718274
2010-04-19,19.54,19.78,19.07,19.31,3472320
2010-04-20,19.36,19.4,19.0,19.06,3977592
2010-04-21,19.12,19.18,18.79,18.98,4190832
2010-04-22,18.9,20.18,18.87,20.13,6620038
2010-04-23,20.02,20.17,19.86,20.1,4004394
2010-04-26,20.08,20.12,19.8,19.9,3171324
2010-04-27,19.83,19.97,18.8,18.86,5142676
2010-04-28,19.0,19.31,18.96,19.14,5358566
2010-04-29,19.32,19.83,19.3,19.58,4718220
2010-04-30,19.68,19.8,19.47,19.51,4801492
2010-05-03,19.56,20.06,19.51,20.04,4395398
2010-05-04,20.0,20.16,19.72,20.12,5819284
2010-05-05,19.94,20.35,19.9,20.24,4844474
2010-05-06,20.0,20.15,17.85,19.04,8483982
2010-05-07,19.02,19.44,18.24,18.34,6766008
2010-05-10,19.19,19.81,19.14,19.69,6703914
2010-05-11,19.46,20.04,19.4,19.74,7331208
2010-05-12,19.95,20.18,19.68,20.12,11275634
2010-05-13,21.46,21.59,21.08,21.25,18806048
2010-05-14,21.0,21.03,20.16,20.42,8825092
2010-05-17,20.56,20.68,20.02,20.4,5716986
2010-05-18,20.85,20.85,20.12,20.24,6748800
2010-05-19,20.12,20.37,19.7,20.2,5501474
2010-05-20,19.76,19.92,19.15,19.22,8450892
2010-05-21,18.79,19.66,18.78,19.62,6461682
2010-05-24,19.46,19.94,19.46,19.8,4692802
2010-05-25,19.12,19.78,19.1,19.7,6841734
2010-05-26,19.88,20.24,19.72,19.78,5316228
2010-05-27,20.1,20.36,20.01,20.33,2955918
2010-05-28,20.33,20.66,20.17,20.22,3844202
2010-06-01,19.96,20.24,19.56,19.59,3497696
2010-06-02,19.79,20.28,19.72,20.26,5544188
2010-06-03,20.2,20.38,19.7,19.9,4675770
2010-06-04,19.52,19.93,19.26,19.3,6860040
2010-06-07,19.28,19.33,18.77,18.82,3999872
2010-06-08,18.79,19.24,18.66,19.18,3979016
2010-06-09,19.24,19.6,18.96,19.06,3212504
2010-06-10,19.5,19.58,19.29,19.52,2922370
2010-06-11,19.36,19.72,19.19,19.69,2305222
2010-06-14,19.8,20.2,19.8,20.0,3431564
2010-06-15,20.16,20.18,19.78,20.14,2705882
2010-06-16,20.0,20.33,20.0,20.16,3102560
2010-06-17,20.18,20.34,19.89,20.25,3201574
2010-06-18,20.3,20.38,20.07,20.18,4437222
2010-06-21,20.32,20.48,19.53,19.66,3359768
2010-06-22,19.76,20.0,19.4,19.46,3407874
2010-06-23,19.39,19.68,19.08,19.51,2565362
2010-06-24,19.46,19.61,19.05,19.2,3260686
2010-06-25,19.18,19.5,19.0,19.34,4474298
2010-06-28,19.4,19.42,19.02,19.14,2250412
2010-06-29,19.09,19.09,18.32,18.48,4877710
2010-06-30,18.42,18.42,17.95,18.01,5818646
2010-07-01,17.93,18.0,17.26,17.76,6619702
2010-07-02,17.77,17.78,17.35,17.51,2775552
2010-07-06,17.75,17.8,16.98,17.1,4570392
2010-07-07,17.1,17.9,17.04,17.85,6269508
2010-07-08,17.91,18.44,17.8,18.38,5596686
2010-07-09,18.28,18.39,18.16,18.33,3248096
2010-07-12,18.23,18.43,17.89,18.0,3341772
2010-07-13,18.18,18.59,18.18,18.5,3425284
2010-07-14,18.41,18.74,18.26,18.68,5056984
2010-07-15,18.7,19.54,18.46,19.5,8820226
2010-07-16,19.38,19.46,18.52,18.6,4344498
2010-07-19,18.64,18.66,18.12,18.46,3105642
2010-07-20,18.26,18.76,18.13,18.71,3761732
2010-07-21,18.76,18.76,18.08,18.16,4266726
2010-07-22,18.32,18.75,18.26,18.68,2891092
2010-07-23,18.6,19.4,18.59,19.38,4301790
2010-07-26,19.36,19.96,19.18,19.82,3447632
2010-07-27,19.92,20.22,19.91,20.08,5399806
2010-07-28,20.08,20.08,19.58,19.72,2253664
2010-07-29,19.76,19.92,19.28,19.42,3552348
2010-07-30,19.22,19.36,18.64,18.98,6919288
2010-08-02,19.32,19.58,19.26,19.46,4080676
2010-08-03,19.42,19.8,19.1,19.74,7755202
2010-08-04,18.62,18.78,18.02,18.08,18017332
2010-08-05,18.08,18.5,17.88,18.18,8841482
2010-08-06,18.1,18.29,18.02,18.24,5271750
2010-08-09,18.51,18.62,18.21,18.24,4829516
2010-08-10,18.43,18.46,18.04,18.19,5956798
2010-08-11,17.88,17.98,17.74,17.84,4132584
2010-08-12,17.67,18.26,17.54,18.2,4645142
2010-08-13,18.07,18.36,17.91,18.21,5487802
2010-08-16,18.08,18.44,18.02,18.39,4631136
2010-08-17,18.39,18.62,18.22,18.49,4129454
2010-08-18,18.42,18.44,18.18,18.38,3668686
2010-08-19,18.24,18.4,18.1,18.2,4883600
2010-08-20,18.19,18.4,18.04,18.36,3523040
2010-08-23,18.34,18.46,18.11,18.22,2765928
2010-08-24,18.0,18.06,17.64,17.68,5396386
2010-08-25,17.6,18.02,17.52,17.94,3630976
2010-08-26,18.0,18.29,17.84,17.88,3470240
2010-08-27,18.1,18.14,17.6,17.85,4327928
2010-08-30,17.65,17.85,17.34,17.34,3920202
2010-08-31,17.28,17.68,17.25,17.4,4996266
2010-09-01,17.74,17.94,17.62,17.66,3153386
2010-09-02,17.62,18.06,17.46,18.0,4845844
2010-09-03,18.24,18.62,18.21,18.33,3663502
2010-09-07,18.26,18.33,17.77,17.84,4520630
2010-09-08,17.88,17.94,17.54,17.64,5100308
2010-09-09,17.79,17.88,17.54,17.58,2896508
2010-09-10,17.59,17.88,17.58,17.74,3210058
2010-09-13,17.98,18.04,17.53,17.62,4122906
2010-09-14,17.63,17.87,17.56,17.75,5333248
2010-09-15,17.72,18.23,17.07,17.96,4367130
2010-09-16,17.98,18.32,17.88,18.17,4524712
2010-09-17,18.32,18.58,18.2,18.54,15734096
2010-09-20,18.6,19.2,18.48,19.09,6258684
2010-09-21,18.42,18.73,18.38,18.64,9700350
2010-09-22,18.63,18.76,18.2,18.36,4001948
2010-09-23,18.18,18.3,18.06,18.2,3429702
2010-09-24,18.36,18.66,18.24,18.54,4332674
2010-09-27,18.56,18.61,18.24,18.25,2980186
2010-09-28,18.23,18.78,18.16,18.76,5576660
2010-09-29,18.7,18.74,18.58,18.71,2669892
2010-09-30,18.76,18.94,18.48,18.56,3048456
2010-10-01,18.63,18.66,18.28,18.54,2961038
2010-10-04,18.46,18.53,18.17,18.29,3024590
2010-10-05,18.41,18.42,18.22,18.3,5517432
2010-10-06,18.34,18.38,18.02,18.09,4799024
2010-10-07,18.12,18.22,17.43,17.61,10702620
2010-10-08,17.6,17.68,17.02,17.28,10768988
2010-10-11,17.24,17.68,17.24,17.47,8624060
2010-10-12,17.4,18.04,17.25,17.93,9204224
2010-10-13,18.04,18.58,17.96,18.38,5432526
2010-10-14,18.32,18.74,18.26,18.53,5178714
2010-10-15,19.18,19.35,19.0,19.15,10245296
2010-10-18,19.21,19.37,19.08,19.22,4456154
2010-10-19,19.0,19.18,18.68,18.83,5793300
2010-10-20,18.9,19.36,18.8,19.18,7259950
2010-10-21,19.28,19.4,18.98,19.15,4452640
2010-10-22,19.18,20.03,19.18,19.94,7323036
2010-10-25,20.04,20.16,19.82,19.93,4226576
2010-10-26,19.85,19.96,19.61,19.86,4216114
2010-10-27,19.69,19.88,19.57,19.85,3334178
2010-10-28,20.0,20.0,19.54,19.76,3872436
2010-10-29,19.77,19.88,19.65,19.88,2610640
2010-11-01,19.96,20.11,19.86,19.92,5035660
2010-11-02,20.0,20.24,19.98,20.22,5667950
2010-11-03,20.26,20.62,20.22,20.54,8948860
2010-11-04,22.54,24.01,22.42,23.64,25709340
2010-11-05,22.9,22.95,22.5,22.74,13922894
2010-11-08,22.63,23.12,22.56,23.09,5596570
2010-11-09,23.1,23.5,23.0,23.24,5396158
2010-11-10,23.14,23.56,22.96,23.56,4335408
2010-11-11,23.32,23.68,23.09,23.62,4271964
2010-11-12,23.43,23.7,23.32,23.43,4434928
2010-11-15,23.6,23.73,23.19,23.34,3937522
2010-11-16,23.15,23.42,22.84,23.03,4699972
2010-11-17,23.0,23.14,22.76,22.82,4706220
2010-11-18,23.2,23.6,23.0,23.02,6402192
2010-11-19,22.71,23.03,22.69,22.86,4764394
2010-11-22,22.8,23.32,22.69,23.3,3190362
2010-11-23,23.0,23.35,22.75,23.28,2908746
2010-11-24,23.6,23.62,22.98,23.55,5143884
2010-11-26,23.3,23.64,23.28,23.5,1082432
2010-11-29,23.34,23.54,23.22,23.44,2167308
2010-11-30,23.17,23.77,23.06,23.61,3492390
2010-12-01,23.86,24.2,23.86,23.93,3577142
2010-12-02,23.83,24.62,23.8,24.52,4516770
2010-12-03,24.48,24.49,24.07,24.44,2497342
2010-12-06,24.42,24.42,24.1,24.36,2959518
2010-12-07,24.5,24.74,24.28,24.36,2588164
2010-12-08,24.42,24.56,24.26,24.45,2348140
2010-12-09,24.6,24.6,24.21,24.38,3270948
2010-12-10,24.47,24.76,24.34,24.74,3485074
2010-12-13,24.88,24.88,24.46,24.48,3516872
2010-12-14,24.42,24.56,24.23,24.39,2291368
2010-12-15,24.46,24.97,24.43,24.75,2738642
2010-12-16,24.82,25.02,24.68,24.84,4547420
