Date,Open,High,Low,Close,Volume
2010-01-04,25.34,25.62,25.23,25.38,2824764
2010-01-05,25.33,25.48,24.85,25.06,3469752
2010-01-06,25.0,25.38,24.7,24.89,6329103
2010-01-07,24.86,24.86,24.35,24.64,9252701
2010-01-08,24.54,25.05,24.39,25.0,5005784
2010-01-11,25.01,25.14,24.41,24.74,5611793
2010-01-12,24.36,24.45,23.81,24.05,6111746
2010-01-13,24.16,24.34,23.62,24.26,7026549
2010-01-14,23.97,24.16,23.78,24.11,4906445
2010-01-15,24.12,24.3,23.29,23.52,7072470
2010-01-19,23.9,23.94,23.56,23.88,7133093
2010-01-20,23.8,24.01,23.36,23.94,9189136
2010-01-21,24.08,25.41,23.7,25.25,20767949
2010-01-22,25.09,25.18,23.78,23.84,13791359
2010-01-25,24.0,24.67,23.97,24.38,11561537
2010-01-26,24.27,24.43,24.08,24.22,8235429
2010-01-27,24.28,24.72,24.08,24.48,7036164
2010-01-28,24.47,24.47,23.6,24.01,8494890
2010-01-29,23.91,24.44,23.46,23.58,12612402
2010-02-01,23.51,24.11,23.49,23.98,5653748
2010-02-02,24.08,24.36,23.89,24.27,4727853
2010-02-03,24.15,24.63,24.02,24.51,6484269
2010-02-04,24.1,24.15,23.1,23.28,10611540
2010-02-05,23.35,23.75,23.06,23.62,11924352
2010-02-08,23.55,23.94,23.17,23.46,5812542
2010-02-09,23.78,24.16,23.59,23.81,8005656
2010-02-10,23.72,24.07,23.63,23.95,5811914
2010-02-11,23.88,24.62,23.77,24.46,11478003
2010-02-12,24.31,24.93,24.04,24.56,6154602
2010-02-16,24.75,25.17,24.66,25.04,5082982
2010-02-17,25.06,25.26,24.86,25.1,4874711
2010-02-18,25.17,25.63,25.01,25.52,7991021
2010-02-19,25.44,25.85,25.33,25.71,5413277
2010-02-22,25.79,25.79,25.36,25.5,5627027
2010-02-23,25.29,25.44,24.9,25.15,7812175
2010-02-24,25.36,26.27,25.28,25.91,11894979
2010-02-25,25.5,26.06,25.43,25.98,6591138
2010-02-26,25.98,26.04,25.64,25.83,5367139
2010-03-01,26.07,26.48,25.98,26.4,5269507
2010-03-02,26.45,26.75,26.23,26.38,5674732
2010-03-03,26.5,26.66,26.1,26.2,4859716
2010-03-04,26.0,26.3,25.78,26.22,4816748
2010-03-05,26.53,26.89,26.33,26.71,5678702
2010-03-08,26.8,26.87,26.63,26.63,3568622
2010-03-09,26.61,26.8,26.44,26.62,4541561
2010-03-10,26.55,26.98,26.55,26.9,4868319
2010-03-11,26.75,26.84,26.35,26.5,8793815
2010-03-12,26.55,26.74,26.45,26.61,6011257
2010-03-15,26.55,26.6,26.2,26.35,5340862
2010-03-16,26.36,27.09,26.36,26.93,5470648
2010-03-17,27.04,27.5,27.0,27.31,5624864
2010-03-18,27.23,27.48,26.82,27.06,6238311
2010-03-19,27.17,27.21,26.27,26.6,8786322
2010-03-22,26.54,27.19,26.42,27.07,4172694
2010-03-23,27.21,27.41,26.9,27.32,5053543
2010-03-24,26.95,26.95,25.74,25.81,14273531
2010-03-25,25.95,26.24,25.41,25.45,11107344
2010-03-26,25.44,25.76,25.19,25.4,7408543
2010-03-29,25.57,25.9,25.51,25.71,8947402
2010-03-30,25.74,25.85,25.42,25.72,5891223
2010-03-31,25.5,25.75,25.42,25.5,6213306
2010-04-05,25.63,26.49,25.63,26.34,4936113
2010-04-06,26.29,26.68,26.15,26.53,5929873
2010-04-07,26.5,26.83,26.22,26.58,5779488
2010-04-08,26.46,26.5,25.98,26.22,4434692
2010-04-09,26.25,26.43,26.13,26.38,2579628
2010-04-12,26.5,26.8,26.42,26.63,3410019
2010-04-13,26.68,26.91,26.51,26.84,3555223
2010-04-14,27.25,27.68,27.21,27.65,5772885
2010-04-15,27.51,27.86,26.84,27.73,4700950
2010-04-16,27.68,27.68,27.12,27.49,6050287
2010-04-19,27.41,27.6,26.79,27.26,6100354
2010-04-20,27.25,27.65,27.21,27.62,4857806
2010-04-21,27.85,28.0,26.58,27.21,8985813
2010-04-22,26.94,27.59,26.39,27.52,6959840
2010-04-23,27.5,27.57,26.84,27.3,5487769
2010-04-26,27.24,27.54,27.14,27.23,3801667
2010-04-27,27.0,27.04,26.19,26.3,12673442
2010-04-28,26.65,26.73,26.25,26.63,8560481
2010-04-29,26.34,26.87,26.26,26.79,10503394
2010-04-30,26.88,26.9,25.75,25.79,9880411
2010-05-03,25.9,26.49,25.89,26.35,6051745
2010-05-04,26.12,26.12,25.08,25.48,9817730
2010-05-05,25.32,25.83,24.92,25.32,8169964
2010-05-06,25.22,25.57,23.24,24.72,11653389
2010-05-07,24.26,25.1,23.67,24.44,12498373
2010-05-10,25.42,25.58,24.9,25.23,6450293
2010-05-11,24.99,25.5,24.69,25.06,7140243
2010-05-12,25.36,25.75,25.06,25.69,6865806
2010-05-13,25.33,25.54,24.53,24.65,9056675
2010-05-14,24.53,24.56,23.52,24.05,10129657
2010-05-17,23.73,24.85,23.73,24.78,11560294
2010-05-18,24.87,25.01,23.93,24.06,8997187
2010-05-19,23.99,24.55,23.71,24.25,7612083
2010-05-20,23.78,24.31,23.25,23.91,13206209
2010-05-21,23.46,24.81,23.28,24.34,14163991
2010-05-24,24.09,24.38,23.66,23.68,7607949
2010-05-25,23.09,23.77,22.75,23.74,9867853
2010-05-26,23.87,24.36,23.74,23.78,9098036
2010-05-27,24.36,24.89,24.34,24.88,8288838
2010-05-28,24.89,24.89,24.08,24.45,6766647
2010-06-01,24.23,24.64,23.88,23.9,6091832
2010-06-02,23.97,24.67,23.78,24.66,7131061
2010-06-03,24.66,25.53,24.65,25.24,10480060
2010-06-04,24.9,25.63,24.82,24.96,18115794
2010-06-07,25.04,25.3,24.2,24.29,12381793
2010-06-08,24.38,24.38,23.46,24.15,12405213
2010-06-09,24.25,24.53,23.69,23.79,8407561
2010-06-10,24.18,24.73,24.01,24.59,9346116
2010-06-11,24.24,25.21,24.24,25.07,7527545
2010-06-14,25.23,25.48,24.78,24.85,6426086
2010-06-15,25.09,26.5,24.9,26.36,11989129
2010-06-16,26.23,26.87,25.99,26.66,7480082
2010-06-17,26.87,26.89,26.21,26.66,6368120
2010-06-18,26.69,27.01,26.61,26.8,7086048
2010-06-21,26.98,27.13,26.14,26.31,5990727
2010-06-22,26.35,26.75,25.92,26.02,4994118
2010-06-23,26.06,26.55,25.81,26.26,5441286
2010-06-24,26.32,26.33,25.76,25.91,5532517
2010-06-25,26.03,26.08,25.48,25.9,5213332
2010-06-28,26.03,26.29,25.66,26.05,5496349
2010-06-29,25.65,25.76,25.11,25.28,9029630
2010-06-30,25.37,25.82,25.19,25.26,7973920
2010-07-01,25.23,25.72,24.82,25.54,9288211
2010-07-02,25.61,25.61,24.94,25.33,4890378
2010-07-06,25.61,25.95,25.17,25.39,10364240
2010-07-07,25.43,26.95,25.31,26.91,13727537
2010-07-08,26.97,27.1,26.61,27.02,12859997
2010-07-09,27.02,27.68,26.88,27.62,7226675
2010-07-12,27.57,28.22,27.52,27.84,7038998
2010-07-13,28.04,28.85,27.95,28.64,9525924
2010-07-14,28.75,29.12,27.96,28.18,9442334
2010-07-15,28.19,28.61,27.73,28.54,8442603
2010-07-16,28.27,28.34,27.54,27.59,9508536
2010-07-19,27.74,28.71,27.74,28.71,9264481
2010-07-20,27.97,28.48,27.42,28.45,9905349
2010-07-21,28.2,28.27,27.4,27.8,10086977
2010-07-22,27.67,28.92,27.52,28.78,11464004
2010-07-23,28.67,29.35,28.18,29.2,10400427
2010-07-26,29.1,29.32,28.68,29.28,6592036
2010-07-27,29.3,29.4,28.86,28.93,9602596
2010-07-28,28.78,28.93,28.36,28.5,5780014
2010-07-29,28.55,28.79,27.5,27.81,9126699
2010-07-30,27.55,28.13,27.04,27.92,8919346
2010-08-02,28.11,28.19,27.69,28.06,6194292
2010-08-03,28.01,28.03,27.64,27.87,3756282
2010-08-04,27.93,28.08,27.58,28.04,3350008
2010-08-05,27.96,28.31,27.73,27.87,4324237
2010-08-06,27.6,28.08,27.45,27.91,4501121
2010-08-09,27.91,27.94,27.48,27.73,3996367
2010-08-10,27.53,27.66,27.1,27.56,8126766
2010-08-11,27.04,27.11,26.7,26.85,8617248
2010-08-12,25.06,26.85,24.28,25.5,14968520
2010-08-13,25.35,25.66,25.03,25.04,8229712
2010-08-16,24.8,25.33,24.48,25.11,5909467
2010-08-17,25.22,25.69,25.09,25.4,6004053
2010-08-18,25.35,25.83,25.18,25.64,7544716
2010-08-19,25.5,25.81,25.19,25.3,5774993
2010-08-20,25.25,25.64,25.18,25.45,5198166
2010-08-23,25.58,25.6,24.88,25.05,7925315
2010-08-24,24.67,25.0,24.49,24.89,7019827
2010-08-25,24.76,25.07,24.45,24.95,6947506
2010-08-26,25.1,25.16,24.34,24.48,7040632
2010-08-27,24.63,25.0,23.96,24.93,8302536
2010-08-30,24.75,24.92,24.31,24.31,6034315
2010-08-31,24.14,24.54,24.0,24.14,8846983
2010-09-01,24.45,25.1,24.44,24.67,7879082
2010-09-02,24.86,25.3,24.63,25.18,6230298
2010-09-03,25.44,25.76,25.1,25.39,5261701
2010-09-07,25.24,25.39,24.85,24.97,5040270
2010-09-08,24.95,25.16,24.56,25.13,8261883
2010-09-09,25.38,25.43,24.72,24.76,7102223
2010-09-10,24.75,24.94,24.27,24.67,5344674
2010-09-13,24.81,25.41,24.81,25.28,5156477
2010-09-14,25.32,26.25,25.27,26.13,10877068
2010-09-15,26.0,26.17,25.81,26.06,5883244
2010-09-16,26.03,26.33,25.94,26.27,5436946
2010-09-17,26.34,26.74,26.18,26.45,8697884
2010-09-20,26.15,26.25,25.69,26.18,9585507
2010-09-21,26.15,26.22,25.92,26.02,5209848
2010-09-22,25.73,25.75,24.96,25.33,13001333
2010-09-23,25.18,25.78,24.98,25.34,6795963
2010-09-24,25.7,26.59,25.64,26.54,8260033
2010-09-27,26.54,26.55,26.09,26.18,3698352
2010-09-28,26.43,26.83,25.95,26.81,7247638
2010-09-29,26.63,27.21,26.6,27.05,9469118
2010-09-30,27.15,27.35,26.31,26.64,8314258
2010-10-01,26.12,26.6,25.89,26.35,9333384
2010-10-04,26.39,26.39,25.3,25.75,9820613
2010-10-05,26.0,26.44,25.85,26.35,5374985
2010-10-06,25.95,26.05,25.32,25.71,8580121
2010-10-07,25.74,25.94,25.42,25.93,7532978
2010-10-08,25.91,26.21,25.52,26.08,9660796
2010-10-11,26.03,26.77,25.92,26.61,7449276
2010-10-12,26.68,26.96,26.43,26.83,8025091
2010-10-13,27.0,27.0,26.35,26.57,7186406
2010-10-14,26.59,26.8,26.32,26.48,5569959
2010-10-15,26.72,26.72,26.25,26.48,6536395
2010-10-18,26.24,26.48,25.84,26.34,5736291
2010-10-19,26.09,26.7,25.83,26.34,6690183
2010-10-20,26.2,26.34,25.57,26.01,9887646
2010-10-21,25.32,25.53,24.77,25.17,21218797
2010-10-22,25.18,25.32,24.94,25.2,7167947
2010-10-25,25.4,25.65,25.3,25.45,4557742
2010-10-26,25.37,25.6,25.12,25.31,5389078
2010-10-27,25.15,26.19,25.13,26.12,8660146
2010-10-28,26.13,26.38,25.84,26.22,8561647
2010-10-29,26.21,26.92,26.18,26.8,10467992
2010-11-01,27.0,27.23,26.73,26.83,7674534
2010-11-02,27.06,27.28,26.99,27.15,5652990
2010-11-03,27.49,27.49,26.88,27.24,8300719
2010-11-04,27.53,27.95,27.37,27.85,12163987
2010-11-05,27.9,27.92,27.61,27.73,5099105
2010-11-08,27.51,27.88,27.5,27.82,7675439
2010-11-09,27.85,27.9,27.2,27.37,6364991
2010-11-10,27.35,27.56,27.1,27.42,4821044
2010-11-11,26.11,26.65,25.64,26.5,10327274
2010-11-12,26.4,26.9,26.3,26.64,8119852
2010-11-15,26.72,26.95,26.33,26.45,7058101
2010-11-16,26.18,26.46,26.06,26.3,6308516
2010-11-17,26.29,26.82,26.18,26.7,7051981
2010-11-18,27.02,27.18,26.76,27.02,7545109
2010-11-19,26.95,27.38,26.91,27.18,6360101
2010-11-22,27.06,27.45,26.89,27.27,6788390
2010-11-23,27.09,27.52,26.99,27.28,7130449
2010-11-24,27.44,27.98,27.44,27.68,5373427
2010-11-26,27.5,27.67,27.34,27.52,1786071
2010-11-29,27.36,27.64,27.15,27.43,5053982
2010-11-30,27.0,27.35,26.91,27.13,6254299
2010-12-01,27.47,28.08,27.41,27.99,6027722
2010-12-02,28.0,28.6,27.9,28.53,5725514
2010-12-03,28.5,29.0,28.46,28.87,4630399
2010-12-06,28.93,28.99,28.46,28.61,3749636
2010-12-07,29.0,29.12,28.52,28.59,4495803
2010-12-08,28.64,28.85,28.48,28.85,4586798
2010-12-09,29.0,29.0,28.45,28.5,3919767
2010-12-10,28.61,28.78,28.5,28.65,4443349
2010-12-13,28.7,28.78,28.47,28.51,3345807
2010-12-14,28.64,28.64,28.28,28.53,3716569
2010-12-15,28.4,28.61,28.14,28.23,4880466
2010-12-16,28.3,28.7,28.06,28.66,4918950
2010-12-17,28.37,28.58,27.9,28.21,8753155
2010-12-20,28.21,28.32,27.99,28.11,4651662
2010-12-21,28.25,28.46,28.24,28.39,2761547
2010-12-22,27.1,28.77,26.6,28.63,25818162
2010-12-23,28.44,29.06,28.39,28.83,5828152
2010-12-27,28.81,29.07,28.43,28.99,3037415
2010-12-28,29.02,29.12,28.85,29.03,2814958
2010-12-29,29.09,29.14,28.92,29.0,2418368
2010-12-30,28.99,29.28,28.87,29.06,2387438
2010-12-31,29.08,29.16,28.84,28.98,2083080
2011-01-03,29.28,29.56,29.06,29.42,4413264
2011-01-04,29.48,29.59,29.23,29.54,4958621
2011-01-05,29.38,29.67,29.1,29.64,4237145
2011-01-06,29.63,30.14,29.61,30.14,4914966
2011-01-07,30.24,30.41,29.65,29.97,5513887
2011-01-10,29.99,30.28,29.72,30.2,3564161
2011-01-11,30.25,30.53,30.05,30.51,4097373
2011-01-12,30.71,31.1,30.5,30.99,6330228
2011-01-13,30.42,31.09,30.42,30.89,3623572
2011-01-14,30.92,31.72,30.91,31.69,4234892
2011-01-18,31.7,32.0,31.56,31.77,4743209
