Date,Open,High,Low,Close,Volume
2010-01-04,35.53,35.65,35.27,35.33,1051358
2010-01-05,35.24,35.36,34.73,34.91,763311
2010-01-06,35.02,35.34,34.75,35.14,1595057
2010-01-07,35.08,35.64,34.88,35.6,1096087
2010-01-08,35.56,35.77,35.45,35.6,803792
2010-01-11,35.57,36.14,35.27,36.06,787205
2010-01-12,35.96,36.07,35.61,35.8,1002072
2010-01-13,36.01,36.37,35.7,36.3,814861
2010-01-14,36.15,36.64,36.0,36.57,709986
2010-01-15,36.22,36.74,35.61,35.95,879828
2010-01-19,35.56,36.82,35.56,36.52,581372
2010-01-20,36.46,36.62,35.69,36.13,844134
2010-01-21,36.07,36.15,34.75,34.83,1731260
2010-01-22,34.73,35.03,34.38,34.44,1527104
2010-01-25,34.59,34.66,34.27,34.48,705858
2010-01-26,34.32,34.47,34.13,34.23,1138446
2010-01-27,34.11,34.23,33.66,34.06,1186717
2010-01-28,34.16,34.18,33.29,33.44,1355888
2010-01-29,33.55,33.96,33.42,33.53,1174849
2010-02-01,33.68,33.76,33.38,33.58,1025770
2010-02-02,33.53,34.58,33.4,34.51,1968958
2010-02-03,34.27,34.28,33.72,33.87,1050877
2010-02-04,33.71,33.71,32.77,32.79,1113299
2010-02-05,32.86,32.94,32.1,32.69,2067301
2010-02-08,32.59,33.37,32.44,33.1,1924602
2010-02-09,33.45,34.03,33.17,33.94,1643520
2010-02-10,33.82,33.97,33.37,33.79,1304520
2010-02-11,32.38,33.23,32.38,33.01,2485269
2010-02-12,32.44,32.97,32.23,32.64,2325537
2010-02-16,32.87,33.04,32.44,33.01,1101049
2010-02-17,33.04,33.19,32.94,33.12,1399655
2010-02-18,33.13,33.41,33.07,33.31,983360
2010-02-19,33.17,33.29,32.86,32.94,1270344
2010-02-22,32.95,33.0,32.7,32.81,1299166
2010-02-23,32.7,32.92,32.41,32.83,1989252
2010-02-24,32.85,33.05,32.61,33.0,1314233
2010-02-25,32.55,33.01,32.53,32.94,1177202
2010-02-26,33.0,33.25,32.87,33.09,1415012
2010-03-01,33.42,33.66,33.01,33.56,783989
2010-03-02,33.64,33.94,33.64,33.84,905142
2010-03-03,33.98,34.04,33.74,33.81,822507
2010-03-04,33.93,34.0,33.73,33.85,758812
2010-03-05,33.91,34.34,33.79,34.33,867600
2010-03-08,34.22,34.48,34.04,34.29,604094
2010-03-09,34.25,34.67,34.05,34.6,1180252
2010-03-10,34.51,34.76,34.5,34.67,1148460
2010-03-11,34.6,34.85,34.43,34.8,833968
2010-03-12,34.95,34.99,34.58,34.77,857304
2010-03-15,34.78,34.9,34.6,34.77,723976
2010-03-16,34.7,34.78,34.55,34.63,937680
2010-03-17,34.6,34.75,34.53,34.67,948550
2010-03-18,34.98,34.98,34.39,34.45,1278004
2010-03-19,34.74,34.74,33.93,34.14,2984880
2010-03-22,34.16,34.55,34.08,34.52,867661
2010-03-23,34.46,34.58,34.19,34.58,579388
2010-03-24,34.4,34.56,34.19,34.26,589415
2010-03-25,34.71,34.71,34.34,34.39,867323
2010-03-26,34.5,34.69,34.13,34.17,633085
2010-03-29,34.16,34.53,34.16,34.48,414699
2010-03-30,34.47,34.82,34.32,34.8,709542
2010-03-31,34.65,35.01,34.61,34.88,1342481
2010-04-05,34.5,34.85,34.42,34.59,492719
2010-04-06,34.36,34.93,34.33,34.86,845486
2010-04-07,34.83,34.87,34.29,34.37,672943
2010-04-08,34.28,34.43,34.07,34.33,571216
2010-04-09,34.29,34.65,34.29,34.64,398939
2010-04-12,34.64,34.66,34.36,34.53,621869
2010-04-13,34.53,34.86,34.34,34.86,518704
2010-04-14,34.78,35.2,34.62,35.19,650507
2010-04-15,35.03,35.49,34.98,35.44,840272
2010-04-16,35.41,35.55,34.81,34.95,1573839
2010-04-19,34.8,34.93,34.54,34.74,746244
2010-04-20,34.88,35.31,34.72,35.28,722822
2010-04-21,35.14,35.27,34.94,35.26,1245407
2010-04-22,35.09,35.56,34.84,35.49,1554766
2010-04-23,35.36,36.05,35.2,35.96,1903104
2010-04-26,35.98,36.63,35.81,36.33,1563222
2010-04-27,36.34,37.03,36.25,36.41,1642696
2010-04-28,36.58,37.57,36.53,36.77,1439242
2010-04-29,36.88,38.11,36.52,37.96,2410115
2010-04-30,37.9,38.15,36.64,36.65,1490442
2010-05-03,36.7,36.88,36.21,36.69,1252235
2010-05-04,36.42,36.57,35.77,35.94,1206606
2010-05-05,36.05,36.51,35.52,35.65,1544939
2010-05-06,35.57,35.85,33.02,34.7,2105916
2010-05-07,34.45,34.47,33.63,33.81,2454022
2010-05-10,34.62,35.75,34.62,35.71,1891972
2010-05-11,35.59,36.4,35.41,35.91,1611406
2010-05-12,36.03,36.64,35.87,36.57,936789
2010-05-13,36.31,36.51,35.99,36.01,1285646
2010-05-14,35.88,35.9,34.85,35.06,1691412
2010-05-17,35.19,35.37,34.48,35.0,1439580
2010-05-18,35.22,35.61,34.5,34.59,1793150
2010-05-19,34.39,34.81,33.9,34.35,2219190
2010-05-20,33.62,34.0,32.76,32.85,2689626
2010-05-21,32.46,33.2,32.26,33.06,1860298
2010-05-24,33.03,33.21,32.67,32.72,889597
2010-05-25,32.23,32.59,31.44,32.55,1857985
2010-05-26,32.16,32.72,31.83,31.95,2772715
2010-05-27,32.54,32.81,32.13,32.71,1363525
2010-05-28,32.51,32.78,32.2,32.43,1322558
2010-06-01,32.23,32.8,32.02,32.03,1682136
2010-06-02,32.28,33.0,31.82,33.0,1515821
2010-06-03,32.99,33.2,32.75,33.0,963092
2010-06-04,32.37,32.52,31.43,31.46,1591581
2010-06-07,31.54,31.69,30.96,31.0,1801534
2010-06-08,30.95,30.99,30.25,30.61,1762857
2010-06-09,30.74,31.13,30.48,30.59,1248826
2010-06-10,31.03,31.24,30.65,31.05,1328725
2010-06-11,30.67,31.21,30.48,31.2,895221
2010-06-14,31.24,31.76,31.21,31.27,921341
2010-06-15,31.55,31.55,31.12,31.43,1586419
2010-06-16,31.18,31.64,30.98,31.5,790068
2010-06-17,31.57,31.61,31.36,31.57,882053
2010-06-18,31.57,31.76,31.31,31.72,1220460
2010-06-21,31.98,32.07,31.32,31.46,901248
2010-06-22,31.53,31.9,31.2,31.26,792911
2010-06-23,31.19,31.3,30.75,31.06,927635
2010-06-24,30.85,31.27,30.72,30.98,1440960
2010-06-25,31.01,31.31,30.8,31.03,1432625
2010-06-28,31.14,31.34,30.59,31.11,884395
2010-06-29,30.83,30.89,29.96,30.08,2501551
2010-06-30,30.0,30.43,29.91,29.91,1116349
2010-07-01,29.87,29.87,28.86,29.43,2492018
2010-07-02,29.48,29.55,29.14,29.39,879130
2010-07-06,30.05,30.75,29.43,29.65,1469226
2010-07-07,29.82,30.51,29.5,30.48,1407275
2010-07-08,30.63,30.78,29.94,30.18,1195259
2010-07-09,30.18,30.35,30.0,30.22,505370
2010-07-12,30.02,30.25,29.91,30.17,547220
2010-07-13,30.34,30.97,30.34,30.77,667954
2010-07-14,30.65,30.8,30.3,30.41,889339
2010-07-15,30.39,30.62,30.07,30.42,983429
2010-07-16,30.4,30.4,29.24,29.25,1118305
2010-07-19,29.31,29.49,28.76,28.81,3060733
2010-07-20,28.44,29.36,28.3,29.3,1733889
2010-07-21,29.06,29.4,28.44,28.53,1036921
2010-07-22,28.59,29.36,28.59,29.13,1287957
2010-07-23,29.11,29.44,29.03,29.25,1028695
2010-07-26,29.2,29.85,29.08,29.8,889013
2010-07-27,29.89,30.03,29.32,29.38,1349980
2010-07-28,29.14,29.51,28.84,29.46,2285427
2010-07-29,29.36,29.68,28.35,29.04,3490764
2010-07-30,28.96,30.06,28.48,30.02,1986684
2010-08-02,30.43,30.93,30.42,30.86,1558147
2010-08-03,30.63,31.2,30.59,31.11,1132290
2010-08-04,31.13,31.75,30.98,31.64,1134827
2010-08-05,31.59,31.75,31.32,31.55,1566783
2010-08-06,31.33,31.59,30.86,31.56,1192338
2010-08-09,31.68,31.8,31.39,31.77,650324
2010-08-10,31.58,31.89,31.24,31.62,1218204
2010-08-11,31.03,31.23,30.58,30.89,1464979
2010-08-12,30.57,30.84,30.49,30.61,907945
2010-08-13,30.46,30.53,30.23,30.24,680939
2010-08-16,30.12,30.4,29.99,30.23,550517
2010-08-17,30.53,31.08,30.34,30.84,605685
2010-08-18,30.72,31.16,30.5,30.79,629686
2010-08-19,30.69,30.72,29.98,30.13,842931
2010-08-20,29.89,29.98,29.45,29.46,1888160
2010-08-23,29.6,29.89,29.37,29.4,1077611
2010-08-24,29.16,29.23,28.56,28.75,1222534
2010-08-25,28.5,29.04,28.34,28.9,1472417
2010-08-26,29.05,29.05,28.1,28.43,1491770
2010-08-27,28.5,28.97,28.17,28.86,1187095
2010-08-30,28.72,28.79,28.12,28.13,783680
2010-08-31,28.11,28.17,27.76,27.78,1803644
2010-09-01,28.08,28.78,28.06,28.56,1080153
2010-09-02,28.62,29.37,28.56,29.36,1094931
2010-09-03,29.68,29.86,29.55,29.84,1037266
2010-09-07,29.64,29.64,29.16,29.2,720164
2010-09-08,29.26,29.4,29.08,29.22,590417
2010-09-09,29.49,29.7,29.34,29.65,582449
2010-09-10,29.78,29.98,29.49,29.87,635872
2010-09-13,30.0,30.33,29.95,30.08,701831
2010-09-14,29.94,30.3,29.78,30.18,684680
2010-09-15,30.0,30.61,29.93,30.58,819120
2010-09-16,30.6,30.6,30.22,30.42,727246
2010-09-17,30.55,30.75,30.3,30.66,1966048
2010-09-20,30.78,31.0,30.54,30.92,766195
2010-09-21,30.92,30.99,30.57,30.7,669367
2010-09-22,30.77,31.08,30.39,30.69,863366
2010-09-23,30.45,30.99,30.39,30.68,1026558
2010-09-24,31.06,31.62,30.86,31.6,823255
2010-09-27,31.46,31.59,31.23,31.36,669788
2010-09-28,31.47,31.83,31.12,31.77,762282
2010-09-29,31.67,32.0,31.54,31.87,878187
2010-09-30,32.03,32.44,31.54,31.97,802683
2010-10-01,32.25,32.37,31.65,31.96,955818
2010-10-04,31.95,32.05,31.08,31.12,929431
2010-10-05,31.5,32.18,31.43,32.11,1389374
2010-10-06,32.3,32.48,32.04,32.19,607282
2010-10-07,32.35,32.35,31.88,32.08,564983
2010-10-08,32.02,32.1,31.77,32.0,719976
2010-10-11,31.96,32.11,31.78,31.86,636988
2010-10-12,31.84,31.85,31.36,31.79,1062707
2010-10-13,31.86,32.19,31.76,31.89,756440
2010-10-14,31.78,32.22,31.67,31.9,750334
2010-10-15,32.2,32.35,31.68,31.89,1112020
2010-10-18,31.8,32.19,31.79,32.19,627569
2010-10-19,31.87,31.88,31.25,31.63,1341910
2010-10-20,31.82,32.28,31.75,32.07,843160
2010-10-21,32.13,32.62,31.99,32.49,1236621
2010-10-22,32.59,32.74,32.25,32.63,796348
2010-10-25,32.85,33.1,32.74,32.96,995421
2010-10-26,32.88,33.33,32.76,33.17,1023644
2010-10-27,33.0,33.17,32.51,33.16,1064358
2010-10-28,32.93,32.94,31.23,31.34,3344623
2010-10-29,31.23,31.41,30.79,31.39,1228470
2010-11-01,31.35,31.8,31.09,31.31,1211887
2010-11-02,31.61,31.67,31.31,31.56,679128
2010-11-03,31.57,31.79,31.35,31.64,768605
2010-11-04,31.98,32.31,31.57,31.72,1350618
2010-11-05,31.74,32.07,31.65,31.72,1270535
2010-11-08,31.48,31.63,30.96,31.27,1834666
2010-11-09,31.21,31.68,31.2,31.64,1122298
2010-11-10,31.68,31.82,31.25,31.69,1548652
2010-11-11,31.4,31.81,31.08,31.79,619720
2010-11-12,31.5,31.78,31.04,31.12,716413
2010-11-15,31.17,31.54,31.08,31.3,679333
2010-11-16,31.13,31.32,30.72,30.87,1008227
2010-11-17,30.84,31.19,30.84,31.02,854265
2010-11-18,31.26,31.46,31.05,31.07,758801
2010-11-19,31.04,31.12,30.83,31.04,1112436
2010-11-22,30.84,31.28,30.61,31.22,1298987
2010-11-23,30.86,31.01,30.7,30.86,1187424
2010-11-24,31.14,31.41,31.01,31.4,1002827
2010-11-26,31.15,31.37,30.99,31.21,207679
2010-11-29,30.96,31.34,30.63,31.19,949805
2010-11-30,30.76,30.94,30.52,30.92,1644972
2010-12-01,31.25,31.88,31.24,31.77,989469
2010-12-02,31.72,32.24,31.72,32.19,662418
2010-12-03,32.14,32.46,32.04,32.45,498705
2010-12-06,32.43,32.55,32.21,32.32,882730
2010-12-07,32.64,32.82,32.38,32.39,1090636
2010-12-08,32.36,32.7,32.31,32.6,917913
2010-12-09,32.75,32.89,32.52,32.7,533222
2010-12-10,32.84,33.15,32.74,33.12,748034
2010-12-13,33.17,33.22,33.01,33.16,1026691
2010-12-14,33.29,33.85,33.27,33.75,758290
2010-12-15,33.8,33.95,33.68,33.72,1128669
2010-12-16,33.67,34.27,33.5,34.22,598483
2010-12-17,34.22,34.5,33.93,34.44,1096483
2010-12-20,34.65,34.65,34.09,34.34,457418
2010-12-21,34.53,34.74,34.37,34.63,561562
2010-12-22,34.6,34.89,34.6,34.79,374914
2010-12-23,34.67,34.87,34.51,34.59,312768
2010-12-27,34.39,34.64,34.18,34.54,545460
2010-12-28,34.46,34.66,34.22,34.51,459992
2010-12-29,34.61,34.65,34.39,34.54,419592
2010-12-30,34.47,34.64,34.3,34.3,412939
2010-12-31,34.33,34.42,34.1,34.17,423927
2011-01-03,34.46,35.25,34.43,35.1,1132880
2011-01-04,35.07,35.2,34.65,34.71,690706
2011-01-05,34.64,35.13,34.53,35.04,585151
2011-01-06,34.93,35.12,34.69,34.84,500633
2011-01-07,34.95,34.97,34.38,34.7,447697
2011-01-10,34.89,35.13,34.49,35.06,653464
2011-01-11,35.17,35.71,35.07,35.32,754584
2011-01-12,36.71,36.76,36.04,36.28,975816
2011-01-13,36.25,36.38,36.15,36.3,472499
2011-01-14,36.21,36.33,36.13,36.29,356536
2011-01-18,36.4,36.71,36.28,36.71,521104
2011-01-19,36.48,36.6,35.92,35.98,696980
2011-01-20,35.98,36.26,35.84,35.95,680436
2011-01-21,36.1,36.2,35.77,35.84,897679
2011-01-24,35.85,36.09,35.85,35.9,670829
2011-01-25,35.7,35.94,35.57,35.94,990460
2011-01-26,35.91,36.09,35.77,35.96,539049
2011-01-27,35.96,36.61,35.91,36.55,835297
2011-01-28,36.54,36.95,35.37,35.75,1283363
2011-01-31,35.66,35.87,34.26,35.48,2513788
2011-02-01,35.57,36.58,35.57,36.36,864072
2011-02-02,36.15,36.29,35.91,35.98,715400
2011-02-03,35.81,36.39,35.72,36.29,604825
2011-02-04,36.4,36.67,36.24,36.4,619915
2011-02-07,36.38,36.68,36.34,36.65,872838
2011-02-08,36.67,36.84,36.43,36.84,790050
2011-02-09,36.45,36.84,35.99,36.16,1179492
2011-02-10,35.69,36.43,35.57,36.36,908393
2011-02-11,36.13,36.65,35.96,36.62,576159
2011-02-14,36.56,36.72,36.32,36.42,704481
2011-02-15,36.2,36.6,36.11,36.57,643798
2011-02-16,36.64,36.78,36.3,36.58,431830
2011-02-17,36.42,36.6,36.25,36.51,455394
2011-02-18,36.06,37.0,35.96,36.99,1087247
2011-02-22,36.66,36.73,35.98,36.28,929794
2011-02-23,36.25,36.27,35.86,36.12,962056
2011-02-24,36.18,36.18,35.46,36.07,863908
2011-02-25,36.21,36.86,36.13,36.74,505848
2011-02-28,36.93,37.43,36.85,37.37,985957
2011-03-01,37.37,37.4,36.72,36.76,942369
2011-03-02,36.68,36.88,36.38,36.66,635345
2011-03-03,36.94,37.47,36.88,37.47,622567
2011-03-04,37.46,37.72,37.08,37.71,928588
2011-03-07,37.8,38.49,37.37,37.94,2175119
2011-03-08,37.92,38.0,37.7,37.89,1189376
2011-03-09,37.75,37.91,37.37,37.39,947073
2011-03-10,36.9,37.05,36.53,36.88,1157687
2011-03-11,36.68,37.48,36.65,37.4,1028054
2011-03-14,37.23,37.33,37.01,37.18,1015322
2011-03-15,34.24,35.98,34.0,35.63,2552958
2011-03-16,35.5,35.5,34.86,34.96,1638469
2011-03-17,35.43,35.58,34.92,34.99,795638
2011-03-18,34.89,35.43,34.89,35.21,1290680
2011-03-21,35.57,36.07,35.48,35.73,748732
2011-03-22,35.62,35.78,34.83,35.61,1337417
2011-03-23,35.56,35.71,35.03,35.58,1205073
2011-03-24,35.84,36.2,35.42,36.13,681028
2011-03-25,36.09,36.5,35.94,36.14,570102
2011-03-28,36.28,36.29,35.73,35.77,871868
2011-03-29,35.78,36.18,35.62,36.18,465184
2011-03-30,36.41,36.53,36.14,36.48,687744
2011-03-31,36.61,37.15,36.56,36.99,892279
2011-04-01,37.0,37.36,36.9,36.99,1035527
2011-04-04,37.2,37.28,36.93,37.07,869657
2011-04-05,36.91,37.11,36.77,36.85,639676
2011-04-06,37.13,37.2,36.7,36.98,584464
2011-04-07,36.9,37.35,36.69,36.77,676905
2011-04-08,36.81,37.03,36.33,36.49,600595
2011-04-11,36.61,36.89,36.49,36.6,524527
2011-04-12,36.49,36.52,36.0,36.12,782862
2011-04-13,36.22,36.5,35.76,35.95,814069
2011-04-14,35.86,36.05,35.53,35.94,764886
2011-04-15,36.08,36.47,35.92,36.13,852402
2011-04-18,35.84,35.93,34.84,35.0,1322664
2011-04-19,35.01,35.19,34.76,35.1,855914
2011-04-20,35.51,35.92,35.51,35.89,811249
2011-04-21,36.03,36.41,36.02,36.04,692212
2011-04-25,36.21,36.24,35.86,36.18,686521
2011-04-26,36.21,36.74,36.2,36.4,612127
2011-04-27,36.51,36.9,36.39,36.76,830147
2011-04-28,36.94,38.74,36.45,38.3,1592228
2011-04-29,38.23,38.23,37.53,37.55,1456094
2011-05-02,37.82,38.17,37.67,38.01,932429
2011-05-03,38.02,38.03,37.55,37.76,703200
2011-05-04,37.67,37.9,37.36,37.62,903714
2011-05-05,37.53,38.21,37.4,38.05,1175546
2011-05-06,38.29,38.68,38.05,38.32,859894
2011-05-09,38.33,38.7,38.07,38.61,498585
2011-05-10,38.75,38.88,38.38,38.76,412322
2011-05-11,38.71,38.83,38.18,38.61,641560
2011-05-12,38.38,39.0,38.16,38.95,622248
2011-05-13,39.0,39.15,38.4,38.68,1141854
2011-05-16,38.45,39.28,38.45,39.16,1130466
2011-05-17,39.0,39.24,38.8,39.19,812381
2011-05-18,39.19,39.68,39.11,39.63,618026
2011-05-19,39.79,40.15,39.52,40.09,1050406
2011-05-20,40.0,40.16,39.23,39.28,1572616
2011-05-23,38.98,39.1,38.43,38.68,677977
2011-05-24,38.65,38.72,38.41,38.51,492714
2011-05-25,38.47,38.72,38.22,38.57,399121
2011-05-26,38.38,39.12,38.22,39.05,788387
2011-05-27,39.0,39.3,38.95,39.14,425670
2011-05-31,39.5,39.56,39.07,39.24,1185300
2011-06-01,39.32,39.32,38.41,38.41,825212
2011-06-02,38.36,38.48,38.0,38.37,717540
2011-06-03,38.0,38.12,37.57,37.6,712856
2011-06-06,37.4,37.67,37.1,37.17,575722
2011-06-07,37.2,37.51,37.04,37.06,609833
2011-06-08,37.06,37.14,36.88,37.02,496450
2011-06-09,37.09,37.55,36.95,37.38,632288
