Date,Open,High,Low,Close,Volume
2010-01-04,34.16,35.04,33.88,34.52,3368167
2010-01-05,34.52,34.6,34.24,34.56,2144805
2010-01-06,34.56,34.68,34.16,34.24,1735403
2010-01-07,34.12,34.48,34.04,34.4,2970028
2010-01-08,34.32,34.56,34.04,34.28,1620618
2010-01-11,34.48,35.36,34.28,35.12,3475490
2010-01-12,34.72,35.64,34.72,35.4,4676548
2010-01-13,35.52,35.88,35.24,35.8,2779346
2010-01-14,35.64,36.0,35.4,35.56,2312420
2010-01-15,35.4,35.56,35.16,35.36,2881791
2010-01-19,35.32,36.16,35.16,36.08,4465736
2010-01-20,35.68,35.8,34.92,35.56,5196890
2010-01-21,36.64,37.92,36.52,37.12,11060024
2010-01-22,36.76,37.08,35.64,35.88,5466627
2010-01-25,36.12,36.44,35.44,35.56,3667002
2010-01-26,35.48,35.76,34.88,35.44,2713970
2010-01-27,35.32,35.64,34.84,35.56,4580047
2010-01-28,35.52,35.8,35.12,35.28,4516914
2010-01-29,35.6,35.64,34.84,34.88,5581090
2010-02-01,35.0,35.88,34.92,35.88,3610664
2010-02-02,35.92,36.64,35.72,36.52,6152539
2010-02-03,36.36,36.68,35.88,35.96,3280608
2010-02-04,35.92,36.16,34.52,34.6,6209774
2010-02-05,34.2,34.4,33.4,33.88,9105887
2010-02-08,33.56,34.04,33.0,33.8,3203700
2010-02-09,34.12,34.2,32.8,33.52,6821320
2010-02-10,33.56,34.16,33.48,33.8,2674884
2010-02-11,33.88,35.24,33.6,35.04,5796635
2010-02-12,34.4,35.52,34.16,35.08,3381934
2010-02-16,34.8,35.6,34.76,35.44,2479866
2010-02-17,35.6,36.12,35.2,35.68,3428416
2010-02-18,35.72,36.76,35.48,36.68,4495797
2010-02-19,36.44,37.08,36.36,36.8,3593458
2010-02-22,37.2,37.24,36.76,36.96,3133528
2010-02-23,36.88,36.92,36.16,36.4,1986837
2010-02-24,36.64,37.04,36.36,37.0,2645615
2010-02-25,36.48,37.24,36.4,37.16,2933728
2010-02-26,37.16,37.6,36.84,37.48,2751928
2010-03-01,37.52,38.32,37.52,38.2,3132140
2010-03-02,38.16,38.4,37.76,38.0,2894780
2010-03-03,38.4,38.8,38.0,38.08,2578947
2010-03-04,38.44,38.56,37.6,38.16,3875639
2010-03-05,38.48,39.6,38.32,39.48,3468342
2010-03-08,39.6,40.28,39.52,39.64,3458055
2010-03-09,38.8,39.52,38.68,38.96,2299800
2010-03-10,39.12,39.48,38.76,39.4,3081075
2010-03-11,39.16,40.0,39.04,40.0,3268374
2010-03-12,40.0,40.0,39.24,39.56,3472811
2010-03-15,39.4,40.2,39.32,40.08,3608202
2010-03-16,40.44,40.68,40.04,40.36,3206666
2010-03-17,40.44,40.48,39.4,39.6,4538081
2010-03-18,39.72,39.72,39.0,39.44,3025935
2010-03-19,39.64,39.76,38.08,38.28,4451355
2010-03-22,38.04,39.56,37.8,39.48,3567417
2010-03-23,39.68,40.48,39.16,40.44,3731654
2010-03-24,40.16,40.24,39.4,39.44,2203177
2010-03-25,39.72,39.96,38.48,38.48,3202517
2010-03-26,38.68,39.36,38.56,38.8,1809187
2010-03-29,38.6,39.0,38.52,38.92,1765832
2010-03-30,38.6,39.08,38.52,38.76,1561697
2010-03-31,38.8,39.12,38.4,39.0,2907607
2010-04-01,39.24,40.0,39.12,39.96,2549276
2010-04-05,40.0,41.6,39.6,41.52,4352037
2010-04-06,41.48,41.48,40.72,41.08,2936237
2010-04-07,40.76,41.16,40.0,40.64,3135650
2010-04-08,40.4,41.72,39.76,41.68,3746755
2010-04-09,41.68,42.0,41.36,41.76,3656124
2010-04-12,42.04,42.2,41.64,41.96,1972897
2010-04-13,41.56,42.0,41.52,41.8,4706545
2010-04-14,41.64,42.48,41.52,42.2,3142534
2010-04-15,42.2,42.2,41.6,41.96,3232919
2010-04-16,41.72,42.16,41.08,41.28,3924664
2010-04-19,41.12,43.08,40.72,42.84,6225790
2010-04-20,42.96,44.26,42.24,42.96,4868594
2010-04-21,43.2,43.56,42.2,42.4,3410144
2010-04-22,41.96,42.28,40.84,41.8,3506850
2010-04-23,45.2,46.88,43.12,45.28,19821788
2010-04-26,44.48,45.96,44.4,45.4,6980061
2010-04-27,45.24,45.24,43.12,43.24,6239129
2010-04-28,43.52,44.88,43.0,44.4,5933564
2010-04-29,44.96,45.08,43.96,44.88,4640462
2010-04-30,44.88,45.0,43.36,43.6,4733464
2010-05-03,43.96,44.56,43.24,44.2,3621160
2010-05-04,43.0,43.08,41.68,42.4,4931413
2010-05-05,42.0,42.84,40.92,41.68,5498167
