Date,Open,High,Low,Close,Volume
2010-01-04,35.12,35.28,35.05,35.09,2129563
2010-01-05,35.12,35.16,34.81,34.97,2371422
2010-01-06,34.95,35.16,34.66,34.72,3004620
2010-01-07,34.57,34.81,34.5,34.71,1763081
2010-01-08,34.7,34.82,34.5,34.72,2712001
2010-01-11,34.88,35.56,34.7,35.32,4164676
2010-01-12,35.51,36.06,35.32,35.99,4769554
2010-01-13,35.83,36.1,35.53,35.89,4053162
2010-01-14,35.91,36.32,35.7,36.28,2982135
2010-01-15,36.27,36.32,35.51,35.67,4540523
2010-01-19,35.65,35.79,35.49,35.65,3559552
2010-01-20,35.39,35.59,34.99,35.15,3354878
2010-01-21,35.23,35.41,34.8,34.97,3889520
2010-01-22,34.69,35.0,34.26,34.29,3951254
2010-01-25,34.5,34.6,34.26,34.28,3681650
2010-01-26,34.1,34.53,34.05,34.33,2502197
2010-01-27,34.34,34.9,34.2,34.81,3594525
2010-01-28,34.99,35.22,34.3,34.34,3770684
2010-01-29,34.53,34.82,34.19,34.21,2942251
2010-02-01,34.45,35.45,34.39,35.42,3914863
2010-02-02,35.42,35.93,35.19,35.82,3342582
2010-02-03,35.52,35.59,34.97,35.34,3680607
2010-02-04,34.88,35.19,33.33,33.4,9977927
2010-02-05,33.49,33.63,32.74,32.98,7488037
2010-02-08,33.14,33.22,32.65,32.72,4953533
2010-02-09,32.9,33.21,32.49,33.07,7718530
2010-02-10,32.99,33.32,32.94,33.16,4203134
2010-02-11,33.13,33.43,32.93,33.39,3731633
2010-02-12,33.03,33.52,32.87,33.36,5830188
2010-02-16,33.4,33.65,33.35,33.6,3795586
2010-02-17,33.72,33.87,33.55,33.66,2774248
2010-02-18,33.67,33.87,33.55,33.67,2933761
2010-02-19,33.52,33.82,33.46,33.79,2951771
2010-02-22,33.8,33.84,33.49,33.68,3180017
2010-02-23,33.66,33.77,33.4,33.58,3043265
2010-02-24,33.73,33.81,33.46,33.71,2870130
2010-02-25,33.38,33.74,33.26,33.7,5097451
2010-02-26,33.73,33.86,33.59,33.72,2519256
2010-03-01,33.77,34.0,33.61,33.88,2826632
2010-03-02,34.04,34.15,33.88,34.08,4869551
2010-03-03,34.16,34.27,33.86,33.97,2780197
2010-03-04,34.09,34.22,33.74,34.02,2961055
2010-03-05,34.13,34.91,33.98,34.87,5539378
2010-03-08,35.1,35.65,35.02,35.41,4934779
2010-03-09,36.19,36.99,36.05,36.6,10656263
2010-03-10,36.69,36.97,36.47,36.88,5120101
2010-03-11,36.78,37.38,36.71,37.3,3677587
2010-03-12,37.5,37.6,37.09,37.47,4919132
2010-03-15,37.35,37.68,37.26,37.68,3185911
2010-03-16,37.7,37.73,37.3,37.63,2864292
2010-03-17,37.64,38.86,37.6,38.64,7070395
2010-03-18,38.54,38.63,38.1,38.15,4898678
2010-03-19,38.29,38.55,37.86,37.94,6181072
2010-03-22,37.79,38.24,37.79,38.15,3066756
2010-03-23,38.33,38.4,37.98,38.25,3375948
2010-03-24,38.28,38.28,37.89,37.92,3703633
2010-03-25,38.19,38.45,38.05,38.05,3482546
2010-03-26,38.17,38.39,38.1,38.27,2362518
2010-03-29,38.49,38.61,37.89,38.18,3621580
2010-03-30,38.17,38.49,38.1,38.38,3237065
2010-03-31,38.22,38.43,37.99,38.33,3273642
2010-04-01,38.48,39.24,38.48,39.2,5066204
2010-04-05,39.46,40.26,39.29,40.04,5697124
2010-04-06,39.99,40.07,39.75,39.8,5999714
2010-04-07,39.84,40.28,39.75,40.15,4739148
2010-04-08,40.11,40.21,39.78,40.07,4072257
2010-04-09,40.22,40.7,40.02,40.7,3933279
2010-04-12,40.91,41.11,40.7,40.78,4994806
2010-04-13,40.9,41.31,40.61,41.16,7129110
2010-04-14,41.14,41.84,41.09,41.68,9066416
2010-04-15,42.29,43.76,42.25,42.78,11341825
2010-04-16,42.5,42.75,42.04,42.7,9199378
2010-04-19,42.69,42.87,42.34,42.68,4433466
2010-04-20,42.91,43.12,42.53,43.1,3913400
2010-04-21,43.1,43.37,42.76,43.11,3024006
2010-04-22,42.98,43.27,42.75,43.18,3980141
2010-04-23,43.27,43.47,42.94,43.44,3214226
2010-04-26,43.53,44.0,43.48,43.94,4491886
2010-04-27,43.83,43.87,42.59,42.78,4519659
2010-04-28,42.9,42.96,41.98,42.35,4844198
2010-04-29,42.53,43.14,42.51,42.77,3615959
2010-04-30,42.85,42.94,42.25,42.42,3957315
2010-05-03,42.63,43.22,42.52,43.07,2755576
2010-05-04,42.81,42.81,41.55,41.68,4016085
2010-05-05,41.09,41.81,40.68,41.36,4175676
2010-05-06,41.05,41.5,37.54,40.07,5534332
2010-05-07,39.79,40.4,38.75,39.61,6960737
2010-05-10,40.99,42.2,40.93,42.08,8078229
2010-05-11,41.63,42.45,41.58,41.81,4349003
2010-05-12,42.19,42.5,41.77,42.41,4263714
2010-05-13,42.37,42.66,41.41,41.46,4546591
2010-05-14,41.13,41.33,40.24,40.57,4428264
2010-05-17,40.59,41.24,40.33,41.13,6519222
2010-05-18,41.75,42.1,41.02,41.1,3652874
2010-05-19,40.9,41.17,40.16,40.85,3751682
2010-05-20,39.98,40.41,39.58,39.64,6109028
2010-05-21,38.87,40.22,38.6,40.15,5906097
2010-05-24,40.04,40.31,39.69,39.76,3329647
2010-05-25,38.77,40.01,38.25,39.97,4940332
2010-05-26,40.32,40.71,39.94,39.99,5020571
2010-05-27,40.55,41.43,40.45,41.4,3731777
2010-05-28,41.25,41.65,40.77,40.95,2586998
2010-06-01,40.77,41.33,40.35,40.49,2935416
2010-06-02,40.58,41.41,40.25,41.41,3128967
2010-06-03,41.62,42.15,41.54,41.92,3924023
2010-06-04,41.36,41.6,40.7,40.86,4808688
2010-06-07,40.76,40.76,39.75,39.77,4714831
2010-06-08,39.82,40.95,39.46,40.89,6327967
2010-06-09,41.1,41.94,41.02,41.21,7873416
2010-06-10,41.78,42.31,41.66,42.05,3678536
2010-06-11,41.7,42.26,41.7,42.0,4021036
2010-06-14,42.21,42.74,42.07,42.18,3862908
2010-06-15,42.42,43.38,42.42,43.38,5845409
2010-06-16,43.01,43.03,42.58,42.73,4706573
2010-06-17,42.78,43.01,42.26,42.58,4891232
2010-06-18,42.69,42.79,42.33,42.49,4032204
2010-06-21,43.47,43.5,42.59,42.79,7753504
2010-06-22,43.15,43.15,41.92,41.99,5846442
2010-06-23,42.11,42.17,41.31,41.41,5298358
2010-06-24,41.21,41.37,40.81,40.97,6027716
2010-06-25,41.07,41.31,40.74,40.96,5058249
2010-06-28,41.13,41.21,40.47,40.52,2746196
2010-06-29,40.08,40.17,39.17,39.37,5326415
2010-06-30,39.4,39.67,38.94,39.04,4807835
2010-07-01,38.95,39.25,38.25,39.09,5311403
2010-07-02,39.14,39.25,38.41,38.53,3544247
2010-07-06,38.98,39.58,38.43,38.7,5080350
2010-07-07,38.82,39.77,38.66,39.71,4227867
2010-07-08,39.86,40.2,39.7,39.98,4057041
2010-07-09,39.89,40.33,39.89,40.27,2614473
2010-07-12,40.31,41.06,40.02,40.87,5250266
2010-07-13,41.74,41.82,41.21,41.71,6371025
2010-07-14,40.07,41.15,39.75,41.0,10737597
2010-07-15,41.0,41.27,40.31,41.2,5101688
2010-07-16,40.95,41.2,39.96,40.07,4388657
2010-07-19,40.07,40.33,39.57,40.0,3549767
2010-07-20,39.49,41.2,39.42,41.15,4037257
2010-07-21,41.29,41.29,39.67,39.86,5591722
2010-07-22,40.26,41.26,40.12,41.17,4664375
2010-07-23,41.0,41.7,40.85,41.62,4115989
2010-07-26,41.62,42.27,41.54,42.14,3435590
2010-07-27,42.36,42.56,41.87,41.94,3535546
2010-07-28,41.84,42.24,41.37,41.52,3252736
2010-07-29,41.84,42.14,41.09,41.33,3167524
2010-07-30,41.07,41.57,40.72,41.3,3076059
2010-08-02,41.79,42.16,41.72,42.04,2448503
2010-08-03,42.0,42.05,41.33,41.39,3191347
2010-08-04,41.59,41.89,41.41,41.75,2978212
2010-08-05,41.76,42.45,41.56,42.41,4055814
2010-08-06,42.0,42.4,41.73,42.36,3095916
2010-08-09,42.56,43.1,42.56,42.69,3011808
2010-08-10,42.43,42.72,42.0,42.39,3383404
2010-08-11,41.8,41.8,41.05,41.15,3475153
2010-08-12,40.7,41.17,40.54,41.0,2353207
2010-08-13,40.8,41.04,40.62,40.85,2005510
2010-08-16,40.73,41.04,40.51,40.93,1723273
2010-08-17,41.21,42.25,41.02,42.02,2886043
2010-08-18,41.81,42.47,41.6,42.17,2413206
2010-08-19,42.03,42.27,41.45,41.91,2693223
2010-08-20,41.55,42.4,41.55,42.32,2534721
2010-08-23,42.42,42.64,41.88,41.91,3419418
2010-08-24,41.41,41.96,41.0,41.59,3429080
2010-08-25,41.29,42.52,41.14,42.32,4709431
2010-08-26,42.49,42.66,42.26,42.36,5256273
2010-08-27,42.57,42.79,42.06,42.32,4829583
2010-08-30,42.29,42.38,41.7,41.7,2462067
2010-08-31,41.56,41.96,41.35,41.7,4690974
2010-09-01,42.0,42.7,41.94,42.6,8778178
2010-09-02,42.81,43.94,42.81,43.85,5365799
2010-09-03,43.85,44.38,43.67,44.35,4472643
2010-09-07,44.25,44.69,44.07,44.28,2875582
2010-09-08,44.18,44.89,44.04,44.51,3186213
2010-09-09,44.25,44.38,43.66,43.85,3329899
2010-09-10,44.03,44.55,43.84,44.52,3201670
2010-09-13,44.89,45.65,44.8,45.54,5800794
2010-09-14,45.5,46.25,45.29,45.52,4707567
2010-09-15,45.38,46.28,45.24,45.92,3920222
2010-09-16,45.99,46.13,45.52,45.82,2306166
2010-09-17,45.96,46.08,45.61,45.75,2970508
2010-09-20,45.8,46.66,45.7,46.58,2571190
2010-09-21,46.72,46.91,46.28,46.44,4916586
2010-09-22,46.41,46.63,46.11,46.47,3082973
2010-09-23,46.28,46.58,45.71,45.82,2637328
2010-09-24,46.18,46.75,46.09,46.5,3239875
2010-09-27,46.58,46.8,46.32,46.37,2600945
2010-09-28,46.42,46.63,45.94,46.44,6932297
2010-09-29,46.45,46.64,46.07,46.28,3198213
