Date,Open,High,Low,Close,Volume
2010-01-04,12.93,13.37,12.88,13.33,3974627
2010-01-05,13.28,13.83,13.23,13.8,5606054
2010-01-06,13.67,15.01,13.66,15.0,12615623
2010-01-07,14.97,17.0,14.95,16.68,24717323
2010-01-08,16.19,16.66,15.52,16.41,6903149
2010-01-11,16.47,16.79,16.1,16.51,5534145
2010-01-12,16.38,16.94,15.83,16.05,7341211
2010-01-13,15.95,16.57,15.14,16.35,10367270
2010-01-14,16.36,16.85,16.25,16.71,4677870
2010-01-15,16.78,16.89,16.12,16.26,4889270
2010-01-19,16.25,17.2,16.06,17.11,7057089
2010-01-20,16.91,18.0,16.85,17.92,9979649
2010-01-21,17.95,19.42,17.95,18.36,14224778
2010-01-22,18.07,18.25,17.12,17.66,11290618
2010-01-25,17.96,17.99,16.69,17.92,10474647
2010-01-26,18.96,20.58,18.9,19.08,26334825
2010-01-27,18.88,19.34,18.34,18.94,9314009
2010-01-28,19.53,19.75,18.9,19.34,7067519
2010-01-29,19.57,19.7,18.78,18.97,6963575
2010-02-01,19.17,19.94,19.13,19.92,6913363
2010-02-02,19.98,20.19,19.44,19.91,5880485
2010-02-03,19.77,19.78,18.46,18.62,10281007
2010-02-04,18.09,18.15,17.39,17.49,11389924
2010-02-05,17.63,18.1,17.24,18.0,7966650
2010-02-08,18.03,18.78,17.7,17.99,8066112
2010-02-09,18.3,18.65,17.99,18.21,4784823
2010-02-10,18.26,18.7,18.13,18.52,4127936
2010-02-11,18.41,18.63,18.07,18.17,5180026
2010-02-12,18.01,18.05,17.54,17.85,4888980
2010-02-16,18.1,18.33,17.75,18.26,3532318
2010-02-17,18.49,18.49,17.85,18.05,3948170
2010-02-18,17.87,18.14,17.6,17.72,4435973
2010-02-19,17.67,18.51,17.57,18.44,5704785
2010-02-22,18.55,19.0,18.52,18.87,4692635
2010-02-23,18.56,18.94,18.03,18.18,5477705
2010-02-24,18.2,18.9,18.07,18.67,4770390
2010-02-25,18.32,18.46,18.02,18.44,4482136
2010-02-26,18.46,18.6,18.12,18.54,3528985
2010-03-01,18.7,18.7,18.18,18.3,2452199
2010-03-02,18.8,19.18,18.41,18.64,4703773
2010-03-03,18.73,18.76,18.32,18.4,3343489
2010-03-04,18.37,18.44,18.0,18.08,4441761
2010-03-05,18.25,18.78,18.14,18.74,4540806
2010-03-08,18.91,19.07,18.67,18.93,3084113
2010-03-09,18.74,19.4,18.46,19.26,5626576
2010-03-10,19.5,21.06,19.45,20.49,13858036
2010-03-11,20.68,21.73,20.37,21.43,14078242
2010-03-12,21.68,21.93,20.96,20.99,9107196
2010-03-15,20.94,21.33,20.58,21.24,6415530
2010-03-16,21.46,22.35,21.24,22.22,8524396
2010-03-17,22.18,23.73,22.18,23.19,13527397
2010-03-18,22.78,22.99,22.19,22.73,8474926
2010-03-19,22.68,22.97,22.02,22.11,7798659
2010-03-22,21.75,22.67,21.36,22.61,5981162
2010-03-23,22.59,22.9,22.18,22.82,4373471
2010-03-24,22.73,23.43,22.68,23.06,5177212
2010-03-25,23.34,23.85,22.6,22.64,5195875
2010-03-26,22.78,23.19,21.91,22.23,5999586
2010-03-29,22.54,22.7,21.44,21.75,7127600
2010-03-30,21.8,21.98,21.57,21.66,3950723
2010-03-31,21.42,22.08,21.41,21.84,4617792
2010-04-05,22.5,23.26,22.24,23.21,6555359
2010-04-06,23.14,24.65,23.02,24.27,8533735
2010-04-07,24.32,24.75,23.34,23.75,7203777
2010-04-08,23.77,24.16,23.26,23.96,4002661
2010-04-09,24.17,24.35,23.71,23.93,3588872
2010-04-12,23.93,24.92,23.67,24.9,7497023
2010-04-13,24.74,24.85,24.26,24.57,9121824
2010-04-14,24.95,26.68,24.75,26.36,12528823
2010-04-15,27.06,27.11,25.79,26.14,10153534
2010-04-16,26.05,26.33,24.38,25.53,8802858
2010-04-19,25.27,25.84,24.66,25.43,8447163
2010-04-20,25.78,27.6,25.28,27.42,13660152
2010-04-21,27.56,30.0,27.46,28.87,15578464
2010-04-22,28.68,29.75,28.15,29.6,6777329
2010-04-23,29.52,30.15,29.25,30.0,5047926
2010-04-26,30.14,30.29,28.62,28.78,6694676
2010-04-27,28.58,29.25,27.3,27.75,7658381
2010-04-28,28.17,28.55,27.44,27.66,6249128
2010-04-29,27.89,29.1,27.89,28.86,3457012
2010-04-30,28.99,29.52,28.63,28.73,4647883
2010-05-03,28.99,29.44,28.35,29.0,4370583
2010-05-04,28.43,28.88,27.5,27.77,5271781
2010-05-05,27.34,28.67,26.65,27.86,7580609
2010-05-06,27.66,28.28,25.07,26.44,10678574
2010-05-07,26.36,26.77,24.56,25.57,9586529
2010-05-10,28.09,29.1,27.04,27.83,9157675
2010-05-11,27.32,28.65,27.15,27.74,5754128
2010-05-12,28.11,28.91,28.03,28.88,4733892
2010-05-13,28.69,29.25,28.41,28.5,3825778
2010-05-14,28.1,28.14,26.58,27.33,5317180
2010-05-17,27.15,27.55,26.2,27.3,4942895
2010-05-18,27.58,27.9,25.62,26.08,5744219
2010-05-19,25.31,26.25,24.42,24.42,14161498
2010-05-20,23.0,23.7,22.66,22.79,14945751
2010-05-21,22.25,23.95,22.1,23.8,9200850
2010-05-24,24.1,24.11,22.91,22.91,6236681
2010-05-25,22.0,23.24,21.67,23.11,7387694
2010-05-26,23.88,24.47,23.73,23.96,11869947
2010-05-27,24.61,24.95,24.15,24.86,7075335
2010-05-28,24.71,24.81,23.72,23.95,4970945
2010-06-01,23.5,24.07,23.05,23.15,5416795
2010-06-02,23.3,23.78,22.95,23.78,4896449
2010-06-03,23.8,24.19,23.15,23.56,4588515
2010-06-04,22.88,23.29,22.21,22.34,7180680
2010-06-07,22.5,22.58,21.42,21.48,6047894
2010-06-08,21.54,22.61,21.22,22.52,9583296
2010-06-09,22.8,23.1,22.13,22.79,9800224
2010-06-10,23.3,23.57,22.84,23.56,6676661
2010-06-11,23.17,23.76,22.73,23.68,5963072
2010-06-14,23.9,24.3,23.27,23.4,5238536
2010-06-15,23.59,24.32,23.38,24.24,5017010
2010-06-16,24.0,24.41,23.9,24.17,4823785
2010-06-17,24.18,24.27,23.27,23.67,4756141
2010-06-18,23.83,24.0,23.35,23.98,8289560
2010-06-21,24.36,24.69,23.72,23.91,4529900
2010-06-22,23.91,24.3,23.61,23.63,3613489
2010-06-23,23.74,24.06,23.11,23.35,2948993
2010-06-24,23.06,23.49,22.73,22.95,2780342
2010-06-25,23.16,24.02,22.89,23.82,4542709
2010-06-28,23.87,24.01,23.28,23.55,3880755
2010-06-29,23.11,23.3,21.8,21.94,6643048
2010-06-30,21.9,22.69,21.44,21.57,3808831
2010-07-01,21.43,22.09,20.42,21.73,6467608
2010-07-02,21.91,22.06,20.56,20.75,5196523
2010-07-06,21.12,21.44,20.62,20.88,3338548
2010-07-07,21.07,22.38,20.93,22.31,4228554
2010-07-08,22.66,22.89,21.89,22.38,3301824
2010-07-09,22.36,23.38,22.19,23.25,3094409
2010-07-12,23.17,23.49,22.77,23.18,2338039
2010-07-13,23.52,24.39,23.52,24.2,4079831
2010-07-14,23.72,23.92,23.07,23.33,4756803
2010-07-15,23.47,23.47,22.48,23.15,3536228
2010-07-16,22.84,22.89,21.5,21.69,5927245
2010-07-19,21.75,22.02,21.01,21.42,6259660
2010-07-20,19.93,20.47,19.29,19.51,19269051
2010-07-21,19.86,20.17,19.3,19.42,9420364
2010-07-22,19.84,20.4,19.77,20.17,5825096
2010-07-23,20.01,20.68,19.67,20.55,4382088
2010-07-26,20.65,21.4,20.41,21.34,3577520
